Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:24:53,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7735214,19127,76,7754816,2355315
2024-11-03 20:24:53,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7321151,5332,0,7326847,6519
2024-11-03 20:24:53,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7497622,5208,0,7503196,15905
2024-11-03 20:24:53,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7389781,5251,0,7395365,6215
2024-11-03 20:24:53,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7602419,5417,0,7608163,6570
2024-11-03 20:24:53,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7430078,5317,0,7435744,6273
2024-11-03 20:24:53,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7492590,5484,0,7498411,6880
2024-11-03 20:24:53,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7415754,5183,0,7421304,6083
2024-11-03 20:24:53,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7389515,5263,0,7395209,6372
2024-11-03 20:24:53,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7408051,5461,0,7413795,15821
2024-11-03 20:24:53,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3802901,5720,63,3809181,7736
2024-11-03 20:24:53,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3320225,53108,0,3373711,5799
2024-11-03 20:24:53,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3319142,62601,0,3382126,6111
2024-11-03 20:24:53,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3274056,53187,0,3327565,6168
2024-11-03 20:24:53,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3315869,53020,0,3369242,5914
2024-11-03 20:24:53,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3298105,52962,0,3351420,15851
2024-11-03 20:24:53,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3296726,52971,0,3350068,5569
2024-11-03 20:24:53,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3309034,52967,0,3362355,5937
2024-11-03 20:24:53,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3262477,53085,0,3315898,5797
2024-11-03 20:24:53,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3302305,52948,0,3355654,5888
2024-11-03 20:24:53,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3255944,5615,63,3262072,7764
2024-11-03 20:24:53,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2970011,5594,0,2976025,5983
2024-11-03 20:24:53,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2970402,5486,0,2976284,6372
2024-11-03 20:24:53,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2982145,5473,0,2988013,5783
2024-11-03 20:24:53,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2966487,5368,0,2972230,6021
