Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:25:28,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7321889,7456196,7668505,7471880,7476936,7635797,7387430,7373352,7365695,7720263,7487794,7487794
2024-11-03 20:25:28,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3808179,3348765,3360203,3316676,3313515,3334902,3315542,3330677,3335111,3303660,3376722,3376722
2024-11-03 20:25:28,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3273838,2959063,2951122,2963329,2966344,2971052,2955902,2968241,2981592,3055950,3004642,3004642
2024-11-03 20:25:28,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6511392,6424052,6404371,6485993,6412807,6394778,6446449,6439261,6455724,6401132,6437595,6437595
2024-11-03 20:25:28,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4397280,4457084,4375497,4490997,4439775,4505584,4371418,4386690,4359498,4510333,4429415,4429415
2024-11-03 20:25:29,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3981901,3775676,3767601,3776943,3763725,3779012,3777913,3776598,3775972,3772597,3794793,3794793
2024-11-03 20:25:29,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2606177,2576948,2585190,2595268,2584250,2589879,2572128,2571482,2576137,2581017,2583847,2583847
2024-11-03 20:25:29,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6472915,6486120,6486236,6360506,6481806,6409021,6484137,6494182,6511497,6472319,6465873,6465873
2024-11-03 20:25:29,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4424993,4408794,4407977,4534466,4432323,4442853,4390306,4397363,4521231,4548330,4450863,4450863
2024-11-03 20:25:29,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3883936,3828578,3871920,3922047,3928055,3924567,3986805,4005856,4016143,4024042,3939194,3939194
2024-11-03 20:25:29,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2745638,2616213,2658325,2705559,2725498,2723910,2725420,2724542,2730191,2730335,2708562,2708562
2024-11-03 20:25:29,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4567342,4195144,4212654,4198676,4200272,4212526,4235340,4262072,4275192,4272536,4263175,4263175
2024-11-03 20:25:29,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3050841,2946962,2922540,3029596,3044896,3122456,3129576,3130292,3143482,3159552,3068019,3068019
2024-11-03 20:25:29,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5834320,5808918,5860133,5689869,5865559,5866773,5863830,5923071,5963252,5924716,5860043,5860043
2024-11-03 20:25:29,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4096132,4107594,4117915,4131012,4113540,4169144,4171017,4181855,4175984,4179537,4144372,4144372
2024-11-03 20:25:29,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3850049,3691257,3692431,3684895,3663729,3699560,3652185,3656229,3658958,3643484,3689277,3689277
2024-11-03 20:25:29,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2542995,2545389,2528996,2544254,2541830,2545631,2543862,2550029,2535529,2538623,2541713,2541713
2024-11-03 20:25:29,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5575934,5667583,5563387,5658194,5649283,5562175,5567614,5672425,5613802,5697805,5622819,5622819
2024-11-03 20:25:29,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3985958,3988139,3991886,4027371,4008010,4036299,4039887,4053926,4076548,4069330,4027735,4027735
2024-11-03 20:25:29,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3804185,3778376,3828650,3813920,3850438,3844657,3847300,3863363,3868693,3858045,3835762,3835762
2024-11-03 20:25:29,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2787001,2716621,2703449,2731544,2725584,2755032,2762982,2770095,2762014,2763240,2747755,2747755
2024-11-03 20:25:29,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5334896,5266274,5270895,5284927,5289452,5314954,5271688,5277144,5247250,5267016,5282449,5282449
2024-11-03 20:25:29,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3694097,3690622,3690702,3685937,3683524,3657175,3663264,3663365,3659735,3654322,3674273,3674273
2024-11-03 20:25:30,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3312074,3152882,3155910,3150427,3155404,3152993,3148380,3150900,3171730,3172587,3172328,3172328
2024-11-03 20:25:30,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2076603,2003059,2017108,1996711,2005074,2014365,2036209,2024802,2035513,2051983,2026142,2026142
2024-11-03 20:25:30,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5008618,5040404,5024896,5027094,5053894,5059120,5058751,5086066,5071041,5090205,5052008,5052008
2024-11-03 20:25:30,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3533191,3544214,3553094,3553410,3553254,3577780,3566402,3558532,3561995,3554683,3555655,3555655
