Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:24:33,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7350090,20559,88,7371250,2449260
2024-11-03 20:24:33,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7311707,5970,0,7318016,7660
2024-11-03 20:24:33,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7448782,5501,0,7454630,7276
2024-11-03 20:24:33,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7357944,5504,0,7363744,6537
2024-11-03 20:24:33,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7591795,5967,0,7598078,6562
2024-11-03 20:24:33,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7487660,5604,0,7493564,6954
2024-11-03 20:24:33,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7497601,6345,0,7504282,8123
2024-11-03 20:24:33,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7723103,5930,0,7729349,7437
2024-11-03 20:24:33,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7426050,5751,0,7432225,6823
2024-11-03 20:24:33,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7549396,5420,0,7555166,7314
2024-11-03 20:24:33,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3821921,6386,60,3828797,8880
2024-11-03 20:24:33,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3296759,54207,0,3351278,6548
2024-11-03 20:24:33,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3282292,64249,0,3346853,6781
2024-11-03 20:24:33,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3287863,53294,0,3341477,6220
2024-11-03 20:24:33,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3312229,53382,0,3365991,6746
2024-11-03 20:24:33,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3263383,53491,0,3317224,6049
2024-11-03 20:24:33,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3287094,53473,0,3340924,6459
2024-11-03 20:24:33,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3304407,53705,0,3358430,6443
2024-11-03 20:24:33,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3287421,53741,0,3341489,6905
2024-11-03 20:24:33,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3280345,53196,0,3333843,6342
2024-11-03 20:24:33,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3274532,6163,60,3281202,8447
2024-11-03 20:24:33,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2944358,5456,0,2950144,7024
2024-11-03 20:24:33,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2928610,5608,0,2934503,6391
2024-11-03 20:24:33,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2925370,5745,0,2931429,6414
2024-11-03 20:24:33,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2984315,6205,0,2990905,6842
2024-11-03 20:24:33,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2947479,6157,0,2953938,6574
2024-11-03 20:24:33,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2941269,5678,0,2947305,6500
2024-11-03 20:24:33,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2934008,5570,0,2939873,6697
2024-11-03 20:24:33,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2943044,25925,0,2969353,7272
2024-11-03 20:24:33,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2968763,70078,0,3039170,6908
2024-11-03 20:24:33,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6416520,6009,79,6422974,15909
2024-11-03 20:24:33,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6414913,10345,0,6425559,5878
2024-11-03 20:24:33,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6448378,9917,0,6458612,16246
2024-11-03 20:24:33,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6398817,9842,0,6408938,15579
2024-11-03 20:24:33,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6419710,9347,0,6429326,5333
2024-11-03 20:24:33,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6255683,9394,0,6265335,5677
2024-11-03 20:24:33,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6384714,9494,0,6394478,6272
2024-11-03 20:24:33,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6432546,9820,0,6442659,6006
2024-11-03 20:24:34,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6265543,9527,0,6275349,6169
2024-11-03 20:24:34,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6402660,14554,0,6417502,5380
2024-11-03 20:24:34,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4545675,15675,62,4561786,7251
2024-11-03 20:24:34,41,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4439449,5301,0,4445045,15610
2024-11-03 20:24:34,42,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4415768,5036,0,4421079,9071
2024-11-03 20:24:34,43,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4535705,5207,0,4541212,6643
2024-11-03 20:24:34,44,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4495413,5012,0,4500719,5982
2024-11-03 20:24:34,45,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4535783,5157,0,4541214,5611
2024-11-03 20:24:34,46,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4514929,5001,0,4520221,5672
2024-11-03 20:24:34,47,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4515079,5154,0,4520510,5925
2024-11-03 20:24:34,48,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4497962,5176,0,4503440,5643
2024-11-03 20:24:34,49,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4538917,5577,0,4544834,5327
2024-11-03 20:24:34,50,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4046747,6151,68,4053493,8763
2024-11-03 20:24:34,51,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3822824,5934,0,3829127,5737
2024-11-03 20:24:34,52,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3801704,10370,0,3812540,15976
2024-11-03 20:24:34,53,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3802788,5703,0,3808868,5520
2024-11-03 20:24:34,54,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3811004,5748,0,3817144,5428
2024-11-03 20:24:34,55,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3798339,5634,0,3804363,5424
2024-11-03 20:24:34,56,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3803470,5642,0,3809515,5309
2024-11-03 20:24:34,57,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3841962,5929,0,3848316,5335
2024-11-03 20:24:34,58,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3815760,5598,0,3821771,5222
2024-11-03 20:24:34,59,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3812983,5620,0,3818982,6003
2024-11-03 20:24:34,60,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2606699,5494,58,2612692,7700
2024-11-03 20:24:34,61,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2585786,5462,0,2591603,5462
2024-11-03 20:24:34,62,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2588083,5195,0,2593649,5936
