Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:00:05,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7737749,7451585,7374437,7766934,7399279,7401095,7690215,7719704,7385923,7523329,7545024,7545024
2024-11-03 20:00:05,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3906914,3403465,3420105,3406831,3401486,3384974,3399192,3373343,3402327,3396290,3449492,3449492
2024-11-03 20:00:05,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3290964,2973000,2926061,2971387,2956452,2958805,2958283,2956608,2976638,3025440,2999363,2999363
2024-11-03 20:00:05,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6445776,6460964,6413649,6455216,6358283,6332863,6333246,6353699,6390240,6425237,6396916,6396916
2024-11-03 20:00:05,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4429964,4473226,4413878,4448329,4397080,4508591,4441768,4451545,4450836,4391860,4440707,4440707
2024-11-03 20:00:05,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3995743,3821394,3783578,3788659,3759904,3785311,3777394,3783089,3786893,3774394,3805635,3805635
2024-11-03 20:00:05,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2647094,2609440,2597469,2607276,2627065,2599998,2591923,2597001,2621689,2634285,2613323,2613323
2024-11-03 20:00:05,71,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6451885,6499002,-1,-1,-1,-1,-1,-1,-1,-1,6494290,6494290
2024-11-03 20:00:05,81,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4425389,4426538,4424515,4498146,4563935,4421238,4579124,4439771,4551405,4407172,4473722,4473722
2024-11-03 20:00:06,91,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3862873,3808757,3822195,3808963,3825237,3817051,3797891,3904741,3988111,3996765,3863258,3863258
2024-11-03 20:00:06,101,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2677746,2713421,2728033,2741832,2802978,2828803,2845532,2834948,2932395,2839862,2794554,2794554
2024-11-03 20:00:06,111,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4340862,4299287,4316497,4324630,4328458,4325162,4331888,4314766,4324631,4323504,4322968,4322968
2024-11-03 20:00:06,121,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3225959,2928883,3004856,2928056,2981042,3014546,3033510,2994563,3024268,2965890,3010157,3010157
2024-11-03 20:00:06,131,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5770280,5842864,5833050,5890435,5909070,5983784,5925046,5934708,5934663,6101949,5912584,5912584
2024-11-03 20:00:06,141,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4102810,4112384,4151378,4205590,4187950,4170684,4257215,4234814,4241898,4260580,4192530,4192530
