Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 19:58:56,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7286470,20502,82,7307405,2289044
2024-11-03 19:58:56,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7625651,5478,0,7631425,6309
2024-11-03 19:58:56,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7352824,5196,0,7358354,5937
2024-11-03 19:58:56,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7727833,5093,0,7733255,5931
2024-11-03 19:58:56,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7366607,5186,0,7372073,5796
2024-11-03 19:58:56,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7682341,5201,0,7687835,5804
2024-11-03 19:58:56,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7675968,5466,0,7681765,6750
2024-11-03 19:58:56,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7404092,5351,0,7409740,6115
2024-11-03 19:58:56,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7349697,5161,0,7355157,6060
2024-11-03 19:58:56,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7653290,5288,0,7658887,6137
2024-11-03 19:58:56,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3721624,5700,62,3727720,7114
2024-11-03 19:58:56,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3291910,51471,0,3343671,5683
2024-11-03 19:58:56,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3290917,62212,0,3353430,5659
2024-11-03 19:58:56,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3276405,52283,0,3329006,5583
2024-11-03 19:58:56,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3275203,52890,0,3328390,5446
2024-11-03 19:58:56,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3289732,52313,0,3342392,5374
2024-11-03 19:58:56,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3276204,52311,0,3328820,5420
2024-11-03 19:58:56,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3291392,52556,0,3344275,5366
2024-11-03 19:58:56,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3278802,52700,0,3331824,5474
2024-11-03 19:58:56,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3257763,52445,0,3310562,5434
2024-11-03 19:58:56,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3207910,5499,64,3213823,7469
2024-11-03 19:58:56,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3008330,5252,0,3013912,5911
