Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:00:36,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7357614,7470345,7704958,7404680,7755022,7723457,7424300,7712784,7396921,7419581,7536966,7536966
2024-11-03 20:00:36,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3765281,3327308,3336408,3311563,3301916,3324633,3324525,3326414,3323891,3311982,3365392,3365392
2024-11-03 20:00:36,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3178099,2926614,2935346,2934657,2940130,2927357,2924176,2931129,2943993,3010215,2965171,2965171
2024-11-03 20:00:36,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6474144,6414538,6432022,6496974,6478990,6464701,6418267,6401291,6428814,6435552,6444528,6444528
2024-11-03 20:00:36,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4390143,4531784,4377767,4417677,4372927,4382303,4380003,4509280,4368615,4497608,4422810,4422810
2024-11-03 20:00:36,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3922179,3772990,3772115,3776422,3769880,3761837,3771211,3766240,3777825,3779499,3787019,3787019
2024-11-03 20:00:36,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2595489,2582370,2575485,2587303,2579146,2572822,2574116,2571536,2583479,2578526,2580027,2580027
2024-11-03 20:00:36,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6384228,6520265,6498216,6495330,6506311,6506191,6516035,6518188,6526030,6517428,6498821,6498821
2024-11-03 20:00:36,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4470694,4438301,4541361,4423804,4416556,4543236,4518769,4500833,4392855,4481023,4472742,4472742
2024-11-03 20:00:36,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3805399,3831144,3868133,3908819,3925818,3913302,3975255,3997568,4019110,4006331,3925087,3925087
2024-11-03 20:00:36,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2680982,2629818,2647641,2711390,2718170,2747019,2722477,2713928,2731279,2718850,2702155,2702155
2024-11-03 20:00:36,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4469539,4216621,4245301,4200945,4221068,4211519,4238571,4268393,4243702,4247346,4256300,4256300
2024-11-03 20:00:36,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3025564,2970379,2941196,3032144,3046574,3119539,3148175,3137476,3145206,3154878,3072112,3072112
2024-11-03 20:00:36,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5882752,5830000,5879120,5849389,5874255,5897860,5922208,5864651,5972430,5943809,5891646,5891646
2024-11-03 20:00:36,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4122597,4233332,4115059,4129535,4113547,4157613,4161840,4183997,4163452,4169839,4155080,4155080
2024-11-03 20:00:37,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3777294,3711839,3686252,3664593,3669067,3678044,3662406,3663932,3650494,3652061,3681597,3681597
2024-11-03 20:00:37,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2530353,2521602,2530766,2541584,2527532,2548058,2532902,2538525,2541200,2541420,2535393,2535393
2024-11-03 20:00:37,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5615832,5530603,5655449,5588141,5673450,5595852,5680098,5718220,5739475,5656472,5645359,5645359
2024-11-03 20:00:37,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3986565,3992811,4032640,4011803,4003773,4013267,4025751,4057519,4087590,4070755,4028246,4028246
2024-11-03 20:00:37,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3794609,3771517,3806479,3803614,3818457,3837363,3862582,3853642,3852149,3842675,3824308,3824308
2024-11-03 20:00:37,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2710266,2696114,2684901,2696532,2697184,2720863,2773115,2760284,2763629,2763375,2726626,2726626
2024-11-03 20:00:37,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5366127,5330693,5332611,5309346,5304842,5339850,5344461,5301063,5304493,5308927,5324241,5324241
2024-11-03 20:00:37,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3734366,3790919,3757602,3739652,3720183,3722167,3706583,3700199,3701504,3705606,3727877,3727877
2024-11-03 20:00:37,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3238103,3160219,3157528,3157870,3175896,3191619,3169275,3158014,3168568,3191768,3176885,3176885
2024-11-03 20:00:37,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2067929,1991346,2002938,1998092,2023100,2013900,2033365,2018604,2029037,2055413,2023371,2023371
2024-11-03 20:00:37,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5036294,5041610,5037800,5062268,5082188,5031522,5092698,5085158,5085089,5097386,5065201,5065201
2024-11-03 20:00:37,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3527102,3547548,3555330,3555866,3558994,3570325,3558606,3565713,3567015,3567716,3557421,3557421
2024-11-03 20:00:37,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3158956,3048723,3048215,3048666,3054300,3049568,3059714,3077426,3089932,3103731,3073923,3073923
2024-11-03 20:00:37,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1988347,1960031,1972691,1974527,1995987,2000313,2005144,2020304,2022337,2011576,1995124,1995124
2024-11-03 20:00:37,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4935222,4934940,4944342,4937040,4982334,4935475,4895286,4942099,4956457,4942252,4940544,4940544
2024-11-03 20:00:37,309,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3490409,3513782,3513127,3532902,3533479,3522963,3535780,3531458,3531954,3522018,3522786,3522786
2024-11-03 20:00:37,319,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3525361,2983659,2971044,2981404,2985510,3001487,3036596,3085946,3035118,3044540,3065065,3065065
2024-11-03 20:00:37,329,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2036855,1955320,1958182,1950733,1973902,1968496,1966101,1999600,2010775,2022479,1984243,1984243
2024-11-03 20:00:37,339,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4897451,4877400,4860237,4872929,4867523,4854294,4881753,4876238,4892369,4894038,4877422,4877422
2024-11-03 20:00:37,349,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3480227,3479536,3485437,3478803,3519062,3530367,3537091,3518775,3552317,3558596,3514021,3514021
2024-11-03 20:00:38,359,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3453252,2954400,2969630,3284897,2980875,2989716,2992724,3002919,3008737,3002115,3063926,3063926
2024-11-03 20:00:38,369,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2157594,1960599,1971489,1975595,1988434,2001024,1989519,1988754,2025298,2024922,2008322,2008322
2024-11-03 20:00:38,371,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,10408268,17792223,-1,-1,-1,-1,-1,-1,-1,-1,17053827,17053827
2024-11-03 20:00:38,381,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,16678241,14430030,14495971,14462141,14482808,14492195,14526180,14474285,14469461,14476166,14698747,14698747
2024-11-03 20:00:38,387,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,9614571,17536806,17529341,17544461,17536643,17562364,-1,-1,-1,-1,16749187,16749187
