Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 16:10:43,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7693761,43467,137,7737773,2592480
2024-11-03 16:10:43,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7441833,5660,0,7447823,6371
2024-11-03 16:10:43,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7371056,5464,0,7376802,5902
2024-11-03 16:10:43,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7643746,5453,0,7649488,5851
2024-11-03 16:10:43,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7609763,5417,0,7615469,5946
2024-11-03 16:10:43,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7589160,5375,0,7594826,5964
2024-11-03 16:10:43,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7735109,5706,0,7741149,7265
2024-11-03 16:10:43,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7635202,5474,0,7640953,6042
2024-11-03 16:10:43,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7376742,5497,0,7382536,5939
2024-11-03 16:10:43,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7364916,5336,0,7370521,5911
2024-11-03 16:10:43,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3836393,5594,63,3842424,7160
2024-11-03 16:10:43,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3305155,59965,0,3365475,5622
2024-11-03 16:10:43,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3266648,65244,0,3332202,5660
2024-11-03 16:10:43,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3289085,53069,0,3342445,5560
2024-11-03 16:10:43,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3281861,53064,0,3335201,5375
2024-11-03 16:10:43,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3267026,52843,0,3320144,5208
2024-11-03 16:10:43,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3289343,52794,0,3342411,5243
2024-11-03 16:10:43,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3288585,52709,0,3341602,5383
2024-11-03 16:10:43,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3278345,52674,0,3331313,5711
2024-11-03 16:10:43,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3274415,52848,0,3327518,5720
2024-11-03 16:10:43,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3319783,5727,62,3325985,7612
2024-11-03 16:10:43,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2985682,5414,0,2991383,15915
2024-11-03 16:10:43,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2964926,5494,0,2970693,5803
2024-11-03 16:10:43,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2963605,5380,0,2969267,5718
2024-11-03 16:10:43,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2964822,5392,0,2970490,5760
2024-11-03 16:10:43,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2964548,5287,0,2970117,5714
2024-11-03 16:10:43,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2956498,5383,0,2962153,15472
2024-11-03 16:10:43,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2955423,5335,0,2961066,5786
2024-11-03 16:10:43,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2950102,24789,0,2975217,5846
2024-11-03 16:10:43,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2991642,74671,0,3066645,6033
2024-11-03 16:10:43,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6484031,5578,95,6490111,21206
2024-11-03 16:10:43,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6385293,9460,0,6395071,5017
2024-11-03 16:10:43,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6364088,8911,0,6373264,5126
2024-11-03 16:10:43,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6416480,8857,0,6425606,4938
2024-11-03 16:10:43,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6374035,8715,0,6383010,5071
2024-11-03 16:10:43,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6398543,8641,0,6407462,5107
2024-11-03 16:10:43,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6335244,8710,0,6344239,5024
2024-11-03 16:10:43,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6362481,8572,0,6371335,5014
2024-11-03 16:10:43,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6372287,8720,0,6381282,4906
2024-11-03 16:10:43,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6363654,8860,0,6372800,5016
2024-11-03 16:10:43,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4368880,21483,60,4390788,6578
2024-11-03 16:10:43,41,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4367148,5161,0,4372604,5020
2024-11-03 16:10:43,42,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4357051,5311,0,4362629,4885
2024-11-03 16:10:43,43,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4356641,5195,0,4362106,5556
2024-11-03 16:10:43,44,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4366336,5201,0,4371790,4928
2024-11-03 16:10:43,45,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4355607,5170,0,4361032,4983
