Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 16:10:43,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7737773,7447823,7376802,7649488,7615469,7594826,7741149,7640953,7382536,7370521,7555733,7555733
2024-11-03 16:10:43,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3842424,3365475,3332202,3342445,3335201,3320144,3342411,3341602,3331313,3327518,3388073,3388073
2024-11-03 16:10:43,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3325985,2991383,2970693,2969267,2970490,2970117,2962153,2961066,2975217,3066645,3016301,3016301
2024-11-03 16:10:43,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6490111,6395071,6373264,6425606,6383010,6407462,6344239,6371335,6381282,6372800,6394417,6394417
2024-11-03 16:10:43,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4390788,4372604,4362629,4362106,4371790,4361032,4361258,4384156,4356685,4352077,4367512,4367512
2024-11-03 16:10:43,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4021160,3791498,3790444,3793128,3789592,3790616,3777564,3793937,3797478,3788060,3813347,3813347
2024-11-03 16:10:43,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2616483,2586800,2585480,2578961,2589636,2576529,2577219,2577512,2580120,2578895,2584763,2584763
2024-11-03 16:10:43,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6384455,6445278,6452886,6454847,6367342,6413924,6429574,6422380,6429231,6427704,6422761,6422761
2024-11-03 16:10:43,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4414325,4554063,4398447,4391283,4518695,4562056,4688203,4421096,4516042,4585589,4504979,4504979
2024-11-03 16:10:43,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3884555,3844295,3845974,3914234,3929029,3932361,3984490,4004499,4024721,4011475,3937563,3937563
2024-11-03 16:10:43,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2710609,2625259,2656857,2699576,2714396,2712482,2723268,2708315,2721745,2726554,2699905,2699905
2024-11-03 16:10:43,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4519436,4213034,4252246,4216481,4263183,4221884,4253387,4271022,4317806,4266500,4279497,4279497
