Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:14:04,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7873257,20222,82,7894052,2373929
2024-11-03 20:14:04,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7362997,5330,0,7368663,6461
2024-11-03 20:14:04,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7702409,5353,0,7708063,6221
2024-11-03 20:14:04,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7828746,5307,0,7834352,6023
2024-11-03 20:14:04,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7499042,5237,0,7504582,6255
2024-11-03 20:14:04,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7633758,5328,0,7639378,5763
2024-11-03 20:14:04,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7664065,5450,0,7669867,6937
2024-11-03 20:14:04,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7607814,5463,0,7613588,6391
2024-11-03 20:14:04,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7463480,5183,0,7468958,5978
2024-11-03 20:14:04,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7462350,5197,0,7467834,6083
2024-11-03 20:14:04,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3752833,5684,66,3758920,7482
2024-11-03 20:14:04,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3291612,51782,0,3343731,5878
2024-11-03 20:14:04,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3292603,62479,0,3355398,5708
2024-11-03 20:14:04,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3285575,52762,0,3338663,5534
2024-11-03 20:14:04,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3273825,52722,0,3326834,5716
2024-11-03 20:14:04,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3276522,53335,0,3330154,5829
2024-11-03 20:14:04,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3272238,52817,0,3325351,5524
2024-11-03 20:14:04,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3277237,52976,0,3330514,5654
2024-11-03 20:14:04,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3268906,52889,0,3322092,15968
2024-11-03 20:14:04,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3276656,53036,0,3330042,5714
