Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:14:04,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7894052,7368663,7708063,7834352,7504582,7639378,7669867,7613588,7468958,7467834,7616933,7616933
2024-11-03 20:14:04,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3758920,3343731,3355398,3338663,3326834,3330154,3325351,3330514,3322092,3330042,3376169,3376169
2024-11-03 20:14:04,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3199964,2911286,2923085,2932162,2933605,2932762,2936947,2933525,2943485,3007064,2965388,2965388
2024-11-03 20:14:04,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6499501,6465788,6412621,6456808,6421055,6459420,6440448,6468556,6401292,6407230,6443271,6443271
2024-11-03 20:14:04,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4388608,4465622,4459540,4472135,4459362,4507200,4370920,4363879,4452953,4439523,4437973,4437973
2024-11-03 20:14:04,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3955436,3772030,3774121,3791225,3768131,3788429,3784929,3783957,3780290,3780794,3797934,3797934
2024-11-03 20:14:05,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2607074,2576142,2585663,2589834,2591912,2578625,2579542,2578018,2580341,2581894,2584904,2584904
2024-11-03 20:14:05,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6450445,6519115,6432526,6490597,6482402,6433300,6476923,6474882,6461136,6474255,6469557,6469557
2024-11-03 20:14:05,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4438678,4515533,4407668,4521860,4530805,4421439,4538663,4533197,4397227,4481786,4478684,4478684
2024-11-03 20:14:05,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3814978,3843499,3855016,3917902,3932574,3927662,3987944,4009010,4030895,4020319,3933979,3933979
2024-11-03 20:14:05,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2650392,2631495,2659145,2711894,2729152,2718896,2730204,2734582,2734907,2771518,2707218,2707218
2024-11-03 20:14:05,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4423547,4230843,4207605,4227499,4194085,4218068,4253393,4279275,4282174,4289031,4260551,4260551
2024-11-03 20:14:05,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3039977,2935001,2950243,3038903,3039815,3123317,3138791,3138208,3165074,3159188,3072851,3072851
2024-11-03 20:14:05,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5851230,5790767,5834112,5852669,5840123,5911695,5903996,5881771,5940780,5956467,5876360,5876360
2024-11-03 20:14:05,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4096894,4113085,4117504,4145727,4126808,4167810,4171437,4178394,4193651,4172837,4148414,4148414
2024-11-03 20:14:05,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3785384,3671627,3681062,3671424,3690794,3671869,3676838,3675095,3658225,3659567,3684188,3684188
2024-11-03 20:14:05,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2554260,2560597,2548100,2552587,2548541,2556300,2545345,2556292,2554605,2550484,2552711,2552711
2024-11-03 20:14:05,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5590171,5674747,5675980,5599305,5661771,5586731,5585771,5538300,5704314,5713815,5633090,5633090
2024-11-03 20:14:05,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4001844,3981454,3999475,4014568,4023127,4055337,4034784,4064732,4073194,4077589,4032609,4032609
2024-11-03 20:14:05,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3774080,3821917,3809749,3835054,3863011,3874254,3897963,3885035,3878382,3885296,3852473,3852473
2024-11-03 20:14:05,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2788515,2728465,2726919,2742667,2747912,2814012,2787862,2786565,2792978,2786861,2770275,2770275
2024-11-03 20:14:05,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5333827,5312868,5297550,5313783,5320912,5299479,5300667,5309510,5275607,5299240,5306343,5306343
2024-11-03 20:14:05,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3729669,3721124,3723208,3710493,3723881,3700090,3709796,3693760,3700261,3691580,3710385,3710385
