Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 16:15:20,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7553524,25526,200,7582212,2590890
2024-11-03 16:15:20,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7598838,9631,0,7609150,15938
2024-11-03 16:15:20,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7631492,9517,0,7641644,13812
2024-11-03 16:15:20,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7626318,9328,0,7636644,13680
2024-11-03 16:15:20,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7662144,9956,0,7672855,14908
2024-11-03 16:15:20,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7680477,8759,0,7689907,13275
2024-11-03 16:15:20,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7684919,8959,0,7694429,15431
2024-11-03 16:15:20,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7636267,8531,0,7645254,13469
2024-11-03 16:15:20,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7617541,8540,0,7626709,12380
2024-11-03 16:15:20,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7614219,8528,0,7623380,13526
2024-11-03 16:15:20,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4185230,10292,72,4196502,12636
2024-11-03 16:15:20,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3691896,74608,0,3767290,14321
2024-11-03 16:15:20,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3696756,89146,0,3786626,13789
2024-11-03 16:15:20,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3686386,60456,0,3747795,12791
2024-11-03 16:15:20,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3676682,61191,0,3739084,24196
2024-11-03 16:15:20,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3650460,60893,0,3712101,24167
2024-11-03 16:15:20,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3669755,60331,0,3731039,14037
