Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 16:15:20,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7582212,7609150,7641644,7636644,7672855,7689907,7694429,7645254,7626709,7623380,7642217,7642217
2024-11-03 16:15:20,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4196502,3767290,3786626,3747795,3739084,3712101,3731039,3706303,3744925,3775573,3790723,3790723
2024-11-03 16:15:21,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3755401,3419823,3390393,3401123,3448935,3407997,3413385,3407843,3426187,3457112,3452819,3452819
2024-11-03 16:15:21,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6574465,6679448,6554502,6847515,6548004,6556907,6608237,6527738,6647567,6566982,6611136,6611136
2024-11-03 16:15:21,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4596362,4567847,4581547,4578956,4582094,4644551,4736532,4599322,4630871,4555035,4607311,4607311
2024-11-03 16:15:21,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4697893,4355240,4373793,4346862,4368736,4296564,4399170,4349225,4358808,4323962,4387024,4387024
2024-11-03 16:15:21,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3051202,2941458,2797369,2766790,2780053,2756078,2758157,2777347,2771055,2775846,2817535,2817535
2024-11-03 16:15:21,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6320859,6308139,6400041,6393834,6420214,6474851,6265573,6513942,6474520,6699110,6427107,6427107
2024-11-03 16:15:21,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4692146,4655819,4656764,4748016,4744101,4690972,4655092,4712147,4631522,4716990,4690356,4690356
2024-11-03 16:15:21,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4512011,4422058,4478977,4470104,4494489,4502220,4616893,4694658,4592042,4608811,4539226,4539226
2024-11-03 16:15:21,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3221298,3010895,3104112,3074688,3098313,3133816,3118045,3080904,3112347,3103939,3105835,3105835
2024-11-03 16:15:21,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5271064,4867493,4894824,4825293,4703530,4777977,4864677,4936143,4882740,4906855,4893059,4893059
2024-11-03 16:15:21,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3491935,3246140,3354773,3441319,3539860,3537783,3656335,3568767,3600136,3556705,3499375,3499375
2024-11-03 16:15:21,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5676499,5645519,5605443,5605485,5667309,5689287,5698575,5723143,5731441,5747971,5679066,5679066
2024-11-03 16:15:21,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4099130,4097662,4117827,4121798,4119183,4203426,4159161,4186423,4166371,4158104,4142907,4142907
2024-11-03 16:15:21,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4172826,3913995,3727078,3723053,3723522,3704684,3716450,3693560,3698315,3680759,3775423,3775423
2024-11-03 16:15:21,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2571126,2559933,2542980,2553944,2539861,2563464,2547627,2567528,2558071,2573594,2557812,2557812
2024-11-03 16:15:21,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5592159,5349125,5363483,5354596,5473864,5383055,5496854,5603869,5558916,5576968,5475288,5475288
2024-11-03 16:15:21,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3963402,4097888,3993437,4147301,3990845,4000612,4010060,4175784,4048603,4056053,4048398,4048398
2024-11-03 16:15:22,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3996670,3797285,3825107,3832758,3861064,3883103,3889456,3882777,3889668,3878371,3873625,3873625
2024-11-03 16:15:22,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2827226,2704189,2713308,2710108,2724362,2768178,2769971,2775143,2771483,2782327,2754629,2754629
2024-11-03 16:15:22,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5153038,5179729,5177828,5265262,5277035,5215504,5231821,5212556,5213163,5208974,5213491,5213491
2024-11-03 16:15:22,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3676353,3668047,3730670,3658934,3669075,3652934,3655660,3656838,3688974,3675766,3673324,3673324
2024-11-03 16:15:22,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3487261,3173150,3152978,3164361,3166717,3188154,3194901,3173476,3175067,3173654,3204971,3204971
2024-11-03 16:15:22,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2134716,2004196,2047666,2018802,2041953,2021906,2025569,2030624,2040696,2069119,2043524,2043524
2024-11-03 16:15:22,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4789982,4856468,4859148,4873258,4899840,4894978,4884917,4926649,5094392,4815354,4889498,4889498
2024-11-03 16:15:22,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3537138,3540469,3528294,3542562,3551304,3556103,3563973,3556540,3554291,3552281,3548295,3548295
2024-11-03 16:15:22,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3361908,3042670,3057596,3065398,3065659,3050167,3065479,3087176,3083884,3105285,3098522,3098522
2024-11-03 16:15:22,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2019541,1970799,1998112,1991407,2008047,2010496,2010444,2028312,2019547,2031550,2008824,2008824
2024-11-03 16:15:22,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4697344,4691394,4679843,4692067,4778992,4681967,4689707,4843276,4694383,4691623,4714058,4714058
2024-11-03 16:15:22,309,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3489431,3509418,3526319,3538243,3531721,3521289,3510855,3528551,3514208,3520755,3519078,3519078
2024-11-03 16:15:22,319,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3604456,3010143,3000915,3002622,3006705,3011521,3046782,3045471,3044545,3050237,3082339,3082339
2024-11-03 16:15:22,329,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2042633,1953327,1952433,1954426,1979040,1973894,1989908,1996118,2018397,2016651,1987682,1987682
2024-11-03 16:15:22,339,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4682319,4642408,4689100,4650550,5317372,4656126,4668921,4654729,4684049,4658816,4730438,4730438
2024-11-03 16:15:22,349,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3510116,3475475,3501111,3503462,3521763,3508348,3511625,3522240,3535698,3540647,3513048,3513048
2024-11-03 16:15:22,359,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3905682,2984185,3016757,2991273,3006490,2998875,3012948,3017105,3041219,3041948,3101648,3101648
2024-11-03 16:15:22,369,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2220684,1960827,1991346,1983689,1997112,2010010,2001879,2021333,2006542,2021070,2021449,2021449
2024-11-03 16:15:23,379,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,10395277,17817298,17746308,17748405,17870907,17825601,17817460,17796272,17829277,17815364,17066216,17066216
2024-11-03 16:15:23,389,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,6214806,14764573,14761943,14769536,14789712,14771480,14773847,14782020,14809124,14818092,13925512,13925512
2024-11-03 16:15:23,399,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,9899427,17731202,17690859,17688002,17653394,17735219,17707516,17680828,17763872,17741487,16929180,16929180
2024-11-03 16:15:23,409,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,6662763,15117231,15188005,15107258,15124489,15127532,15130836,15113462,15125342,15133671,14283058,14283058
2024-11-03 16:15:23,419,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,5895165,14612715,14752787,14640924,14615442,14631974,14673077,14660728,14658084,14757783,13789867,13789867
2024-11-03 16:15:24,429,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,4438540,13765078,13716310,13707549,13733947,13729158,13690244,13753716,13729910,13735830,12800027,12800027
2024-11-03 16:15:24,439,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,9625976,17399901,17435055,17422103,17377794,17406378,17432626,17424431,17417499,17397825,16633958,16633958
2024-11-03 16:15:24,449,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,6367139,14961840,14909459,14898294,14930694,14925295,14973032,14965742,15008176,15004569,14094423,14094423
2024-11-03 16:15:24,459,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,5567171,14287179,14251837,14304043,14277158,14256562,14286442,14324896,14273928,14293103,13412231,13412231
2024-11-03 16:15:24,469,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,4103256,13653951,13639061,13634972,13677523,13645387,13632561,13648292,13657803,13665657,12695845,12695845
2024-11-03 16:15:25,479,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,9816185,17555506,17612621,17524911,17538202,17551934,17564494,17553780,17525125,17507820,16775057,16775057
2024-11-03 16:15:25,489,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,6490159,15089234,15074330,15070218,15056569,15083978,15085840,15121814,15178216,15109525,14235988,14235988
2024-11-03 16:15:25,499,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,5607676,14314602,14313879,14320711,14316801,14316895,14348821,14409545,14357430,14373239,13467959,13467959
2024-11-03 16:15:25,509,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,4217434,13662344,13664696,13661632,13659709,13660384,13655485,13631798,13657150,13658690,12712931,12712931
2024-11-03 16:15:26,519,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,10355987,17690587,17536259,17504213,17529240,17527638,17524401,17520546,17506801,17527052,16822271,16822271
2024-11-03 16:15:26,529,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,6315237,14986278,14992198,14986782,14984569,14976597,14993199,14974349,14968339,14980806,14115834,14115834
2024-11-03 16:15:26,539,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,5508281,14173384,14164571,14171820,14181925,14175470,14172923,14150615,14148425,14150656,13299806,13299806
2024-11-03 16:15:26,549,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,3941774,13471907,13437343,13443215,13430849,13433823,13433460,13463033,13458890,13480753,12499504,12499504
