Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 07:01:23,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6278239,730199,101,7009452,2313177
2024-11-13 07:01:23,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6149769,756678,0,6907196,9842
2024-11-13 07:01:23,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6408951,793030,0,7202864,10503
2024-11-13 07:01:23,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6175006,765956,0,6941687,10401
2024-11-13 07:01:23,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6460735,744044,0,7205563,10518
2024-11-13 07:01:23,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6167515,740201,0,6908534,10269
2024-11-13 07:01:23,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6172974,735975,0,6909699,9818
2024-11-13 07:01:23,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6159676,739864,0,6900359,9709
2024-11-13 07:01:23,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6134059,739364,0,6874223,9948
2024-11-13 07:01:23,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6134836,719264,0,6854801,9695
2024-11-13 07:01:23,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3594128,708611,81,4303704,9860
2024-11-13 07:01:23,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3062821,893004,0,3956533,8663
2024-11-13 07:01:23,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3071198,850181,0,3921838,8825
2024-11-13 07:01:23,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3015724,744773,0,3761182,9197
2024-11-13 07:01:23,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3006832,852803,0,3860402,13499
2024-11-13 07:01:23,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3059193,818375,0,3878157,9211
2024-11-13 07:01:23,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3023758,809028,0,3833360,9696
2024-11-13 07:01:23,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3038092,822663,0,3861395,9151
2024-11-13 07:01:23,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3096981,837661,0,3935446,11658
2024-11-13 07:01:23,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3147769,804819,0,3953408,11930
