Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 07:01:52,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,5918819,5748297,5729739,5720906,5749639,5759550,5702445,5730759,5780389,5732146,5757268,5757268
2024-11-13 07:01:52,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3813234,3483746,3427772,3391202,3398448,3341128,3327779,3340598,3354263,3354389,3423255,3423255
2024-11-13 07:01:52,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5054424,3189224,3191909,3144993,3167364,3171161,3223369,3153911,4140798,3179234,3461638,3461638
2024-11-13 07:01:52,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5347217,5310348,5314312,5326731,5322951,5320917,5322013,5353296,5313694,5330817,5326229,5326229
2024-11-13 07:01:52,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4007105,3952453,3934353,3925939,3959972,3946661,3952084,3917542,3906102,3960108,3946231,3946231
2024-11-13 07:01:52,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3988559,3805485,3791752,3836215,3821650,3857597,3827073,3811372,3779612,3813774,3833308,3833308
2024-11-13 07:01:52,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2989223,2926793,2931465,2926372,2906116,2927405,2933317,2932215,2934273,2893006,2930018,2930018
2024-11-13 07:01:52,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5015364,5006549,4975532,4961697,5029234,4963417,4994001,4992453,4951702,4999677,4988962,4988962
2024-11-13 07:01:52,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3820528,3761556,3730436,3758036,3716668,3761509,3763642,3709869,3771785,3847642,3764166,3764166
2024-11-13 07:01:52,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3729611,3717201,3727080,3753304,3833671,3876188,3921445,3965416,3892733,3877150,3829379,3829379
2024-11-13 07:01:52,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2893612,2836383,2892577,2982536,2931102,2905287,2956972,3019639,2989589,2981300,2938899,2938899
2024-11-13 07:01:52,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4606086,4278669,4281119,4232789,4297323,4262175,4280372,4327021,4323158,4403822,4329253,4329253
2024-11-13 07:01:53,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3445283,3363617,3276885,3407689,3421183,3488027,3489011,3457493,3520074,3483559,3435281,3435281
2024-11-13 07:01:53,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5018338,4952376,4960381,4990662,5032925,5023651,4983792,5053969,5028576,5084827,5012949,5012949
2024-11-13 07:01:53,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,3886557,3982281,3969334,3963909,4003811,4073172,3994040,4047044,3985608,4012641,3991839,3991839
2024-11-13 07:01:53,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4080911,3973299,4016358,3995553,4026136,3985781,4038819,4009446,3947071,3982024,4005539,4005539
2024-11-13 07:01:53,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3211377,3164272,3158032,3130816,3191420,3238705,3164181,3133437,3196880,3209669,3179878,3179878
2024-11-13 07:01:53,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5454820,5341989,5409141,5429138,5352957,5936751,5409628,5485178,5566112,5568549,5495426,5495426
2024-11-13 07:01:53,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4548970,4539477,4546101,4504901,4480630,4588561,4561180,4614996,4645240,4636164,4566621,4566621
2024-11-13 07:01:53,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,4843033,4706036,4712580,4747173,4779754,4778348,4842007,4892900,4858387,4825680,4798589,4798589
2024-11-13 07:01:53,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4077212,3911630,3971152,3989329,3921586,3956826,4084383,4073133,4115191,4006217,4010665,4010665
2024-11-13 07:01:53,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4621790,4502877,4515366,4585715,4567327,4583974,4603177,4555333,4568037,4603459,4570705,4570705
2024-11-13 07:01:53,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3515401,3491194,3492411,3489444,3480275,3489736,3488649,3464163,3456075,3488760,3485610,3485610
2024-11-13 07:01:53,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3461068,3228301,3272586,3219088,3277640,3255709,3210590,3303988,3299499,3285488,3281395,3281395
2024-11-13 07:01:53,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2492900,2506245,2492766,2366500,2375493,2498526,2450240,2519574,2455464,2469682,2462738,2462738
2024-11-13 07:01:53,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4329718,4852806,4275789,4955462,5025356,5136590,4972938,5005476,5160193,4984927,4869925,4869925
2024-11-13 07:01:53,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3313286,3362536,3808833,3393645,3408769,3408863,3398001,3378627,3406327,3793955,3467284,3467284
2024-11-13 07:01:53,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3427081,3255271,3298337,3443741,3471400,3481311,3249949,3248840,3225324,3217891,3331914,3331914
2024-11-13 07:01:54,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2444932,2474420,2545259,2526832,2539656,2557751,2457466,2483430,2615402,2588082,2523322,2523322
2024-11-13 07:01:54,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4905661,4633782,4873761,4257929,4276685,4248923,4261363,4290578,4183946,4224287,4415691,4415691
2024-11-13 07:01:54,309,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3363608,3380265,3356069,3853562,3528766,3453695,3847689,3413326,3322938,3376749,3489666,3489666
2024-11-13 07:01:54,319,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3733558,3288044,3303280,3245466,3300621,3296200,3315883,3502281,3498896,3338268,3382249,3382249
2024-11-13 07:01:54,329,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2574777,2539758,2471107,2468788,2472087,2529905,2508445,2431354,2499392,2545187,2504079,2504079
2024-11-13 07:01:54,339,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4056825,3979368,4027506,3994078,3966148,4037750,3986189,4000902,5792640,4020953,4186235,4186235
2024-11-13 07:01:54,349,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3198425,3191264,3227028,3229790,3271647,3282618,3274626,3241137,3265410,3323841,3250578,3250578
2024-11-13 07:01:54,359,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3590872,3145173,3152998,3141930,3144381,3136631,3160253,3184309,3189307,3135265,3198111,3198111
2024-11-13 07:01:54,369,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2506115,2350253,2348458,2335556,2364638,2388990,2400933,2386413,2398370,2398081,2387780,2387780
2024-11-13 07:01:54,370,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,8504578,-1,-1,-1,-1,-1,-1,-1,-1,-1,8504578,8504578
2024-11-13 07:01:54,371,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,12759644,-1,-1,-1,-1,-1,-1,-1,-1,-1,12759644,12759644
2024-11-13 07:01:54,372,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,14809827,-1,-1,-1,-1,-1,-1,-1,-1,-1,14809827,14809827
2024-11-13 07:01:54,373,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,11792844,-1,-1,-1,-1,-1,-1,-1,-1,-1,11792844,11792844
2024-11-13 07:01:54,374,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,12199690,-1,-1,-1,-1,-1,-1,-1,-1,-1,12199690,12199690
2024-11-13 07:01:54,375,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,10219334,-1,-1,-1,-1,-1,-1,-1,-1,-1,10219334,10219334
2024-11-13 07:01:54,376,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,14294009,-1,-1,-1,-1,-1,-1,-1,-1,-1,14294009,14294009
2024-11-13 07:01:54,377,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,11441322,-1,-1,-1,-1,-1,-1,-1,-1,-1,11441322,11441322
2024-11-13 07:01:54,378,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,11543697,-1,-1,-1,-1,-1,-1,-1,-1,-1,11543697,11543697
2024-11-13 07:01:54,379,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,10361541,-1,-1,-1,-1,-1,-1,-1,-1,-1,10361541,10361541
2024-11-13 07:01:54,380,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,14896272,-1,-1,-1,-1,-1,-1,-1,-1,-1,14896272,14896272
2024-11-13 07:01:54,381,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,11323720,-1,-1,-1,-1,-1,-1,-1,-1,-1,11323720,11323720
2024-11-13 07:01:54,382,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,11470962,-1,-1,-1,-1,-1,-1,-1,-1,-1,11470962,11470962
2024-11-13 07:01:54,383,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,10699744,-1,-1,-1,-1,-1,-1,-1,-1,-1,10699744,10699744
2024-11-13 07:01:54,384,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,14325052,-1,-1,-1,-1,-1,-1,-1,-1,-1,14325052,14325052
2024-11-13 07:01:54,385,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,11079225,-1,-1,-1,-1,-1,-1,-1,-1,-1,11079225,11079225
2024-11-13 07:01:54,386,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,11481351,-1,-1,-1,-1,-1,-1,-1,-1,-1,11481351,11481351
2024-11-13 07:01:54,387,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,10256088,-1,-1,-1,-1,-1,-1,-1,-1,-1,10256088,10256088
2024-11-13 07:01:54,388,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,14577110,-1,-1,-1,-1,-1,-1,-1,-1,-1,14577110,14577110
2024-11-13 07:01:54,389,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,11335456,-1,-1,-1,-1,-1,-1,-1,-1,-1,11335456,11335456
2024-11-13 07:01:54,390,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,11361172,-1,-1,-1,-1,-1,-1,-1,-1,-1,11361172,11361172
2024-11-13 07:01:54,391,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,9794437,-1,-1,-1,-1,-1,-1,-1,-1,-1,9794437,9794437
2024-11-13 07:01:54,392,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,8582500,-1,-1,-1,-1,-1,-1,-1,-1,-1,8582500,8582500
2024-11-13 07:01:54,393,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,9281772,-1,-1,-1,-1,-1,-1,-1,-1,-1,9281772,9281772
2024-11-13 07:01:54,394,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,8727892,-1,-1,-1,-1,-1,-1,-1,-1,-1,8727892,8727892
2024-11-13 07:01:54,395,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,10157913,-1,-1,-1,-1,-1,-1,-1,-1,-1,10157913,10157913
2024-11-13 07:01:54,396,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,9769743,-1,-1,-1,-1,-1,-1,-1,-1,-1,9769743,9769743
2024-11-13 07:01:54,397,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,7991099,-1,-1,-1,-1,-1,-1,-1,-1,-1,7991099,7991099
2024-11-13 07:01:54,398,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,11408831,-1,-1,-1,-1,-1,-1,-1,-1,-1,11408831,11408831
2024-11-13 07:01:54,399,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,9580438,-1,-1,-1,-1,-1,-1,-1,-1,-1,9580438,9580438
2024-11-13 07:01:54,400,VerletListsCells,1.000000,vlc_c08,none,AoS,disabled,8733875,-1,-1,-1,-1,-1,-1,-1,-1,-1,8733875,8733875
2024-11-13 07:01:54,401,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,6932607,-1,-1,-1,-1,-1,-1,-1,-1,-1,6932607,6932607
2024-11-13 07:01:54,402,VerletListsCells,1.000000,vlc_c08,none,SoA,disabled,11705898,-1,-1,-1,-1,-1,-1,-1,-1,-1,11705898,11705898
