Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 07:00:59,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7107626,6912108,6892679,6876501,6906308,6906792,6864120,6853750,6820016,6933061,6907295,6907295
2024-11-13 07:01:00,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4367298,3841900,3804227,3730919,3791018,3793783,3756440,3789084,3761990,3734768,3837142,3837142
2024-11-13 07:01:00,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,6098976,3491784,3529244,3505801,3607585,3547560,3583164,4003783,3594476,3581086,3854345,3854345
2024-11-13 07:01:00,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6399367,6387211,6304885,6391293,6451760,6292804,6291594,6263704,6337139,6362552,6348230,6348230
2024-11-13 07:01:00,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4804616,4775268,4778018,4796813,4721071,4776900,4702916,4730289,4724907,4697416,4750821,4750821
2024-11-13 07:01:00,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4502917,4309692,4293028,4360898,4589844,4325788,4254829,4313082,4367546,4308080,4362570,4362570
2024-11-13 07:01:00,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3275115,3227430,3221188,3194714,3192350,3237673,3231610,3225089,3234995,3218805,3225896,3225896
2024-11-13 07:01:00,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6025486,6004154,6004193,6029264,6025457,6012823,5999324,6072013,6065532,5965325,6020356,6020356
2024-11-13 07:01:00,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4512650,4525387,4544544,4489924,4492144,4474459,4471068,4516826,4484287,4646102,4515738,4515738
2024-11-13 07:01:00,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4180908,4122621,4171760,4265993,4226733,4241243,4294036,4272827,4307961,4370206,4245428,4245428
2024-11-13 07:01:00,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3196413,3062489,3090707,3176674,3234928,3263836,3275802,3268556,3247251,3268167,3208482,3208482
2024-11-13 07:01:00,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5123750,4760612,4734418,4710723,4739901,4872480,4833701,4886887,4874428,4944675,4848157,4848157
2024-11-13 07:01:00,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3924724,3840082,3816906,4006066,3961957,3986904,3967562,3921358,3925217,3952208,3930297,3930297
2024-11-13 07:01:00,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5999283,5894889,5904428,5948490,6019865,5975003,5982465,5993438,6025732,6009455,5975304,5975304
2024-11-13 07:01:00,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4661887,4679414,4689098,4715666,4725790,4764798,4765105,4740746,4828312,4797461,4736827,4736827
2024-11-13 07:01:01,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4618165,4438889,4420250,4439976,4520609,4491482,4473196,4497441,4471468,4509160,4488062,4488062
2024-11-13 07:01:01,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3580901,3515162,3556206,3521202,3529661,3578953,3529685,3490130,3537817,3524075,3536378,3536378
2024-11-13 07:01:01,170,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6396897,-1,-1,-1,-1,-1,-1,-1,-1,-1,6396897,6396897
2024-11-13 07:01:01,180,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5282006,5332539,5314028,5290756,5313859,5293810,5343214,5405556,5418187,5537532,5353148,5353148
2024-11-13 07:01:01,190,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5322349,5166065,5245055,5209220,5282845,5221581,5333890,5268269,5263650,5386454,5269937,5269937
2024-11-13 07:01:01,200,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4326222,4302615,4394777,4456833,4416236,4389198,4485896,4397951,4502972,4409574,4408227,4408227
2024-11-13 07:01:01,210,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5512868,5466682,5484783,5454797,5517958,5510305,5514944,5506646,5560567,5507308,5503685,5503685
2024-11-13 07:01:01,220,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4204166,4183707,4231645,4203249,4200635,4248499,4198676,4206849,4208448,4204634,4209050,4209050
2024-11-13 07:01:01,230,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3740879,3624813,3653714,3737789,3698347,3724845,3666037,3638120,3654435,3639307,3677828,3677828
2024-11-13 07:01:01,240,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2745237,2687204,2692446,2700316,2670428,2664893,2639272,2944442,2963188,2800776,2750819,2750819
2024-11-13 07:01:01,244,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5221087,5103085,5114828,5902563,-1,-1,-1,-1,-1,-1,5358251,5358251
2024-11-13 07:01:01,254,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4114858,4120597,4097132,4605956,4138910,4133463,4644370,4161583,4218560,4209618,4244503,4244503
2024-11-13 07:01:01,264,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3771668,3688416,3901580,3870406,3879332,3571382,3651016,3679310,3905715,3742169,3766098,3766098
2024-11-13 07:01:01,274,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2975937,2748319,2726062,2728742,2706050,2898369,2790796,2766932,2843134,2918499,2810283,2810283
2024-11-13 07:01:01,275,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,5958658,-1,-1,-1,-1,-1,-1,-1,-1,-1,5958658,5958658
2024-11-13 07:01:01,285,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4108967,4619244,4417190,4024520,4445727,4035897,4107887,4081127,4185877,4160257,4218668,4218668
2024-11-13 07:01:01,295,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,4110669,3669114,3673286,3711232,3695522,3704845,3687530,3694833,3722195,3705504,3737472,3737472
2024-11-13 07:01:02,305,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2880865,2774223,2849924,2769555,2788927,2804911,2805180,2858270,2846768,2839321,2821794,2821794
2024-11-13 07:01:02,315,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4838446,4795077,4816122,4794755,4823114,4828052,4777294,4780767,4798886,4794943,4804745,4804745
2024-11-13 07:01:02,325,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3798514,3785855,3804363,3874755,3852116,3846699,3819630,3851137,3831755,3909389,3837421,3837421
2024-11-13 07:01:02,335,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3952137,3502881,3530349,3509708,3489639,3516260,3496224,3495061,3515421,3458209,3546588,3546588
