Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 16:26:13,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6303625,761964,134,7066454,2301903
2024-11-13 16:26:13,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6151752,737018,0,6889366,8714
2024-11-13 16:26:13,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6159754,748467,0,6908750,6274
2024-11-13 16:26:13,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6087043,735861,0,6823565,6486
2024-11-13 16:26:13,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6154344,764361,0,6919196,6560
2024-11-13 16:26:13,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6120751,746435,0,6867757,6337
2024-11-13 16:26:13,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6126362,718837,0,6845773,6365
2024-11-13 16:26:13,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6184934,728952,0,6915514,6446
2024-11-13 16:26:13,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6318834,691702,0,7012281,14004
2024-11-13 16:26:13,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6301908,734562,0,7037841,19809
2024-11-13 16:26:13,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3839030,749147,74,4589842,23494
2024-11-13 16:26:13,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3313412,873167,0,4187769,13637
2024-11-13 16:26:13,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3221029,828070,0,4050724,13360
2024-11-13 16:26:13,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3321670,854925,0,4177857,13911
2024-11-13 16:26:13,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3264552,826941,0,4092859,13425
2024-11-13 16:26:13,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3255888,847263,0,4104324,13474
2024-11-13 16:26:13,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3129795,769220,0,3900440,13425
2024-11-13 16:26:13,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3316602,878151,0,4195963,14259
