Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:26:13,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7066454,6889366,6908750,6823565,6919196,6867757,6845773,6915514,7012281,7037841,6928649,6928649
2024-11-13 16:26:13,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4589842,4187769,4050724,4177857,4092859,4104324,3900440,4195963,4116116,3984744,4140063,4140063
2024-11-13 16:26:13,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,6356134,5230467,3699915,3796988,3782249,3720655,3776480,3730417,3765479,3827899,4168667,4168667
2024-11-13 16:26:13,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6516937,6487082,6359700,6393739,6369078,6409819,6374929,6284874,6349570,6332168,6387788,6387788
2024-11-13 16:26:13,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4835661,4761285,4822089,4716164,4807972,4692960,4744598,4756095,4721415,4759664,4761789,4761789
2024-11-13 16:26:13,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4516990,4329066,4285005,4264636,4312883,4343293,4310321,4288673,4299605,4302832,4325329,4325329
2024-11-13 16:26:13,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3326419,3263375,3198378,3187876,3201988,3251023,3220926,3235291,3258932,3218745,3236294,3236294
2024-11-13 16:26:13,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5978430,5989640,5962402,5932319,5937469,5925716,5991571,5989219,5926132,6118918,5975181,5975181
2024-11-13 16:26:13,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4611025,4527848,4478293,4479783,4481183,4470564,4482619,4456820,4481080,4593419,4506263,4506263
2024-11-13 16:26:14,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4250394,4179579,4152926,4211647,4215332,4294112,4349450,4371849,4431605,4339784,4279667,4279667
2024-11-13 16:26:14,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3165169,3066017,3126108,3170462,3200500,3230794,3257945,3210547,3188742,3245504,3186178,3186178
2024-11-13 16:26:14,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4947153,4793508,4753461,4771850,4754574,4754244,4824538,4835345,4903084,4845178,4818292,4818292
2024-11-13 16:26:14,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3817935,3979320,4015786,4038619,4010838,4123987,4297146,4154827,3963094,3931622,4033316,4033316
