Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 15:46:43,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6287777,786050,143,7074600,2266849
2024-11-13 15:46:43,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6121152,754652,0,6876384,6825
2024-11-13 15:46:43,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6111044,779933,0,6891568,6696
2024-11-13 15:46:43,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6077589,761441,0,6839574,6311
2024-11-13 15:46:43,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6091190,753745,0,6845477,6177
2024-11-13 15:46:43,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6144429,725785,0,6870720,6231
2024-11-13 15:46:43,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6109499,734584,0,6844641,6197
2024-11-13 15:46:43,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6081595,720598,0,6802785,6211
2024-11-13 15:46:43,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6063601,724574,0,6788656,6289
2024-11-13 15:46:44,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6087113,715097,0,6802689,6255
2024-11-13 15:46:44,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3413483,704697,63,4118954,6363
2024-11-13 15:46:44,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2954982,859686,0,3815144,5786
2024-11-13 15:46:44,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2979343,808521,0,3788332,5643
2024-11-13 15:46:44,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2973882,835139,0,3809590,6013
2024-11-13 15:46:44,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2978296,787974,0,3766882,6112
2024-11-13 15:46:44,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2979395,800979,0,3780924,8932
2024-11-13 15:46:44,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2930946,797738,0,3729164,6763
2024-11-13 15:46:44,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2963926,786862,0,3751307,6194
2024-11-13 15:46:44,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2903604,730617,0,3634846,8705
2024-11-13 15:46:44,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2921987,774044,0,3696861,6118
2024-11-13 15:46:44,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4725981,735963,91,5462850,10074
2024-11-13 15:46:44,21,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5769349,757209,78,6527368,18812
2024-11-13 15:46:44,22,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4056609,683927,90,4741364,7943
2024-11-13 15:46:44,23,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4037158,709935,0,4747616,5205
2024-11-13 15:46:44,24,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4005088,741437,0,4747365,5226
2024-11-13 15:46:44,25,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4040083,693642,0,4734301,5243
2024-11-13 15:46:44,26,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4037450,710381,0,4748380,5334
2024-11-13 15:46:44,27,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4078619,735903,0,4815066,5092
2024-11-13 15:46:44,28,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4064407,742834,0,4807741,5247
2024-11-13 15:46:44,29,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4035196,771757,0,4807462,5077
2024-11-13 15:46:44,30,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4047324,800959,0,4848957,7092
2024-11-13 15:46:44,31,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4052177,798267,0,4850970,5185
2024-11-13 15:46:44,32,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3668206,693460,103,4362582,7529
2024-11-13 15:46:44,33,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3498528,711113,0,4210351,7567
2024-11-13 15:46:44,34,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3522601,680389,0,4203628,5283
2024-11-13 15:46:44,35,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3485621,698099,0,4184431,5147
2024-11-13 15:46:44,36,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3469655,703008,0,4173278,5173
2024-11-13 15:46:44,37,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3472210,741381,0,4214243,5180
2024-11-13 15:46:44,38,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3462175,684276,0,4147188,5130
2024-11-13 15:46:44,39,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3485468,703971,0,4190160,6985
2024-11-13 15:46:44,40,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3477299,697678,0,4175600,5222
2024-11-13 15:46:44,41,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3476644,719644,0,4196962,7267
2024-11-13 15:46:44,42,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2489013,684281,83,3174366,7994
2024-11-13 15:46:44,43,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2458889,744569,0,3204115,7250
2024-11-13 15:46:44,44,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2464479,699364,0,3164506,4974
2024-11-13 15:46:44,45,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2450742,734539,0,3185888,7035
2024-11-13 15:46:44,46,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2453218,690828,0,3144967,5217
2024-11-13 15:46:44,47,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2484804,701335,0,3186811,5367
2024-11-13 15:46:44,48,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2478832,692600,0,3172335,7488
2024-11-13 15:46:44,49,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2488497,725881,0,3215073,6998
2024-11-13 15:46:44,50,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2501267,762192,0,3264043,5286
2024-11-13 15:46:44,51,true,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2482583,694798,0,3177940,4991
2024-11-13 15:46:44,52,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5224141,750432,80,5975273,7159
2024-11-13 15:46:44,53,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3770019,741128,67,4511777,5242
2024-11-13 15:46:44,54,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3753896,701822,0,4456398,4801
2024-11-13 15:46:44,55,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3793508,696633,0,4490774,4797
2024-11-13 15:46:44,56,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3801203,703094,0,4504786,4890
2024-11-13 15:46:44,57,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3760006,759352,0,4519928,6510
2024-11-13 15:46:44,58,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3768339,710999,0,4479850,4891
2024-11-13 15:46:44,59,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3787110,721927,0,4509937,4831
2024-11-13 15:46:44,60,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3758779,726973,0,4486282,4873
2024-11-13 15:46:44,61,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3780502,742907,0,4524023,6627
2024-11-13 15:46:44,62,true,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3750864,732568,0,4484014,6888
2024-11-13 15:46:44,63,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3426120,718838,68,4145958,5204
2024-11-13 15:46:44,64,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3346581,734104,0,4081262,7100
2024-11-13 15:46:44,65,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3358403,753727,0,4112651,5065
2024-11-13 15:46:44,66,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3405405,743985,0,4149869,4964
2024-11-13 15:46:44,67,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3353979,701237,0,4055910,4981
2024-11-13 15:46:44,68,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3342514,698318,0,4041501,6637
2024-11-13 15:46:44,69,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3344900,737812,0,4083527,4786
2024-11-13 15:46:44,70,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3380056,702685,0,4083354,4802
2024-11-13 15:46:44,71,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3366600,742807,0,4109962,5003
2024-11-13 15:46:44,72,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3367917,758938,0,4127365,4933
2024-11-13 15:46:44,73,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2495113,725832,66,3221572,5200
2024-11-13 15:46:44,74,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2442659,708845,0,3152066,4819
2024-11-13 15:46:44,75,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2403994,735479,0,3140354,4964
2024-11-13 15:46:44,76,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2372241,696270,0,3069070,5033
2024-11-13 15:46:44,77,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2405118,724453,0,3130120,6713
2024-11-13 15:46:44,78,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2432582,716368,0,3149915,7311
2024-11-13 15:46:44,79,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2383262,720549,0,3104455,5063
2024-11-13 15:46:44,80,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2392948,734261,0,3127800,5031
2024-11-13 15:46:44,81,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2427481,761845,0,3189837,4905
2024-11-13 15:46:44,82,true,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2451073,729782,0,3181358,4877
2024-11-13 15:46:44,83,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4117225,755487,71,4873335,62635
2024-11-13 15:46:44,84,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2973758,730201,61,3704668,7633
2024-11-13 15:46:44,85,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2928777,678933,0,3608311,7263
2024-11-13 15:46:44,86,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2913905,733016,0,3647492,10092
2024-11-13 15:46:44,87,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2918742,677075,0,3596322,6969
2024-11-13 15:46:44,88,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2921222,719511,0,3641558,15274
2024-11-13 15:46:44,89,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2877858,796675,0,3675037,7208
2024-11-13 15:46:44,90,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2920633,947670,0,3868843,7019
2024-11-13 15:46:44,91,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2962140,962828,0,3925362,7174
2024-11-13 15:46:44,92,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2947321,993614,0,3941464,7257
2024-11-13 15:46:44,93,true,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2933709,1113147,0,4047408,10424
