Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 15:47:06,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7107395,6849004,6815352,6828512,6848642,6842945,6840444,6821273,6830606,6806371,6859054,6859054
2024-11-13 15:47:06,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4222074,3856299,3823577,3759521,3780971,3796735,3767462,3793647,3733501,3704139,3823792,3823792
2024-11-13 15:47:06,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4629277,3759257,3455584,3566736,3844343,3476316,3511322,3476537,3524343,3594502,3683821,3683821
2024-11-13 15:47:06,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6489368,6337088,6335204,6364957,6328169,6333309,6326636,6357116,6335509,6333919,6354126,6354126
2024-11-13 15:47:06,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4717474,4658481,4702798,4737876,4658108,4762959,4738210,4728216,4678024,4705721,4708786,4708786
2024-11-13 15:47:06,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4429440,4229043,4262195,4276556,4270361,4280320,4282494,4251816,4259046,4241027,4278229,4278229
2024-11-13 15:47:06,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3218200,3213909,3171792,3186246,3144856,3189216,3173822,3153233,3165043,3164114,3178042,3178042
2024-11-13 15:47:07,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5959505,5914107,5958594,5918607,5923235,5901284,5887814,5924858,5865324,5863720,5911704,5911704
2024-11-13 15:47:07,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4483182,4439200,4463060,4442340,4496873,4506776,4460991,4463032,4482826,4549436,4478771,4478771
2024-11-13 15:47:07,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4129245,4176450,4153311,4171832,4185585,4242106,4282244,4330861,4325789,4289425,4228684,4228684
2024-11-13 15:47:07,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3191012,3110322,3149838,3186355,3230182,3171871,3297967,3282037,3226945,3259952,3210647,3210647
2024-11-13 15:47:07,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4988864,4704292,4679297,4752002,4760592,4765519,4801936,4766299,4866548,4754878,4784022,4784022
2024-11-13 15:47:07,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3752455,3669080,3678872,3826117,3762821,3935705,3864030,3855277,3999293,3886430,3823007,3823007
2024-11-13 15:47:07,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5897051,5921761,5884676,5872347,5949890,5894243,5924037,5911586,5926391,5978945,5916092,5916092
2024-11-13 15:47:07,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4580418,4658985,4734034,4695252,4611492,4763408,4771277,4816246,4801653,4666513,4709927,4709927
2024-11-13 15:47:07,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4521163,4429659,4460801,4534174,4408817,4447303,4479413,4468104,4387062,4386922,4452341,4452341
2024-11-13 15:47:07,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3626440,3852349,3890321,3487658,3487941,3447107,3486917,3478039,3547450,3471639,3577585,3577585
2024-11-13 15:47:07,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6419182,6501765,6392168,6450124,6556153,6478508,6450878,6435617,6457718,6477422,6461952,6461952
2024-11-13 15:47:07,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5367094,5240117,5305976,5385754,5277516,5384248,5296121,5509285,5431457,5547997,5374555,5374555
2024-11-13 15:47:07,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5387047,5229470,5203548,5302403,5343597,5358724,5304891,5291345,5270457,5380984,5307245,5307245
