Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 15:46:49,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7381705,6903433,6886748,6846746,6902225,6889555,6897887,6889449,6859740,6835105,6929258,6929258
2024-11-13 15:46:49,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4260760,3753363,3721143,3801502,3780831,3760895,3722219,3689842,3717755,3775751,3798405,3798405
2024-11-13 15:46:49,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,6019691,3468004,3539070,3558649,3487483,3536675,3527323,3533733,3507591,3596342,3777455,3777455
2024-11-13 15:46:49,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6392419,6386003,6374960,6288823,6390540,6344017,6347098,6406991,6427919,6439272,6379803,6379803
2024-11-13 15:46:49,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4859195,4796998,4805438,4789447,4755086,4759416,4720967,4788829,4679421,4703086,4765787,4765787
2024-11-13 15:46:49,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4561633,4276638,4309050,4272165,4288360,4298818,4299046,4293533,4285999,4245008,4313024,4313024
2024-11-13 15:46:49,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3302436,3224748,3194844,3233973,3196038,3226448,3247674,3218871,3241548,3201080,3228765,3228765
2024-11-13 15:46:49,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6038700,5955996,5981014,5994550,6008424,5993864,6006704,6171506,6146339,6101435,6039852,6039852
2024-11-13 15:46:49,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4547844,4584108,4575465,4566702,4607910,4627284,4530522,4557475,4519460,4693782,4581054,4581054
2024-11-13 15:46:49,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4431739,4345035,4394490,4426722,4422885,4347972,4488212,4439534,4515233,4495405,4430722,4430722
2024-11-13 15:46:49,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3253248,3280284,3213043,3361388,3374677,3352754,3385908,3302334,3408668,3458619,3339091,3339091
2024-11-13 15:46:49,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5373622,5054925,4861924,4927704,5008564,5043291,4950032,4907375,4959318,4969410,5005616,5005616
2024-11-13 15:46:49,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3886846,3757082,3739177,3886882,3890882,3929092,4042107,3983808,3988048,4003770,3910768,3910768
2024-11-13 15:46:50,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5986433,5978510,5961512,6010846,5983576,5978810,6017795,6040829,6061659,6037803,6005776,6005776
2024-11-13 15:46:50,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4644697,4732106,4783496,4747537,4721885,4733795,4800499,4795252,4711974,4709910,4738114,4738114
2024-11-13 15:46:50,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4718029,4449259,4402231,4461876,4433343,4444276,4473213,4440419,4475475,4469213,4476732,4476732
2024-11-13 15:46:50,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3539014,3512605,3455026,3519048,3518475,3550190,3547338,3551509,3567844,3491748,3525279,3525279
2024-11-13 15:46:50,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6448374,6510120,6425639,6416483,6366004,6486537,6498154,6485119,6498809,6509288,6464452,6464452
