Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 15:46:46,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6694026,776128,277,7471975,2615394
2024-11-13 15:46:46,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6471480,779377,0,7252895,18406
2024-11-13 15:46:46,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6464793,812720,0,7279215,17050
2024-11-13 15:46:46,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6453721,781531,0,7237602,19189
2024-11-13 15:46:46,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6425120,726314,0,7153299,18291
2024-11-13 15:46:46,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6405162,733277,0,7140502,18119
2024-11-13 15:46:46,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6419192,706116,0,7127206,24302
2024-11-13 15:46:46,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6439311,721185,0,7162487,18079
2024-11-13 15:46:46,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6426151,767556,0,7195560,47944
2024-11-13 15:46:46,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6402346,805487,0,7209528,18323
2024-11-13 15:46:46,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3821229,726763,72,4549785,17714
2024-11-13 15:46:46,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3303066,870590,0,4175397,17231
2024-11-13 15:46:46,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3237525,851293,0,4090845,20626
2024-11-13 15:46:46,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3248899,811353,0,4062342,17087
2024-11-13 15:46:46,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3195488,774920,0,3972021,16049
2024-11-13 15:46:46,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3220728,816620,0,4039546,17625
2024-11-13 15:46:46,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3180698,781874,0,3964501,16900
2024-11-13 15:46:46,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3244494,803434,0,4050151,21514
2024-11-13 15:46:46,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3238588,779461,0,4020824,18391
2024-11-13 15:46:46,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3197639,853232,0,4052777,16240
2024-11-13 15:46:46,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5409537,702134,83,6113903,17084
2024-11-13 15:46:46,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3220536,753652,0,3975803,17186
2024-11-13 15:46:46,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3669752,696258,0,4368109,16734
2024-11-13 15:46:46,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3129429,732901,0,3864376,16926
2024-11-13 15:46:46,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3373198,746256,0,4121606,17460
2024-11-13 15:46:46,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3245004,772930,0,4019793,17383
2024-11-13 15:46:46,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3173622,773159,0,3949106,18211
2024-11-13 15:46:46,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3198487,780985,0,3981045,18855
2024-11-13 15:46:46,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3088437,791382,0,3881706,16760
2024-11-13 15:46:46,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3153108,908270,0,4063275,22525
2024-11-13 15:46:46,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5905783,743481,73,6651413,25211
2024-11-13 15:46:46,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5844925,723021,0,6569662,15146
2024-11-13 15:46:46,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5894698,761174,0,6658170,19093
2024-11-13 15:46:46,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5898613,742040,0,6642134,15426
2024-11-13 15:46:47,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5920845,724995,0,6647777,14915
2024-11-13 15:46:47,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5788654,794063,0,6585033,15422
