Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 16:25:44,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6421872,801943,97,7225345,2420747
2024-11-13 16:25:44,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6206582,794973,0,7002752,12178
2024-11-13 16:25:44,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6255897,779991,0,7037282,11955
2024-11-13 16:25:44,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6180995,785783,0,6967974,12608
2024-11-13 16:25:44,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6237728,713500,0,6952411,12156
2024-11-13 16:25:44,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6203858,765746,0,6970830,12143
2024-11-13 16:25:44,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6208351,728697,0,6938474,12477
2024-11-13 16:25:44,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6225232,746517,0,6973028,13575
2024-11-13 16:25:44,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6229653,757742,0,6989013,12470
2024-11-13 16:25:44,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6206591,772405,0,6980290,11921
2024-11-13 16:25:44,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3635277,693691,74,4330514,12172
2024-11-13 16:25:44,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3138282,967687,0,4107292,12345
2024-11-13 16:25:44,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3144872,844344,0,3990281,12596
2024-11-13 16:25:44,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3208167,782811,0,3992064,12341
2024-11-13 16:25:44,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3044184,788296,0,3833738,12351
2024-11-13 16:25:44,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3093953,822178,0,3917404,17385
2024-11-13 16:25:44,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3126370,803605,0,3930962,12212
2024-11-13 16:25:44,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3048921,842013,0,3891769,12705
2024-11-13 16:25:44,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3031755,787950,0,3820622,10486
2024-11-13 16:25:44,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3011713,788034,0,3800463,10072
2024-11-13 16:25:44,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4066196,711109,52,4778653,11468
2024-11-13 16:25:44,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3929085,736205,0,4666657,14697
2024-11-13 16:25:44,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2869843,760943,0,3631762,11020
2024-11-13 16:25:44,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2861250,696278,0,3558510,11288
2024-11-13 16:25:44,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2837041,715795,0,3554199,11021
2024-11-13 16:25:44,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2764984,736084,0,3502558,14865
2024-11-13 16:25:44,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2772510,757437,0,3530916,15215
2024-11-13 16:25:44,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2782307,769044,0,3552349,14315
2024-11-13 16:25:44,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2852783,797083,0,3650663,10397
2024-11-13 16:25:44,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2926037,875875,0,3802759,9713
2024-11-13 16:25:44,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5653289,762266,102,6416289,47136
2024-11-13 16:25:44,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5688284,783204,0,6472514,8947
2024-11-13 16:25:44,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5605754,754982,0,6361334,8803
2024-11-13 16:25:44,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5605775,736397,0,6343172,5801
2024-11-13 16:25:44,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5742946,749599,0,6493662,11777
2024-11-13 16:25:44,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5629055,739615,0,6370298,10139
2024-11-13 16:25:44,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5662390,735165,0,6399020,10411
2024-11-13 16:25:44,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5584411,740142,0,6326269,27088
2024-11-13 16:25:44,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5588852,717604,0,6308123,15016
2024-11-13 16:25:44,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5654000,739103,0,6394334,14378
2024-11-13 16:25:44,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4044241,813642,75,4858706,9898
2024-11-13 16:25:44,41,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4029683,728242,0,4758696,7445
2024-11-13 16:25:44,42,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4044096,744083,0,4789191,6214
2024-11-13 16:25:44,43,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4014412,724026,0,4739223,9117
2024-11-13 16:25:44,44,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4045989,727312,0,4774035,6574
2024-11-13 16:25:44,45,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4029246,739874,0,4770419,6534
2024-11-13 16:25:44,46,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4024986,761648,0,4787266,9031
2024-11-13 16:25:44,47,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4007681,741140,0,4749334,6526
2024-11-13 16:25:44,48,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4012748,715416,0,4728850,6030
2024-11-13 16:25:44,49,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4013775,693935,0,4708257,6203
2024-11-13 16:25:44,50,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3805335,757294,74,4563421,7106
2024-11-13 16:25:44,51,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3613622,728032,0,4342246,6714
2024-11-13 16:25:44,52,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3596226,734465,0,4331748,6210
2024-11-13 16:25:44,53,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3607571,695171,0,4303467,8722
2024-11-13 16:25:44,54,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3578917,756873,0,4336460,6139
2024-11-13 16:25:44,55,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3608177,772300,0,4381146,6303
2024-11-13 16:25:44,56,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3618497,761239,0,4380335,6428
2024-11-13 16:25:45,57,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3621794,709764,0,4332654,6531
