Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:25:44,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7225345,7002752,7037282,6967974,6952411,6970830,6938474,6973028,6989013,6980290,7003739,7003739
2024-11-13 16:25:44,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4330514,4107292,3990281,3992064,3833738,3917404,3930962,3891769,3820622,3800463,3961510,3961510
2024-11-13 16:25:44,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4778653,4666657,3631762,3558510,3554199,3502558,3530916,3552349,3650663,3802759,3822902,3822902
2024-11-13 16:25:44,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6416289,6472514,6361334,6343172,6493662,6370298,6399020,6326269,6308123,6394334,6388501,6388501
2024-11-13 16:25:44,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4858706,4758696,4789191,4739223,4774035,4770419,4787266,4749334,4728850,4708257,4766397,4766397
2024-11-13 16:25:45,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4563421,4342246,4331748,4303467,4336460,4381146,4380335,4332654,4296008,4296992,4356447,4356447
2024-11-13 16:25:45,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3335375,3255226,3283666,3252156,3273196,3280548,3256039,3233597,3239761,3259950,3266950,3266950
2024-11-13 16:25:45,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5970723,5970560,5963115,6023956,6052863,5994576,6028742,6042910,5985492,6030581,6006351,6006351
2024-11-13 16:25:45,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4529714,4521968,4521657,4528671,4486853,4535707,4523817,4526249,4542846,4669856,4538733,4538733
2024-11-13 16:25:45,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4274091,4268994,4346253,4385407,4317278,4302149,4400517,4312430,4350008,4391307,4334842,4334842
2024-11-13 16:25:45,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3368619,3223198,3172158,3330692,3661320,3293706,3433466,3457182,3357178,3302756,3360026,3360026
2024-11-13 16:25:45,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5147786,5009287,4908390,4831382,4841736,4875253,4898529,4919272,4994635,4911057,4933732,4933732
2024-11-13 16:25:45,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3845488,3789692,3749883,3924981,3884242,3973711,3992878,4031272,3907012,4085496,3918465,3918465
2024-11-13 16:25:45,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6014382,5951303,5922815,5985431,5998953,5968606,5987051,5984113,6010016,6024057,5984672,5984672
2024-11-13 16:25:45,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4633557,4658600,4748742,4708458,4682677,4765067,4803460,4838242,4815035,4826461,4748029,4748029
2024-11-13 16:25:45,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4733255,4589770,4642351,4718285,4566964,4582948,4686927,4677540,4702012,4710976,4661102,4661102
2024-11-13 16:25:45,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3761014,3608395,3659423,3620071,3563472,3529103,3520442,3533783,3614125,3550480,3596030,3596030
2024-11-13 16:25:45,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6492440,6423469,6401240,6478540,6420323,6455080,6510621,6408029,6493609,6575481,6465882,6465882
2024-11-13 16:25:45,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5307305,5289216,5335768,5369291,5317876,5439522,5370734,5436636,5609200,5523611,5399915,5399915
2024-11-13 16:25:46,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5463244,5366591,5464510,5468546,5460152,5361075,5388358,5341147,5502839,5439005,5425546,5425546
2024-11-13 16:25:46,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4599653,4563468,4476133,4438283,4462914,4618385,4599910,4576028,4616084,4615625,4556648,4556648
2024-11-13 16:25:46,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5445979,5364898,5500430,5554231,5533880,5502746,5533642,5541622,5509888,5488098,5497540,5497540
2024-11-13 16:25:46,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4250116,4223477,4192920,4163837,4191023,4179410,4185264,4192641,4195485,4133891,4190806,4190806
2024-11-13 16:25:46,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3907592,4034559,3810511,3709187,3748630,3695783,3754773,3675045,3715409,3706085,3775757,3775757
2024-11-13 16:25:46,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2771346,2634928,2644069,2669354,2710557,2616862,2688349,2707888,2706786,2750304,2690043,2690043
2024-11-13 16:25:46,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5857121,5787509,5925745,6168266,6199616,5112203,6027629,6142638,6065175,6136584,5942248,5942248
2024-11-13 16:25:46,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4518557,4573983,4688916,4743856,4553844,4044523,4730502,4222938,4029910,4021659,4412868,4412868
2024-11-13 16:25:46,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3861415,3691836,4164369,3801801,3943484,3986722,3708636,3703801,4044703,4055169,3896192,3896192
2024-11-13 16:25:46,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2942094,2916148,2933333,2746265,2865002,2991727,2904443,3098554,3041327,2953470,2939235,2939235
