Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 15:54:39,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7181187,6895251,6906458,6900583,6841864,6894769,6852899,6901152,6880815,6859228,6911420,6911420
2024-11-13 15:54:39,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4204871,3801419,3777520,3710212,3836668,3776118,3871889,3838974,3873437,3828608,3851971,3851971
2024-11-13 15:54:39,20,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5966373,-1,-1,-1,-1,-1,-1,-1,-1,-1,5966373,5966373
2024-11-13 15:54:39,21,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6449536,-1,-1,-1,-1,-1,-1,-1,-1,-1,6449536,6449536
2024-11-13 15:54:39,31,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4808652,4887861,4899382,4861959,4771415,4815866,4801953,4851101,4892125,4850737,4844104,4844104
2024-11-13 15:54:39,41,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4479969,4288062,4277001,4270006,4220502,4232545,4246520,4227107,4242484,4254635,4273882,4273882
2024-11-13 15:54:39,51,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3294749,3271790,3253385,3254546,3219474,3231385,3227636,3284523,3262459,3276047,3257598,3257598
2024-11-13 15:54:39,52,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5995263,-1,-1,-1,-1,-1,-1,-1,-1,-1,5995263,5995263
2024-11-13 15:54:39,62,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4541963,4530179,4447754,4481838,4477301,4514048,4514988,4473682,4487946,4480760,4495045,4495045
2024-11-13 15:54:39,72,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4186027,4191653,4167453,4075698,4078653,4112902,4239167,4352486,4333156,4273980,4201117,4201117
2024-11-13 15:54:39,82,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3409699,3381168,3373555,3306635,3240865,3207488,3212784,3160632,3183176,3216439,3269244,3269244
2024-11-13 15:54:39,83,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4919354,-1,-1,-1,-1,-1,-1,-1,-1,-1,4919354,4919354
2024-11-13 15:54:39,93,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3723330,3641546,3703696,3699230,3668610,3846436,3896086,3983712,4004497,4059332,3822646,3822646
2024-11-13 15:54:39,94,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6234411,-1,-1,-1,-1,-1,-1,-1,-1,-1,6234411,6234411
2024-11-13 15:54:39,95,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4849881,-1,-1,-1,-1,-1,-1,-1,-1,-1,4849881,4849881
2024-11-13 15:54:39,98,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4738024,4625433,4744309,-1,-1,-1,-1,-1,-1,-1,4690186,4690186
2024-11-13 15:54:40,108,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3797246,3886468,3901109,3891786,3925045,3885682,3960184,4055111,4115224,4040908,3945875,3945875
2024-11-13 15:54:40,109,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6953920,-1,-1,-1,-1,-1,-1,-1,-1,-1,6953920,6953920
2024-11-13 15:54:40,110,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5697289,-1,-1,-1,-1,-1,-1,-1,-1,-1,5697289,5697289
2024-11-13 15:54:40,111,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5982902,-1,-1,-1,-1,-1,-1,-1,-1,-1,5982902,5982902
2024-11-13 15:54:40,117,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4669705,4678123,4597898,4733041,4734238,4815367,-1,-1,-1,-1,4707530,4707530
2024-11-13 15:54:40,118,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,6388445,-1,-1,-1,-1,-1,-1,-1,-1,-1,6388445,6388445
2024-11-13 15:54:40,119,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4838332,-1,-1,-1,-1,-1,-1,-1,-1,-1,4838332,4838332
2024-11-13 15:54:40,129,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,4291036,4233596,4155202,4234007,4310900,4430224,4464157,4388606,4339361,4406583,4325366,4325366
2024-11-13 15:54:40,139,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,3112264,3032428,3013915,2953469,3109965,3001738,3093369,3021973,3278447,3129079,3074664,3074664
2024-11-13 15:54:40,140,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,6663418,-1,-1,-1,-1,-1,-1,-1,-1,-1,6663418,6663418
2024-11-13 15:54:40,141,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,5065898,-1,-1,-1,-1,-1,-1,-1,-1,-1,5065898,5065898
2024-11-13 15:54:40,143,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,4318071,4609414,-1,-1,-1,-1,-1,-1,-1,-1,4580279,4580279
2024-11-13 15:54:40,153,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,3265102,3382031,3370598,3275281,3283171,3328184,3204159,3136952,3441782,3409677,3309693,3309693
2024-11-13 15:54:40,154,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,6516374,-1,-1,-1,-1,-1,-1,-1,-1,-1,6516374,6516374
2024-11-13 15:54:40,155,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4938217,-1,-1,-1,-1,-1,-1,-1,-1,-1,4938217,4938217
2024-11-13 15:54:40,156,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,4562536,-1,-1,-1,-1,-1,-1,-1,-1,-1,4562536,4562536
2024-11-13 15:54:40,166,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,3021906,2879677,3115583,3162413,2802580,3052627,3097399,3105550,3118736,3122350,3047881,3047881
2024-11-13 15:54:40,167,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,5630038,-1,-1,-1,-1,-1,-1,-1,-1,-1,5630038,5630038
2024-11-13 15:54:40,168,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,4250091,-1,-1,-1,-1,-1,-1,-1,-1,-1,4250091,4250091
2024-11-13 15:54:40,169,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,4261380,-1,-1,-1,-1,-1,-1,-1,-1,-1,4261380,4261380
2024-11-13 15:54:40,179,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2821620,2883614,2824503,2832691,2817896,2844334,2835908,2900551,2943246,2890381,2859474,2859474
2024-11-13 15:54:40,180,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,11162300,-1,-1,-1,-1,-1,-1,-1,-1,-1,11162300,11162300
2024-11-13 15:54:40,181,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,14717237,-1,-1,-1,-1,-1,-1,-1,-1,-1,14717237,14717237
2024-11-13 15:54:40,182,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,18147826,-1,-1,-1,-1,-1,-1,-1,-1,-1,18147826,18147826
2024-11-13 15:54:40,183,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,14140282,-1,-1,-1,-1,-1,-1,-1,-1,-1,14140282,14140282
2024-11-13 15:54:40,184,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,14619332,-1,-1,-1,-1,-1,-1,-1,-1,-1,14619332,14619332
