Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 15:54:16,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6208308,802481,135,7011734,2334786
2024-11-13 15:54:16,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6049624,792346,0,6842756,7751
2024-11-13 15:54:16,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6148627,758500,0,6907886,10830
2024-11-13 15:54:16,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6101226,721327,0,6823156,8640
2024-11-13 15:54:16,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6066517,718000,0,6785024,9715
2024-11-13 15:54:16,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6112986,760490,0,6873992,6254
2024-11-13 15:54:16,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6082437,738762,0,6821756,6441
2024-11-13 15:54:16,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6062771,732427,0,6795664,6627
2024-11-13 15:54:16,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6085163,767112,0,6852749,6599
2024-11-13 15:54:16,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6090610,727631,0,6818904,9210
2024-11-13 15:54:16,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3525987,726161,59,4252957,7085
2024-11-13 15:54:16,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2954773,804432,0,3760006,8324
2024-11-13 15:54:16,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2964643,874171,0,3839324,5951
2024-11-13 15:54:16,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2967609,815677,0,3783841,6016
2024-11-13 15:54:16,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2940220,738459,0,3679279,9574
2024-11-13 15:54:16,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2930810,747026,0,3678403,8691
2024-11-13 15:54:16,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2942658,764761,0,3707837,6149
