Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 15:55:38,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7046178,6829440,6859550,6797137,6855344,6830004,6863905,6853325,6848761,6812288,6859592,6859592
2024-11-13 15:55:38,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4210291,3844411,3783889,3770877,3727617,3702601,3667459,3685918,3755250,3758281,3790658,3790658
2024-11-13 15:55:39,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5807365,3454451,3503499,3387858,3460566,3505331,4545778,3529679,3925163,3583661,3870334,3870334
2024-11-13 15:55:39,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6398545,6298377,6237998,6271142,6312211,6345545,6251849,6302054,6296724,6195292,6290973,6290973
2024-11-13 15:55:39,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4737847,4728614,4765613,4742035,4688811,4759694,4729646,4716538,4711368,4664722,4724488,4724488
2024-11-13 15:55:39,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4449407,4437032,4451466,4445817,4460072,4465604,4458926,4484883,4474144,4358841,4448618,4448618
2024-11-13 15:55:39,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3284855,3247173,3284816,3242941,3197694,3194393,3253224,3215483,3234827,3296931,3245233,3245233
2024-11-13 15:55:39,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6010364,5948699,5921057,5959193,5901918,5908557,5924079,5909888,5923397,5903183,5931033,5931033
2024-11-13 15:55:39,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4503945,4443967,4466793,4455487,4459587,4489985,4423429,4465684,4409098,4517940,4463590,4463590
2024-11-13 15:55:39,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4145273,4135819,4205140,4245052,4253972,4184406,4368362,4294625,4285576,4282456,4240067,4240067
2024-11-13 15:55:39,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3293655,3097718,3180820,3259849,3294212,3303309,3278872,3244784,3308834,3296712,3255875,3255875
2024-11-13 15:55:39,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5137150,4731110,4704287,4823216,4802048,4732162,4781573,4746651,4810621,4841813,4811062,4811062
2024-11-13 15:55:39,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3708772,3713026,3675862,3794195,3783572,3921883,3865444,3900851,3904475,3891834,3815990,3815990
2024-11-13 15:55:39,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5854592,5860102,5876118,5855507,5927959,5873700,5973669,5975270,5977761,5968136,5914280,5914280
2024-11-13 15:55:39,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4633400,4631123,4641285,4584323,4639272,4694406,4696038,4706095,4675350,4750108,4665139,4665139
2024-11-13 15:55:39,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4501409,4416986,4425760,4393122,4471825,4418359,4444073,4473944,4491070,4613941,4465048,4465048
2024-11-13 15:55:39,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3617791,3640208,3581360,3628719,3699060,3560569,3584845,3555199,3447542,3556540,3587182,3587182
2024-11-13 15:55:40,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6451093,6356782,6355241,6316369,6325830,6346267,6363989,6435832,6409760,6478448,6383961,6383961
2024-11-13 15:55:40,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5315245,5227931,5224759,5354348,5288465,5340986,5341910,5381808,5371800,5359086,5320633,5320633
2024-11-13 15:55:40,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5296307,5176654,5139903,5203785,5221715,5193569,5139098,5247584,5358268,5215142,5219202,5219202
2024-11-13 15:55:40,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4352566,4289655,4284267,4316849,4213109,4321074,4352474,4444167,4330810,4424997,4332996,4332996
2024-11-13 15:55:40,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5388553,5365823,5388491,5391440,5415546,5402314,5401599,5422229,5445810,5397081,5401888,5401888
2024-11-13 15:55:40,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4154888,4176789,4144981,4148396,4122095,4072143,4137447,4139629,4124664,4109058,4133009,4133009
2024-11-13 15:55:40,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3652919,3560225,3589824,3612748,3570505,3534561,3636347,3607866,3617346,3602770,3598510,3598510
2024-11-13 15:55:40,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2718451,2637720,2634495,2654280,2656119,2669462,2684227,2696585,2657088,2699951,2670837,2670837
2024-11-13 15:55:40,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,6057098,5756109,5895918,5860237,6085957,5896556,5115135,6074740,5888295,5910436,5854048,5854048
2024-11-13 15:55:40,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4613982,4514013,4754745,4073793,4096733,4787214,4763135,4797932,4265751,4671606,4533890,4533890
2024-11-13 15:55:40,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,4438810,4138353,4165448,4465539,4398862,3856298,3806342,4255651,4271487,4086846,4188363,4188363
2024-11-13 15:55:40,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,3288100,3254345,3251357,3253605,3084460,3299162,3338276,3222158,3155437,3077120,3222401,3222401
2024-11-13 15:55:40,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,5094420,5206615,5242692,5166241,5084506,5630181,5132397,5959544,5202447,5105560,5282459,5282459
