Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 16:52:23,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6204301,740642,73,6945718,2217726
2024-11-13 16:52:23,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6109972,747244,0,6857845,14827
2024-11-13 16:52:23,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6315789,730346,0,7046791,9104
2024-11-13 16:52:23,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6079086,737649,0,6817296,6292
2024-11-13 16:52:23,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6117083,742177,0,6859939,6382
2024-11-13 16:52:23,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6111279,746059,0,6857977,6122
2024-11-13 16:52:23,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6094136,744944,0,6839683,6460
2024-11-13 16:52:23,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6088695,768626,0,6857937,7195
2024-11-13 16:52:23,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6283528,727761,0,7012060,6215
2024-11-13 16:52:23,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6236029,735994,0,6972782,6451
2024-11-13 16:52:23,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3484147,704667,72,4189709,7181
2024-11-13 16:52:23,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2973882,837227,0,3811736,6094
2024-11-13 16:52:23,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2983798,806143,0,3790531,5895
2024-11-13 16:52:23,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2962822,771652,0,3735085,6467
2024-11-13 16:52:23,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2963685,773805,0,3738128,6148
2024-11-13 16:52:23,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2960797,816542,0,3778024,6300
2024-11-13 16:52:23,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2984576,777339,0,3762505,6189
2024-11-13 16:52:23,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2961583,760528,0,3722769,6198
2024-11-13 16:52:23,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2946554,740855,0,3687949,6102
2024-11-13 16:52:23,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2945909,755723,0,3702233,6291
2024-11-13 16:52:23,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5436123,708119,92,6145225,11617
2024-11-13 16:52:23,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4369652,700787,0,5071168,7037
2024-11-13 16:52:23,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2783478,720472,0,3504620,7031
2024-11-13 16:52:23,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2741786,718704,0,3461211,6098
2024-11-13 16:52:23,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2755179,721567,0,3477415,6090
2024-11-13 16:52:23,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2762839,719238,0,3482760,5969
2024-11-13 16:52:23,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2728684,688460,0,3417837,6109
2024-11-13 16:52:23,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2712959,738225,0,3451907,6055
2024-11-13 16:52:23,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2798832,778232,0,3577699,6283
2024-11-13 16:52:23,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2786949,823131,0,3610643,7060
2024-11-13 16:52:23,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5792461,726617,70,6519948,16219
2024-11-13 16:52:23,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5861788,736325,0,6598824,6130
2024-11-13 16:52:23,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5664427,733905,0,6399068,5883
2024-11-13 16:52:23,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5668605,806169,0,6475456,5562
2024-11-13 16:52:23,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5674203,751186,0,6426005,5534
2024-11-13 16:52:23,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5672139,797784,0,6470556,5800
2024-11-13 16:52:23,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5741880,722864,0,6465363,7570
2024-11-13 16:52:23,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5575509,765427,0,6341583,5741
2024-11-13 16:52:23,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5613961,727194,0,6341869,5622
2024-11-13 16:52:23,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5614802,770704,0,6386148,7636
2024-11-13 16:52:23,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4038105,732075,83,4770920,6329
