Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:25:52,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7062027,6906443,6910954,6878199,6880641,6902318,6894725,6828254,6861552,6830687,6895579,6895579
2024-11-13 16:25:52,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4188903,3791366,3805590,3760346,3770722,3743478,3730762,3740895,3713379,3705831,3795126,3795126
2024-11-13 16:25:52,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5735857,4741800,3521985,3514742,3525244,3480167,3509719,3486639,3436094,3514274,3846651,3846651
2024-11-13 16:25:52,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6464993,6360102,6306891,6384572,6283741,6342848,6358173,6370574,6359931,6357217,6358903,6358903
2024-11-13 16:25:52,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4749487,4755391,4762914,4669252,4723361,4713986,4706864,4741137,4764598,4721258,4730824,4730824
2024-11-13 16:25:52,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4483186,4277244,4309042,4250587,4267077,4300149,4254712,4288200,4269825,4239039,4293906,4293906
2024-11-13 16:25:52,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3244189,3198299,3205975,3192746,3199176,3209183,3176392,3196580,3190948,3184122,3199760,3199760
2024-11-13 16:25:52,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5990903,5950000,5976717,5989294,5945051,5916878,5974032,5944358,5981177,5926703,5959511,5959511
2024-11-13 16:25:52,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4496750,4469254,4442159,4522744,4450938,4480132,4455132,4463413,4513291,4570648,4486445,4486445
2024-11-13 16:25:53,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4235626,4123632,4095644,4207883,4176527,4241701,4322259,4292680,4374994,4323577,4239451,4239451
2024-11-13 16:25:53,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3211400,3182048,3174560,3181564,3241095,3274217,3303634,3344654,3319633,3304351,3253715,3253715
2024-11-13 16:25:53,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5043898,4709881,4775211,4789104,4715802,4814635,4745925,4903682,4813994,4906696,4821882,4821882
2024-11-13 16:25:53,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3730259,3684109,3708815,3805587,3804976,3843853,3877408,3912315,3934746,3961264,3826333,3826333
2024-11-13 16:25:53,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6021716,5853780,5882465,5858558,5934286,5976880,5915645,5940415,5960331,5977442,5932151,5932151
2024-11-13 16:25:53,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4626682,4653752,4675705,4757566,4769691,4749593,4713462,4748207,4836654,4721679,4725298,4725298
