Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 16:03:22,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6447520,787343,129,7236474,2431086
2024-11-13 16:03:22,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6240168,768067,0,7009548,12147
2024-11-13 16:03:22,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6229284,776698,0,7007277,12349
2024-11-13 16:03:22,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6209452,758133,0,6968694,12380
2024-11-13 16:03:22,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6200780,783531,0,6985408,11399
2024-11-13 16:03:22,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6183862,766063,0,6950948,11145
2024-11-13 16:03:22,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6192020,720356,0,6913427,11101
2024-11-13 16:03:22,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6153413,704008,0,6858459,11986
2024-11-13 16:03:22,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6147569,685244,0,6833796,10694
2024-11-13 16:03:22,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6133604,718472,0,6853271,9983
2024-11-13 16:03:22,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3555555,732785,76,4289397,10748
2024-11-13 16:03:22,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3001566,841147,0,3843569,13322
2024-11-13 16:03:22,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2989216,786264,0,3776387,12348
2024-11-13 16:03:22,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2983754,818452,0,3803277,12694
2024-11-13 16:03:22,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3032554,798601,0,3831924,8775
2024-11-13 16:03:22,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3034394,807977,0,3843293,8086
2024-11-13 16:03:22,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3042410,817059,0,3860324,7651
2024-11-13 16:03:22,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3028869,797451,0,3827133,8512
2024-11-13 16:03:22,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3005499,775517,0,3781855,7938
2024-11-13 16:03:22,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2984446,772010,0,3757260,8104
2024-11-13 16:03:22,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5358270,745693,73,6105466,8621
2024-11-13 16:03:22,21,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,5782664,750350,78,6534305,23634
2024-11-13 16:03:22,22,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4100121,776041,74,4876823,8686
2024-11-13 16:03:22,23,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4053173,728913,0,4782717,7188
2024-11-13 16:03:22,24,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4076882,757047,0,4834911,9084
2024-11-13 16:03:22,25,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4056446,757918,0,4814889,7089
2024-11-13 16:03:22,26,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4044221,732729,0,4777708,7235
2024-11-13 16:03:22,27,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4070452,735625,0,4806615,7184
