Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 16:04:30,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6214610,722237,78,6937536,2196694
2024-11-13 16:04:30,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6356573,726751,0,7083931,7011
2024-11-13 16:04:30,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6087878,755057,0,6843509,8511
2024-11-13 16:04:30,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6112584,738224,0,6851354,7071
2024-11-13 16:04:30,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6075948,738217,0,6814667,6472
2024-11-13 16:04:30,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6119130,745812,0,6865462,6542
2024-11-13 16:04:30,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6092579,732678,0,6825784,6718
2024-11-13 16:04:30,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6091729,715844,0,6808114,9308
2024-11-13 16:04:30,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6343739,695681,0,7039866,6601
2024-11-13 16:04:30,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6106172,724302,0,6830990,6488
2024-11-13 16:04:30,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3546657,756642,80,4304042,8594
2024-11-13 16:04:30,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2997551,839145,0,3837261,6278
2024-11-13 16:04:30,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2996913,834961,0,3832443,6355
2024-11-13 16:04:30,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3001550,790882,0,3793004,6642
2024-11-13 16:04:30,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2987845,777392,0,3766075,6457
2024-11-13 16:04:30,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2980531,823582,0,3804557,6495
2024-11-13 16:04:30,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2999537,835252,0,3835268,6516
2024-11-13 16:04:30,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2928704,808436,0,3737668,9423
2024-11-13 16:04:30,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2958974,781368,0,3740761,6543
2024-11-13 16:04:30,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2968579,754891,0,3724003,6440
2024-11-13 16:04:30,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4658333,738563,75,5397866,7491
2024-11-13 16:04:30,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2840238,778542,0,3619330,6645
2024-11-13 16:04:30,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2816827,759961,0,3577365,6396
2024-11-13 16:04:30,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2786874,779348,0,3566780,6191
2024-11-13 16:04:30,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2829473,766359,0,3596340,6202
