Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:04:30,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6937536,7083931,6843509,6851354,6814667,6865462,6825784,6808114,7039866,6830990,6890121,6890121
2024-11-13 16:04:30,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4304042,3837261,3832443,3793004,3766075,3804557,3835268,3737668,3740761,3724003,3837508,3837508
2024-11-13 16:04:30,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5397866,3619330,3577365,3566780,3596340,3551900,3544813,3517878,3588301,3540485,3750105,3750105
2024-11-13 16:04:30,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6358177,6266441,6246273,6414749,6377326,6393744,6332728,6326816,6399671,6370036,6348595,6348595
2024-11-13 16:04:30,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4847899,4811017,4737076,4776615,4883260,4730633,4788632,4771752,4738774,4789947,4787560,4787560
2024-11-13 16:04:31,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4505203,4254646,4311494,4292663,4264861,4282442,4292225,4284637,4314819,4302273,4310525,4310525
2024-11-13 16:04:31,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3410182,3241017,3280875,3315575,3299839,3253754,3241239,3263847,3295836,3271122,3287328,3287328
2024-11-13 16:04:31,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6024057,5954718,5977369,5954147,5962107,5996834,6009704,5937438,5976497,5917536,5971040,5971040
2024-11-13 16:04:31,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4562893,4531171,4534538,4539862,4508847,4529386,4509390,4452292,4492904,4634005,4529528,4529528
2024-11-13 16:04:31,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4193200,4131895,4214294,4316810,4289835,4329811,4343453,4346539,4453941,4374167,4299393,4299393
2024-11-13 16:04:31,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3204003,3192892,3225645,3270144,3274728,3257871,3293947,3273756,3349605,3297632,3264022,3264022
