Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:25:21,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7154139,6845782,6863662,6878517,6858750,6882747,6877337,6869972,6818693,6777230,6882682,6882682
2024-11-13 16:25:21,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4315717,3825422,3798156,3769345,3750122,3770019,3818926,3801326,3759857,3764989,3837387,3837387
2024-11-13 16:25:21,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,6277163,3466160,3944832,3458311,3458691,3522996,3485883,3758268,3639281,3593428,3860501,3860501
2024-11-13 16:25:21,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6467077,6391499,6398912,6404289,6481340,6342475,6443293,6555593,6411415,6397411,6429330,6429330
2024-11-13 16:25:21,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4798255,4740569,4819934,4785191,4733111,4729030,4746509,4692024,4832716,4794793,4767213,4767213
2024-11-13 16:25:21,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4589742,4271546,4248693,4284303,4219768,4273546,4289236,4283779,4290496,4290294,4304139,4304139
2024-11-13 16:25:21,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3296302,3201186,3179785,3205054,3189381,3189514,3197073,3149351,3209665,3182034,3199934,3199934
2024-11-13 16:25:21,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6006897,6011784,5976652,6033420,6017559,5964305,6016891,5963283,6005755,5977957,5997449,5997449
2024-11-13 16:25:21,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4487780,4485130,4476595,4487612,4506231,4440741,4488929,4461526,4448482,4605433,4488845,4488845
2024-11-13 16:25:22,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4234462,4143719,4100042,4272205,4285604,4267256,4388129,4282333,4329465,4311272,4261448,4261448
2024-11-13 16:25:22,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3232342,3257746,3237114,3273791,3238131,3224188,3317968,3244384,3246083,3244577,3251631,3251631
2024-11-13 16:25:22,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5119878,4883944,4785202,4852791,5291919,5053568,4989093,5047083,5018719,4923741,4996593,4996593
2024-11-13 16:25:22,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3885432,3821323,3795606,3927800,4000064,4063204,3973244,3939243,3964966,3992731,3936361,3936361
2024-11-13 16:25:22,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5961922,5894152,5912403,5945549,5928628,5995769,5931447,5960091,6012173,5942945,5948507,5948507
2024-11-13 16:25:22,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4589370,4802098,4784889,4815156,4729193,4753385,4793368,4774191,4825792,4778706,4764614,4764614
2024-11-13 16:25:22,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4770268,4470698,4469015,4485057,4473124,4478179,4458877,4418077,4372625,4536156,4493207,4493207
2024-11-13 16:25:22,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3574972,3477431,3534027,3503549,3515644,3452308,3516405,3553973,3484317,3502196,3511481,3511481
2024-11-13 16:25:22,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6402006,6402151,6427388,6413398,6417009,6416483,6435826,6483465,6483492,6565146,6444636,6444636
2024-11-13 16:25:22,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5251931,5232205,5346994,5330588,5278899,5346565,5321147,5385083,5388688,5371914,5325400,5325400
2024-11-13 16:25:22,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5324288,5294633,5204664,5281725,5395625,5326481,5463012,5325960,5404163,5326011,5334656,5334656
2024-11-13 16:25:22,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4433044,4391300,4377620,4397637,4363563,4501528,4436629,4374872,4340566,4510842,4412759,4412759
2024-11-13 16:25:22,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5511254,5429875,5423273,5521469,5604876,5481773,5464277,5465029,5443160,5429808,5477478,5477478
2024-11-13 16:25:23,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4201054,4212856,4152189,4197859,4148607,4277314,4122773,4141698,4129999,4085813,4167016,4167016
2024-11-13 16:25:23,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3750764,3614628,3704256,3615338,3786883,3781719,3656136,3641884,3635511,3667459,3685457,3685457
2024-11-13 16:25:23,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2772279,2763972,2752880,2610671,2608270,2633685,2685473,2653869,2616100,2955275,2705247,2705247
2024-11-13 16:25:23,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5106430,5374734,5810808,5824379,5076987,5891256,5920051,5926264,5899968,5917699,5674857,5674857
2024-11-13 16:25:23,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4463598,4563152,4663869,4487897,4059064,4686199,4705501,4529316,4430861,4030426,4461987,4461987
2024-11-13 16:25:23,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,4099040,4143566,3998593,3981941,3995384,3726375,3680199,3981455,3959429,4017391,3958336,3958336
2024-11-13 16:25:23,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2932040,2791152,2944143,2880664,2861944,2947420,3105381,2985431,3108381,3116675,2967322,2967322
2024-11-13 16:25:23,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,5975789,4977938,5896168,5063749,6025143,6039405,5009129,5068843,5709630,5958182,5572397,5572397
2024-11-13 16:25:23,309,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3932162,4060428,4051787,4533577,4043810,4634194,4060889,4022994,4534604,4397142,4227158,4227158
2024-11-13 16:25:23,319,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,4106716,3582139,3584462,3601652,3627062,3685419,3652226,3762648,4111171,4131053,3784454,3784454
2024-11-13 16:25:23,329,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,3055520,2696723,2821229,2953364,2848189,2785522,2753903,2780998,2793618,2892889,2838195,2838195
2024-11-13 16:25:23,339,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4843511,4811788,4847919,4799760,4781105,4765008,4778285,4735591,4795370,4852955,4801129,4801129
2024-11-13 16:25:23,349,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3815129,3767769,3891466,3903399,3899161,3835566,3903967,3898958,3960820,3919086,3879532,3879532
2024-11-13 16:25:23,359,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,4090653,3538794,3634066,3616484,3752215,3653118,3649368,3699453,3721739,3764419,3712030,3712030
2024-11-13 16:25:23,369,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2953157,2816850,2835525,2787133,2813828,2876349,2804124,2842640,2860199,2861582,2845138,2845138
2024-11-13 16:25:24,379,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,9994630,15878745,14807783,14691678,14865239,14969654,14373468,15364100,15095482,15472695,14551347,14551347
2024-11-13 16:25:24,389,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,5807574,12338909,12987077,13015784,12448892,12905208,13407533,13060651,13017063,12619646,12160833,12160833
2024-11-13 16:25:24,399,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,8946365,14986438,15104553,15384478,15151420,14790282,14939443,15561600,15912739,15555332,14633264,14633264
2024-11-13 16:25:24,409,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,6456994,13313056,13250909,12431862,13495231,13015905,13219977,13310085,13037068,13028620,12455970,12455970
2024-11-13 16:25:24,419,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,6092600,12426545,13528852,12905271,13610044,13122618,13632077,14021624,13641781,13425651,12640705,12640705
