Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:09:13,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7303094,6994694,6956288,6942060,6853298,6792614,6864540,6835299,6807954,6860191,6921002,6921002
2024-11-13 16:09:13,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4443735,3868059,3793042,3775781,3806343,3746683,3734553,3754068,3759962,3779078,3846129,3846129
2024-11-13 16:09:13,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5194010,4216728,4635818,3711950,3750238,3693386,3736380,3660352,3732545,3751881,4008328,4008328
2024-11-13 16:09:13,30,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6339963,-1,-1,-1,-1,-1,-1,-1,-1,-1,6339963,6339963
2024-11-13 16:09:13,40,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4762312,4768627,4710463,4760762,4726795,4672127,4768471,4679102,4752589,4678274,4727951,4727951
2024-11-13 16:09:13,50,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4472978,4228803,4230323,4207250,4218178,4254017,4192666,4217688,4235441,4242688,4250003,4250003
2024-11-13 16:09:13,60,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3219183,3188505,3190290,3207984,3186456,3233019,3247104,3198374,3238036,3180822,3208977,3208977
2024-11-13 16:09:13,61,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5915465,-1,-1,-1,-1,-1,-1,-1,-1,-1,5915465,5915465
2024-11-13 16:09:13,71,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4480722,4452944,4501084,4459361,4433495,4472975,4510109,4443843,4478883,4486301,4471971,4471971
2024-11-13 16:09:13,81,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4231280,4075145,4128338,4140793,4155513,4113905,4154218,4144555,4129950,4057610,4133130,4133130
2024-11-13 16:09:13,91,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3128907,3192487,3168386,3186689,3158380,3153907,3134231,3187414,3379987,3359436,3204982,3204982
2024-11-13 16:09:13,92,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4925532,-1,-1,-1,-1,-1,-1,-1,-1,-1,4925532,4925532
2024-11-13 16:09:13,102,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3768009,3786726,3766838,3851106,3884986,3908673,3856033,4044548,3965821,4009202,3884193,3884193
2024-11-13 16:09:13,103,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6176860,-1,-1,-1,-1,-1,-1,-1,-1,-1,6176860,6176860
2024-11-13 16:09:13,104,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4792343,-1,-1,-1,-1,-1,-1,-1,-1,-1,4792343,4792343
2024-11-13 16:09:13,105,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4752444,-1,-1,-1,-1,-1,-1,-1,-1,-1,4752444,4752444
2024-11-13 16:09:13,115,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3640444,3652326,3590071,3563082,3677923,3776908,3769623,3681148,3606725,3671641,3662989,3662989
2024-11-13 16:09:13,116,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6707363,-1,-1,-1,-1,-1,-1,-1,-1,-1,6707363,6707363
2024-11-13 16:09:13,117,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5511676,-1,-1,-1,-1,-1,-1,-1,-1,-1,5511676,5511676
2024-11-13 16:09:13,118,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5711886,-1,-1,-1,-1,-1,-1,-1,-1,-1,5711886,5711886
