Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-13 16:08:39,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6124502,751281,83,6876614,2229192
2024-11-13 16:08:39,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6050918,748192,0,6799680,9004
2024-11-13 16:08:39,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6051322,781693,0,6833613,9428
2024-11-13 16:08:39,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6054262,761768,0,6816556,6398
2024-11-13 16:08:39,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6022679,752971,0,6776291,9534
2024-11-13 16:08:39,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6032320,758496,0,6791432,6607
2024-11-13 16:08:39,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6055211,761365,0,6817114,7102
2024-11-13 16:08:39,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6065592,736491,0,6802605,6468
2024-11-13 16:08:39,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6055194,756224,0,6811951,6397
2024-11-13 16:08:39,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,6064907,732088,0,6797546,6301
2024-11-13 16:08:39,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3401129,718232,63,4120121,6768
2024-11-13 16:08:39,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2916247,848073,0,3764853,6134
2024-11-13 16:08:39,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2999859,799149,0,3799549,6164
2024-11-13 16:08:39,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2956458,786438,0,3743520,6466
2024-11-13 16:08:39,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2961036,818901,0,3780426,5901
2024-11-13 16:08:39,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2973585,793710,0,3767848,5956
2024-11-13 16:08:39,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2987997,785167,0,3773740,5842
2024-11-13 16:08:39,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2973915,800253,0,3774693,6010
2024-11-13 16:08:39,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2994093,794336,0,3788955,5893
2024-11-13 16:08:39,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2966990,763414,0,3730915,5908
2024-11-13 16:08:39,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5288483,715001,72,6004429,7034
