Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:07:58,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7295839,6803620,7100350,6797703,6779660,6751880,6762249,6768320,6775889,6780372,6861588,6861588
2024-11-13 16:07:58,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4255070,3864365,3799546,3798650,3785689,3773518,3740849,3694233,3697568,3695332,3810481,3810481
2024-11-13 16:07:58,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,4783488,4841317,3421130,3454565,3514258,3510315,3566937,3483390,3448869,3596561,3762082,3762082
2024-11-13 16:07:59,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6392630,6336430,6372964,6342563,6368417,6315448,6354320,6358822,6865594,6396560,6410374,6410374
2024-11-13 16:07:59,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4770836,4800678,4766939,4782161,4761461,4712687,4724649,4655520,4783179,4718587,4747669,4747669
2024-11-13 16:07:59,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4454113,4247066,4227621,4222045,4263027,4227693,4286820,4310522,4305434,4271764,4281610,4281610
2024-11-13 16:07:59,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3355640,3202810,3188393,3223893,3242288,3277014,3251727,3236188,3240032,3235428,3245340,3245340
2024-11-13 16:07:59,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,5981385,5991641,5984957,5984825,5961800,5957786,5946440,5915267,5891709,5927466,5954327,5954327
2024-11-13 16:07:59,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4446145,4464484,4496249,4484933,4482560,4451034,4496866,4435945,4441475,4549274,4474896,4474896
2024-11-13 16:07:59,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4114575,4102692,4184182,4234795,4212601,4254181,4296695,4264020,4267475,4302804,4223401,4223401
2024-11-13 16:07:59,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3185224,3147676,3136071,3231700,3269610,3262997,3265796,3206739,3259585,3228625,3219401,3219401
2024-11-13 16:07:59,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,5032370,4777381,4735447,4745129,4687843,4723408,4792639,4889162,4821863,4855303,4806054,4806054
2024-11-13 16:07:59,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3819099,3726465,3697279,3879637,3770455,3872617,3960863,3853267,3913807,3987299,3848078,3848078
2024-11-13 16:07:59,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5908752,5886085,5944067,5871924,5936042,5920273,5875938,5902338,5985939,5982939,5921429,5921429
2024-11-13 16:07:59,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4684286,4631762,4697346,4673365,4669480,4700342,4693918,4746227,4752832,4719450,4696900,4696900
2024-11-13 16:07:59,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4543692,4399492,4447082,4423579,4417865,4422697,4446743,4424224,4387540,4391878,4430479,4430479
2024-11-13 16:07:59,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3550952,3536496,3487584,3505195,3517126,3500469,3507924,3509531,3527237,3582564,3522507,3522507
2024-11-13 16:07:59,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6414194,6407611,6320757,6400657,6387243,6423641,6394916,6428188,6444108,6417351,6403866,6403866
2024-11-13 16:08:00,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5301657,5258566,5318620,5376976,5244654,5286027,5365587,5443343,5329384,5375534,5330034,5330034
2024-11-13 16:08:00,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5123952,5199106,5347306,5224261,5307552,5310158,5361724,5400763,5342165,5373760,5299074,5299074
2024-11-13 16:08:00,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4449467,4390490,4360764,4437397,4404182,4409669,4457727,4351393,4355296,4494956,4411133,4411133
2024-11-13 16:08:00,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5535650,5463044,5430744,5482702,5447952,5438656,5395302,5368683,5441676,5457339,5446174,5446174
2024-11-13 16:08:00,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4220275,4218789,4167981,4191844,4169442,4212196,4166647,4163943,4194768,4100878,4180675,4180675
2024-11-13 16:08:00,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3666669,3681608,3667822,3633541,3650866,3679725,3586534,3639606,3620833,3630206,3645740,3645740
2024-11-13 16:08:00,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2717164,2676207,2670525,2661907,2683956,2689736,2706460,2740381,2839390,2752929,2713865,2713865
2024-11-13 16:08:00,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5060891,4981595,6032659,5993445,5099955,6107394,5869343,5084451,5394069,5108455,5473225,5473225
2024-11-13 16:08:00,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4437491,4480051,4518888,4014038,4512824,4022867,4010662,4011899,4062767,4051499,4212298,4212298
2024-11-13 16:08:00,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,4005506,3925912,3906408,4037165,3883503,3597154,3585002,3918386,4001865,3831911,3869281,3869281
2024-11-13 16:08:00,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2916703,2874068,2796500,2993349,3011955,2733706,3044415,2943717,2981363,3087843,2938361,2938361
2024-11-13 16:08:00,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4983061,5013706,5924068,4987539,5004347,5885782,5792957,5034639,5916475,5899906,5444248,5444248
