Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-13 16:25:06,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7055100,6829768,6844119,6787898,6813806,6784009,6844165,6842804,6887179,6819191,6850803,6850803
2024-11-13 16:25:07,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,4251456,3886558,3825582,3788123,3817608,3819163,3794418,3797461,3733462,3734058,3844788,3844788
2024-11-13 16:25:07,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,5295257,3513968,3643149,3505631,4659216,3530256,3533319,3431021,3527150,3553758,3819272,3819272
2024-11-13 16:25:07,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6368518,6292040,6327091,6328269,6224726,6315943,6397812,6369398,6334154,6287361,6324530,6324530
2024-11-13 16:25:07,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4768926,4653087,4699551,4660249,4664491,4749493,4717878,4692447,4755556,4702454,4706412,4706412
2024-11-13 16:25:07,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4541991,4300677,4232178,4299680,4288013,4313420,4282235,4259680,4232238,4255376,4300548,4300548
2024-11-13 16:25:07,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,3268512,3227647,3251920,3187481,3216407,3194105,3169445,3192967,3197223,3187379,3209308,3209308
2024-11-13 16:25:07,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6013172,5950122,5935582,5960605,5954052,5941805,5942434,5989885,5939912,5981128,5960869,5960869
2024-11-13 16:25:07,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4524331,4473318,4444552,4494129,4489399,4521262,4452825,4504743,4492638,4654846,4505204,4505204
2024-11-13 16:25:07,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4231902,4250017,4274196,4347229,4235845,4270311,4428391,4340844,4347201,4336401,4306233,4306233
2024-11-13 16:25:07,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,3296558,3152139,3199446,3365320,3334543,3262674,3357415,3298377,3240039,3260103,3276660,3276660
2024-11-13 16:25:07,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4995325,4755370,4791670,4824973,4797645,4708477,4775047,4823065,4845824,4807525,4812491,4812491
2024-11-13 16:25:07,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3804307,3701224,3731004,3834915,3869187,3880223,3956302,3993638,3941399,3961536,3867372,3867372
2024-11-13 16:25:07,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5883609,5933953,5893879,5888161,5945227,5920027,5917966,5954673,5906194,5940649,5918433,5918433
2024-11-13 16:25:07,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4613444,4628617,4651450,4643630,4671168,4674891,4751138,4651870,4700202,4715126,4670153,4670153
2024-11-13 16:25:07,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4550035,4416670,4422553,4526692,4580872,4609436,4614933,4656582,4617296,4486530,4548159,4548159
2024-11-13 16:25:08,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,3642674,3525283,3626415,3554815,3574588,3602253,3581283,3547391,3591681,3593164,3583954,3583954
2024-11-13 16:25:08,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6448413,6374671,6401719,6350205,6423756,6407969,6389342,6439929,6447933,6489958,6417389,6417389
2024-11-13 16:25:08,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,5313642,5305992,5405346,5451911,5341215,5357800,5431600,5407197,5402367,5357907,5377497,5377497
2024-11-13 16:25:08,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,5330352,5329241,5321028,5241345,5281242,5379353,5243172,5306497,5206492,5284490,5292320,5292320
2024-11-13 16:25:08,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,4264553,4326803,4309690,4264593,4327538,4367606,4411175,4357017,4398910,4322145,4335002,4335002
2024-11-13 16:25:08,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5496930,5383892,5357695,5364277,5510990,5535313,5499005,5527795,5538174,5538470,5475253,5475253
2024-11-13 16:25:08,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4240149,4187556,4178241,4189649,4179959,4158490,4128780,4102380,4123085,4129985,4161827,4161827
2024-11-13 16:25:08,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3766424,3663025,3668168,3649173,3632553,3646700,3607135,3623307,3630374,3637387,3652424,3652424
2024-11-13 16:25:08,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2790429,2658247,2668337,2622531,2613239,2651599,2660305,2706483,2683148,2696273,2675058,2675058
2024-11-13 16:25:08,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5119815,6086852,5900108,5381021,5891121,5096913,6119722,6111732,5962915,5103208,5677340,5677340
2024-11-13 16:25:08,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4003936,4696356,4517063,4406481,4515953,3996698,4517837,4216101,4706778,4684781,4426198,4426198
2024-11-13 16:25:08,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,4096241,3859957,4037406,4029324,4036653,4035859,3880668,3895426,4098015,3735542,3970508,3970508
