Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-02-01 19:12:13,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3706072,78911,101787,3887366,2106132
2025-02-01 19:12:13,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3644268,74395,0,3719116,18371
2025-02-01 19:12:13,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3712550,68459,0,3781433,10462
2025-02-01 19:12:13,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3703533,58845,0,3763176,10074
2025-02-01 19:12:13,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3765720,69431,0,3835630,14407
2025-02-01 19:12:13,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3741750,62295,0,3804405,10521
2025-02-01 19:12:13,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3716012,58707,0,3775061,10105
2025-02-01 19:12:13,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3705185,63224,0,3768794,10466
2025-02-01 19:12:13,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3706147,60833,0,3767339,14325
2025-02-01 19:12:13,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3730444,58685,0,3789525,10059
2025-02-01 19:12:13,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2257080,71395,54936,2383918,16056
2025-02-01 19:12:13,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1877274,74424,0,1952085,12081
2025-02-01 19:12:13,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1881244,63400,0,1945102,8976
2025-02-01 19:12:13,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1847381,70084,0,1917858,9734
2025-02-01 19:12:13,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1851649,65300,0,1917337,9686
2025-02-01 19:12:13,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1825355,71283,0,1897117,10187
2025-02-01 19:12:13,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1850137,75078,0,1925599,8980
2025-02-01 19:12:13,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1853218,69256,0,1922936,11295
2025-02-01 19:12:13,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1844791,58481,0,1903633,10109
2025-02-01 19:12:13,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1815797,59196,0,1875449,10115
2025-02-01 19:12:13,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2197998,72654,70184,2341418,10650
2025-02-01 19:12:13,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1947941,63814,0,2012155,10938
2025-02-01 19:12:13,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1839270,66463,0,1906107,9648
2025-02-01 19:12:13,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1840241,66274,0,1906880,11197
2025-02-01 19:12:13,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1850792,61857,0,1913121,11621
2025-02-01 19:12:13,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1817686,62466,0,1880525,8619
2025-02-01 19:12:13,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1807177,59339,0,1866898,8059
2025-02-01 19:12:13,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1811180,59029,0,1870621,10045
2025-02-01 19:12:13,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1827882,67250,0,1895502,9703
2025-02-01 19:12:13,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1825180,59086,0,1884641,10646
2025-02-01 19:12:13,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3347887,78000,70576,3496986,21659
2025-02-01 19:12:13,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3338911,68542,0,3407867,9846
2025-02-01 19:12:13,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2460382,73692,66971,2601529,10169
2025-02-01 19:12:13,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2481920,60191,0,2542499,8419
2025-02-01 19:12:13,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2255134,66213,58023,2379925,10150
2025-02-01 19:12:13,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2156979,72104,0,2229509,9434
2025-02-01 19:12:13,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2145918,59762,0,2206094,9432
2025-02-01 19:12:13,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2140382,74608,0,2215360,8429
2025-02-01 19:12:13,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2129413,67218,0,2197056,10818
2025-02-01 19:12:13,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2107414,85138,0,2192992,9526
2025-02-01 19:12:13,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2113718,65694,0,2179857,9799
2025-02-01 19:12:13,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2115142,62706,0,2178203,11344
2025-02-01 19:12:13,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2158815,61994,0,2221279,8443
2025-02-01 19:12:13,43,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2122630,71943,0,2195012,9937
2025-02-01 19:12:13,44,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1404584,59949,67122,1532198,9481
2025-02-01 19:12:13,45,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1356885,67642,0,1424964,8702
2025-02-01 19:12:13,46,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1400905,62027,0,1463402,9084
2025-02-01 19:12:13,47,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1367648,66855,0,1435094,7880
2025-02-01 19:12:13,48,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1373579,66500,0,1440481,9338
2025-02-01 19:12:13,49,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1363624,58498,0,1422479,8223
2025-02-01 19:12:13,50,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1363763,58535,0,1422760,8562
2025-02-01 19:12:13,51,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1394349,62695,0,1457456,8377
2025-02-01 19:12:13,52,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1365593,66896,0,1432856,8793
2025-02-01 19:12:13,53,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1400618,65007,0,1466012,7791
2025-02-01 19:12:13,54,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3205942,59716,70541,3336682,20986
2025-02-01 19:12:13,55,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3204952,62623,0,3267981,9213
2025-02-01 19:12:13,56,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2354794,59282,63248,2477877,9362
2025-02-01 19:12:13,57,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2386417,61041,0,2447866,8307
2025-02-01 19:12:13,58,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2190759,74603,65959,2331803,9020
2025-02-01 19:12:13,59,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2083146,77825,0,2161354,7091
2025-02-01 19:12:13,60,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1383308,58442,59811,1502007,9634
2025-02-01 19:12:13,61,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1370954,68173,0,1439506,8114
2025-02-01 19:12:13,62,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1347614,65231,0,1413278,8067
2025-02-01 19:12:13,63,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1372682,58840,0,1431887,6647
2025-02-01 19:12:13,64,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1350630,65558,0,1416543,7644
2025-02-01 19:12:13,65,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1372866,59756,0,1433001,7135
2025-02-01 19:12:13,66,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1379846,57875,0,1438102,7389
2025-02-01 19:12:13,67,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1344270,68170,0,1412810,9408
2025-02-01 19:12:13,68,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1337933,65629,0,1403974,8915
2025-02-01 19:12:13,69,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1358221,92657,0,1451231,7246
2025-02-01 19:12:13,70,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2865560,73181,69426,3008642,43702
2025-02-01 19:12:13,71,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2730439,67669,0,2798508,14692
2025-02-01 19:12:13,72,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1961245,59950,68594,2090310,14483
2025-02-01 19:12:13,73,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1956084,110472,0,2067014,13843
2025-02-01 19:12:13,74,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3369660,68717,61499,3500389,9040
2025-02-01 19:12:13,75,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3356982,79042,0,3436436,8592
2025-02-01 19:12:13,76,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2520005,76382,68661,2665495,18849
2025-02-01 19:12:13,77,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2536082,94539,0,2631026,7736
2025-02-01 19:12:13,78,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2408412,74835,66000,2549729,9145
2025-02-01 19:12:13,79,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2242009,69061,0,2311510,8649
2025-02-01 19:12:13,80,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1516785,60398,61036,1638676,9284
2025-02-01 19:12:13,81,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1471117,85461,0,1556955,7532
2025-02-01 19:12:13,82,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1463503,68191,0,1532050,7852
2025-02-01 19:12:13,83,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1460215,76782,0,1537396,7901
2025-02-01 19:12:13,84,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1467401,75128,0,1542942,8125
2025-02-01 19:12:13,85,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1472429,85776,0,1558793,8104
2025-02-01 19:12:13,86,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1480800,69583,0,1550764,8468
2025-02-01 19:12:13,87,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1453962,66381,0,1520869,8350
2025-02-01 19:12:13,88,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1479171,77844,0,1557470,8309
2025-02-01 19:12:13,89,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1473060,180585,0,1654058,8660
2025-02-01 19:12:13,90,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3374365,70107,60197,3505109,35285
2025-02-01 19:12:13,91,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3360526,95811,0,3456722,16350
2025-02-01 19:12:13,92,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2517811,62439,66716,2647495,16702
2025-02-01 19:12:13,93,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2514113,126772,0,2641241,16031
2025-02-01 19:12:13,94,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2506513,62596,65899,2635523,14575
2025-02-01 19:12:13,95,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2372122,86810,0,2459355,13159
2025-02-01 19:12:13,96,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1625881,59741,76257,1762381,16687
2025-02-01 19:12:13,97,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1620847,89792,0,1711023,13233
2025-02-01 19:12:13,98,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1607698,109469,0,1717556,12496
2025-02-01 19:12:13,99,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1602483,107962,0,1710859,14135
2025-02-01 19:12:13,100,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1611833,99302,0,1711550,12936
2025-02-01 19:12:13,101,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1579593,115394,0,1695336,13159
2025-02-01 19:12:13,102,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1585648,131978,0,1718042,13399
2025-02-01 19:12:13,103,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1589292,190976,0,1780723,14221
2025-02-01 19:12:13,104,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1590387,203381,0,1794180,12979
2025-02-01 19:12:13,105,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1610238,188167,0,1798857,13273
2025-02-01 19:12:13,106,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3884882,64844,58706,4008917,10347
2025-02-01 19:12:13,107,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3867937,66931,0,3935303,9440
2025-02-01 19:12:13,108,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2943126,59226,68959,3071802,8959
2025-02-01 19:12:13,109,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2928269,65390,0,2994139,7883
2025-02-01 19:12:13,110,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2570187,62556,68429,2701617,9951
2025-02-01 19:12:13,111,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2407438,60305,0,2468145,8734
2025-02-01 19:12:13,112,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1491278,59465,61475,1612691,8772
2025-02-01 19:12:13,113,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1499935,58901,0,1559162,8753
2025-02-01 19:12:13,114,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1486965,59044,0,1546412,8204
2025-02-01 19:12:13,115,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1474839,78364,0,1553600,7190
2025-02-01 19:12:13,116,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1487982,101917,0,1590312,9233
2025-02-01 19:12:13,117,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1510126,130591,0,1641117,8237
2025-02-01 19:12:13,118,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1482283,124367,0,1607036,8087
2025-02-01 19:12:13,119,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1452118,121729,0,1574246,8058
2025-02-01 19:12:13,120,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1457308,125733,0,1583440,7536
2025-02-01 19:12:13,121,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1478778,138441,0,1617617,7651
2025-02-01 19:12:13,122,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3609756,73246,70998,3754440,9319
2025-02-01 19:12:13,123,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3557552,138653,0,3696594,8517
2025-02-01 19:12:13,124,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2693496,70566,67142,2831732,8250
2025-02-01 19:12:13,125,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2675162,156237,0,2831885,8295
2025-02-01 19:12:13,126,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2447533,63016,71960,2583055,9596
2025-02-01 19:12:13,127,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2250370,82024,0,2332811,7903
2025-02-01 19:12:13,128,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1436649,58894,74087,1570078,9676
2025-02-01 19:12:13,129,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1432668,79056,0,1512116,8228
2025-02-01 19:12:13,130,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1420109,109540,0,1530051,9161
2025-02-01 19:12:13,131,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1425988,96146,0,1522575,8219
2025-02-01 19:12:13,132,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1391964,114233,0,1506616,8903
