Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 19:12:30,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3802298,3674670,3742787,3728745,3733790,3724547,3736952,3717623,3731768,3737632,3733080,3733080
2025-02-01 19:12:30,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2318234,1891042,1848454,1856970,1838032,1895039,1853589,1870429,1854301,1859926,1908600,1908600
2025-02-01 19:12:30,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2101482,1881437,1946232,1829528,1842133,1837900,1842658,1841599,1817828,1833220,1877400,1877400
2025-02-01 19:12:30,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3450312,3367985,3378885,3362620,3370005,3359442,3383716,3380344,3386058,3388382,3382774,3382774
2025-02-01 19:12:30,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2568082,2535359,2523968,2499537,2500530,2511720,2512544,2502541,2488147,2521073,2516350,2516350
2025-02-01 19:12:30,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2335644,2149537,2152793,2173489,2208384,2159390,2155880,2166133,2150242,2185819,2183730,2183730
2025-02-01 19:12:30,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1538973,1417931,1450546,1434426,1448324,1451413,1448295,1468273,1429354,1432462,1451999,1451999
2025-02-01 19:12:30,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3391078,3327861,3390053,3378797,3427668,3416333,3418921,3380835,3404876,3416002,3395242,3395242
2025-02-01 19:12:30,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2599438,2562457,2525959,2558396,2534050,2558720,2526147,2536910,2528752,2605130,2553595,2553595
2025-02-01 19:12:30,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2524306,2251357,2261308,2310480,2280905,2357250,2357545,2360999,2389049,2351376,2344457,2344457
2025-02-01 19:12:30,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1601629,1465590,1510067,1529750,1538009,1562366,1540862,1565830,1589170,1562512,1546577,1546577
2025-02-01 19:12:30,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3038065,2908427,2916886,2896500,2917631,2912930,2935842,2978639,2977430,2966092,2944843,2944843
2025-02-01 19:12:30,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2195070,2093091,2061039,2149752,2129562,2186521,2217745,2216164,2256577,2203211,2170872,2170872
2025-02-01 19:12:30,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3369516,3307204,3325982,3307072,3353094,3336703,3378593,3376335,3402839,3389268,3354660,3354660
2025-02-01 19:12:30,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2608326,2521554,2554930,2544477,2541569,2598701,2590923,2603802,2587855,2587725,2573985,2573985
2025-02-01 19:12:30,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2505581,2287257,2279860,2279126,2292141,2305403,2296400,2278413,2278599,2286837,2308961,2308961
2025-02-01 19:12:30,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1693915,1584544,1541602,1567455,1551780,1539569,1562708,1565824,1560778,1558581,1572675,1572675
2025-02-01 19:12:30,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3316274,3209496,3242217,3216088,3219015,3254460,3239621,3245001,3302807,3278511,3252348,3252348
2025-02-01 19:12:30,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2618665,2550380,2562991,2588953,2564030,2574505,2582684,2609434,2645777,2635906,2593331,2593331
