Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 19:13:32,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3788705,3650306,3702326,3743232,3735369,3724944,3752657,3724776,3736562,3740079,3729895,3729895
2025-02-01 19:13:32,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2356546,1893132,1885834,1870982,1856845,1868995,1874414,1869068,1885044,1867272,1922812,1922812
2025-02-01 19:13:32,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2244272,1883040,1924810,1841788,1844305,1841971,1823584,1817706,1862567,1846503,1893054,1893054
2025-02-01 19:13:32,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3464307,3371815,3360982,3379412,3355975,3353757,3378702,3381424,3356896,3374658,3377792,3377792
2025-02-01 19:13:32,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2569895,2503600,2502209,2518705,2492053,2492587,2501118,2527485,2486779,2531821,2512624,2512624
2025-02-01 19:13:32,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2374270,2161375,2150518,2145333,2151128,2163848,2141792,2179740,2159857,2182494,2181035,2181035
2025-02-01 19:13:32,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1525453,1437930,1441672,1428499,1439883,1448467,1445827,1444559,1438433,1463591,1451430,1451430
2025-02-01 19:13:32,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3402368,3349874,3386845,3405931,3390295,3426189,3369590,3424706,3418846,3399176,3397382,3397382
2025-02-01 19:13:32,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2613796,2537295,2524563,2537933,2550034,2547675,2560010,2534763,2547650,2621844,2557555,2557555
2025-02-01 19:13:32,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2511883,2248425,2247963,2283800,2265055,2320153,2366900,2335587,2352522,2351581,2328386,2328386
2025-02-01 19:13:33,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1613959,1472000,1496094,1548443,1557497,1588518,1574955,1563715,1556988,1574588,1554675,1554675
2025-02-01 19:13:33,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3043403,2888590,2887796,2902888,2936809,2904729,2950763,2960652,2986592,2959687,2942190,2942190
2025-02-01 19:13:33,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2135157,2087662,2113437,2139123,2127229,2198735,2160162,2214954,2240045,2261918,2167841,2167841
2025-02-01 19:13:33,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3370510,3311398,3323797,3309028,3361605,3343354,3351330,3351146,3397539,3399521,3351922,3351922
2025-02-01 19:13:33,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2599857,2526417,2539104,2548606,2561998,2565346,2584388,2578468,2581839,2597022,2568303,2568303
2025-02-01 19:13:33,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2481475,2274810,2279744,2260982,2296695,2274801,2289455,2305610,2272790,2265782,2300214,2300214
2025-02-01 19:13:33,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1672662,1546216,1523974,1535827,1552261,1552074,1562454,1565851,1555214,1574830,1564135,1564135
2025-02-01 19:13:33,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3284830,3219892,3203371,3195789,3189504,3220629,3226545,3250959,3267556,3255621,3231469,3231469
2025-02-01 19:13:33,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2572855,2545645,2533978,2553145,2547214,2570360,2577638,2613603,2644156,2655618,2581421,2581421
2025-02-01 19:13:33,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2659709,2419766,2410020,2399520,2419332,2430264,2430660,2421606,2447138,2435378,2447338,2447338
2025-02-01 19:13:33,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1756024,1666987,1656499,1655787,1657946,1677384,1685648,1675005,1692942,1685063,1680928,1680928
2025-02-01 19:13:33,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3588964,3619437,3527426,3535781,3524121,3580991,3459900,3453219,3493173,3649772,3543278,3543278
2025-02-01 19:13:33,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2826731,2712270,2797338,2836795,2827342,2743572,2745925,2776292,2717081,2753309,2773665,2773665
2025-02-01 19:13:33,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2401578,2226479,2263255,2253415,2253903,2270887,2239650,2265267,2255700,2255593,2268572,2268572
2025-02-01 19:13:33,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1585323,1440838,1467788,1444486,1468530,1456590,1487693,1465075,1492397,1485717,1479443,1479443
2025-02-01 19:13:33,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3153741,3065354,3097104,3072689,3066930,3091715,3083535,3054560,3087476,3077754,3085085,3085085
2025-02-01 19:13:33,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2425810,2344439,2368985,2335016,2350017,2356717,2378927,2370731,2374725,2373020,2367838,2367838
