Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 23:32:12,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3668739,3535225,3623303,3616221,3613311,3620470,3632341,3627233,3623581,3630070,3619049,3619049
2025-02-01 23:32:12,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2199179,1767934,1753901,1769674,1750741,1760867,1748928,1766287,1764675,1751281,1803346,1803346
2025-02-01 23:32:12,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1943708,1744591,1723161,1734047,1720631,1712909,1724406,1736362,1709312,1721349,1747047,1747047
2025-02-01 23:32:12,31,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3561117,3489972,-1,-1,-1,-1,-1,-1,-1,-1,3497086,3497086
2025-02-01 23:32:12,33,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2543322,2468834,-1,-1,-1,-1,-1,-1,-1,-1,2476282,2476282
2025-02-01 23:32:12,43,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2259040,2099416,2101843,2115059,2127688,2102434,2114108,2109991,2101941,2129118,2126063,2126063
2025-02-01 23:32:12,53,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1409245,1339527,1334207,1352034,1336665,1357429,1343576,1360291,1358316,1342799,1353408,1353408
2025-02-01 23:32:12,55,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3186579,3147360,-1,-1,-1,-1,-1,-1,-1,-1,3151281,3151281
2025-02-01 23:32:12,57,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2327331,2285571,-1,-1,-1,-1,-1,-1,-1,-1,2289747,2289747
2025-02-01 23:32:12,59,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2063245,1972102,-1,-1,-1,-1,-1,-1,-1,-1,1981216,1981216
2025-02-01 23:32:12,69,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1370133,1301083,1292681,1300946,1287203,1306414,1297020,1300358,1298275,1288021,1304213,1304213
2025-02-01 23:32:12,71,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2769089,2580921,-1,-1,-1,-1,-1,-1,-1,-1,2599737,2599737
2025-02-01 23:32:12,73,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1905989,1833741,-1,-1,-1,-1,-1,-1,-1,-1,1840965,1840965
2025-02-01 23:32:12,75,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3306489,3231323,-1,-1,-1,-1,-1,-1,-1,-1,3238839,3238839
2025-02-01 23:32:12,77,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2379334,2344400,-1,-1,-1,-1,-1,-1,-1,-1,2347893,2347893
2025-02-01 23:32:12,79,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2206663,2026978,-1,-1,-1,-1,-1,-1,-1,-1,2044946,2044946
2025-02-01 23:32:12,89,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1403319,1345438,1323087,1327858,1324874,1324537,1322625,1322593,1341211,1406836,1344237,1344237
2025-02-01 23:32:12,91,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3149090,3112017,-1,-1,-1,-1,-1,-1,-1,-1,3115724,3115724
2025-02-01 23:32:12,93,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2262398,2267333,-1,-1,-1,-1,-1,-1,-1,-1,2266839,2266839
2025-02-01 23:32:12,95,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2302860,2064638,-1,-1,-1,-1,-1,-1,-1,-1,2088460,2088460
2025-02-01 23:32:12,105,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1396748,1359945,1366937,1383293,1444495,1391101,1413436,1439344,1475537,1448767,1411959,1411959
2025-02-01 23:32:12,107,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,4817825,4695417,-1,-1,-1,-1,-1,-1,-1,-1,4707657,4707657
