Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 23:34:07,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3731400,3520773,3598599,3613744,3623711,3618304,3626768,3628600,3625412,3621390,3620870,3620870
2025-02-01 23:34:07,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2254464,1777032,1757555,1766017,1759248,1743703,1768463,1758399,1753257,1762276,1810041,1810041
2025-02-01 23:34:08,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2004382,1713934,1750242,1728519,1719326,1732298,1724797,1732985,1728991,1738316,1757378,1757378
2025-02-01 23:34:08,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3570230,3468971,3491498,3464346,3483450,3481277,3479826,3490837,3480775,3463128,3487433,3487433
2025-02-01 23:34:08,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2560817,2490729,2486733,2481984,2461750,2474598,2516075,2505565,2496304,2497832,2497238,2497238
2025-02-01 23:34:08,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2286934,2143180,2121511,2110512,2137833,2143004,2126784,2148031,2123430,2133401,2147461,2147461
2025-02-01 23:34:08,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1440196,1354645,1368498,1347505,1353259,1358057,1354788,1371248,1351731,1358437,1365836,1365836
2025-02-01 23:34:08,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3291108,3225104,3306120,3283255,3266247,3305329,3288026,3273518,3304259,3283333,3282629,3282629
2025-02-01 23:34:08,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2442308,2397924,2384318,2392391,2404118,2388609,2403074,2370869,2389877,2458053,2403153,2403153
2025-02-01 23:34:08,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2412910,2130805,2151835,2185086,2178880,2192705,2232292,2237754,2253828,2243207,2221930,2221930
2025-02-01 23:34:08,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1515013,1373667,1389163,1438379,1448616,1471515,1461242,1451553,1465569,1469078,1448378,1448378
2025-02-01 23:34:08,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2875504,2753998,2741998,2750854,2749125,2753222,2766574,2829140,2802783,2787814,2781101,2781101
2025-02-01 23:34:08,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2000781,1904662,1891399,1973762,1973737,2006035,2042665,2041160,2048969,2059310,1994247,1994247
2025-02-01 23:34:08,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3182849,3107646,3123797,3115192,3143475,3157914,3168643,3178201,3182383,3184301,3154439,3154439
2025-02-01 23:34:08,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2353925,2306349,2316385,2309489,2325970,2335276,2358336,2359957,2351995,2356815,2337449,2337449
2025-02-01 23:34:08,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2292476,2096366,2088837,2078676,2087835,2095950,2093527,2082818,2079749,2079879,2107610,2107610
2025-02-01 23:34:08,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1522267,1367736,1370544,1365916,1364658,1387426,1377471,1392483,1391697,1391528,1393171,1393171
2025-02-01 23:34:08,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,2985725,2912298,2906817,2904760,2898191,2925587,2926930,2949187,2959361,2976407,2934525,2934525
2025-02-01 23:34:08,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2227110,2188599,2201075,2211974,2201917,2229712,2233283,2262780,2280070,2280485,2231700,2231700
2025-02-01 23:34:08,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2394118,2126732,2131136,2128546,2131543,2144544,2157054,2150419,2177575,2153694,2169535,2169535
2025-02-01 23:34:08,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1487577,1389101,1367594,1370807,1380400,1393909,1398013,1409676,1405263,1423876,1402621,1402621
2025-02-01 23:34:08,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3966512,3851676,3847290,3841970,3827274,3869254,3851635,3849514,3823277,3833716,3856211,3856211
2025-02-01 23:34:08,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2910035,2906133,2869046,2876611,2877947,2892704,2838647,2862642,2857199,2850768,2874172,2874172
2025-02-01 23:34:08,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2558904,2426144,2384745,2376251,2547171,2399476,2403065,2427775,2402793,2546081,2447240,2447240
2025-02-01 23:34:08,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1656784,1551943,1424571,1424898,1443799,1440408,1440847,1453231,1449966,1486600,1477304,1477304
