Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-02-01 23:34:10,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3596194,46780,55156,3700271,2236548
2025-02-01 23:34:10,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3525943,4904,0,3531099,8405
2025-02-01 23:34:10,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3587162,4508,0,3591914,7364
2025-02-01 23:34:10,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3613956,4592,0,3618761,6411
2025-02-01 23:34:10,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3623399,4483,0,3628087,6530
2025-02-01 23:34:10,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3616328,4436,0,3620990,6292
2025-02-01 23:34:10,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3629675,4655,0,3634534,6274
2025-02-01 23:34:10,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3612787,4402,0,3617429,6496
2025-02-01 23:34:10,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3616840,4388,0,3621430,6240
2025-02-01 23:34:10,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3623395,4534,0,3628109,5969
2025-02-01 23:34:10,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2184323,5186,47250,2237099,7216
2025-02-01 23:34:10,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1758346,4590,0,1763138,5967
2025-02-01 23:34:10,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1753450,4819,0,1758454,4982
2025-02-01 23:34:10,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1740872,4386,0,1745488,5048
2025-02-01 23:34:10,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1752857,4839,0,1757894,4730
2025-02-01 23:34:10,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1754926,4398,0,1759532,4728
2025-02-01 23:34:10,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1735810,4488,0,1740516,4980
2025-02-01 23:34:10,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1774186,4688,0,1779094,4465
2025-02-01 23:34:10,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1744337,4217,0,1748752,4629
2025-02-01 23:34:10,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,1732890,4395,0,1737472,4765
2025-02-01 23:34:10,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1888623,4789,47857,1941589,11455
2025-02-01 23:34:10,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1703922,4983,0,1709129,5661
2025-02-01 23:34:10,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1709241,4699,0,1714177,5815
2025-02-01 23:34:10,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1726267,4732,0,1731237,5278
2025-02-01 23:34:10,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1715442,4667,0,1720337,5626
2025-02-01 23:34:10,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1705922,4438,0,1710574,5384
2025-02-01 23:34:10,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1738694,4571,0,1743499,5135
2025-02-01 23:34:10,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1714616,4587,0,1719424,5255
2025-02-01 23:34:10,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1708364,4566,0,1713198,5431
2025-02-01 23:34:10,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1714943,4568,0,1719722,4990
2025-02-01 23:34:10,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3541098,4981,47626,3594033,16066
2025-02-01 23:34:10,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3488830,4723,0,3493787,5753
2025-02-01 23:34:10,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3472499,4668,0,3477385,4970
2025-02-01 23:34:10,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3473158,4669,0,3478026,4672
2025-02-01 23:34:10,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3467110,4482,0,3471806,4748
2025-02-01 23:34:10,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3482320,4604,0,3487109,4883
2025-02-01 23:34:10,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3465732,4533,0,3470465,5200
2025-02-01 23:34:10,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3477213,4536,0,3481944,4781
2025-02-01 23:34:10,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3484692,4691,0,3489562,4656
2025-02-01 23:34:10,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3475926,4643,0,3480768,4794
2025-02-01 23:34:10,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2481184,18313,47738,2547513,4996
2025-02-01 23:34:10,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2489490,4643,0,2494351,5296
2025-02-01 23:34:10,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2498244,4565,0,2503014,5224
2025-02-01 23:34:10,43,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2500047,4574,0,2504816,5261
2025-02-01 23:34:10,44,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2499513,4677,0,2504391,5037
2025-02-01 23:34:10,45,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2506150,4594,0,2510947,5311
2025-02-01 23:34:10,46,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2493980,4715,0,2498907,5955
2025-02-01 23:34:10,47,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2484990,4595,0,2489791,5113
2025-02-01 23:34:10,48,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2491047,5145,0,2496394,5156
2025-02-01 23:34:10,49,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2469556,4650,0,2474414,5423
2025-02-01 23:34:10,50,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2237266,4949,47683,2290185,5198
2025-02-01 23:34:10,51,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2129620,4611,0,2134442,4712
2025-02-01 23:34:10,52,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2139706,4549,0,2144510,4490
2025-02-01 23:34:10,53,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2128140,4663,0,2133016,4617
2025-02-01 23:34:10,54,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2115443,4298,0,2119946,4480
2025-02-01 23:34:10,55,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2108863,4341,0,2113455,4766
2025-02-01 23:34:10,56,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2148688,4513,0,2153477,4556
2025-02-01 23:34:10,57,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2125486,4406,0,2130140,4504
2025-02-01 23:34:11,58,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2124062,4341,0,2128623,4403
2025-02-01 23:34:11,59,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2112382,4417,0,2117014,4434
2025-02-01 23:34:11,60,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1383746,5706,47818,1437649,4562
2025-02-01 23:34:11,61,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1343988,4682,0,1348903,4831
2025-02-01 23:34:11,62,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1348946,4422,0,1353607,4449
2025-02-01 23:34:11,63,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1347094,4389,0,1351681,4221
2025-02-01 23:34:11,64,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1348353,4271,0,1352818,4874
2025-02-01 23:34:11,65,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1347302,4379,0,1351852,4628
2025-02-01 23:34:11,66,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1354705,4359,0,1359263,4648
2025-02-01 23:34:11,67,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1353787,4453,0,1358443,4414
2025-02-01 23:34:11,68,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1336755,4225,0,1341174,4428
2025-02-01 23:34:11,69,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1337971,4278,0,1342444,4586
2025-02-01 23:34:11,70,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3230365,5014,50507,3286197,11470
2025-02-01 23:34:11,71,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3224394,4725,0,3229337,4632
2025-02-01 23:34:11,72,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3227018,50183,0,3277417,4702
2025-02-01 23:34:11,73,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3224646,56514,0,3281351,4642
2025-02-01 23:34:11,74,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3225861,51175,0,3277231,4783
