Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 23:34:10,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,3700271,3531099,3591914,3618761,3628087,3620990,3634534,3617429,3621430,3628109,3619262,3619262
2025-02-01 23:34:10,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2237099,1763138,1758454,1745488,1757894,1759532,1740516,1779094,1748752,1737472,1802743,1802743
2025-02-01 23:34:10,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,1941589,1709129,1714177,1731237,1720337,1710574,1743499,1719424,1713198,1719722,1742288,1742288
2025-02-01 23:34:10,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3594033,3493787,3477385,3478026,3471806,3487109,3470465,3481944,3489562,3480768,3492487,3492487
2025-02-01 23:34:10,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2547513,2494351,2503014,2504816,2504391,2510947,2498907,2489791,2496394,2474414,2502453,2502453
2025-02-01 23:34:11,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2290185,2134442,2144510,2133016,2119946,2113455,2153477,2130140,2128623,2117014,2146480,2146480
2025-02-01 23:34:11,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1437649,1348903,1353607,1351681,1352818,1351852,1359263,1358443,1341174,1342444,1359782,1359782
2025-02-01 23:34:11,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,3286197,3229337,3277417,3281351,3277231,3297978,3278679,3274897,3282317,3291933,3277733,3277733
2025-02-01 23:34:11,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,2437460,2397443,2412458,2383724,2390992,2388402,2391269,2385645,2381294,2478679,2404736,2404736
2025-02-01 23:34:11,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2401077,2122924,2127572,2175272,2163550,2176200,2230562,2228507,2253234,2228874,2210776,2210776
2025-02-01 23:34:11,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1555017,1370700,1385186,1453532,1455147,1459924,1456171,1448582,1475308,1457426,1451698,1451698
2025-02-01 23:34:11,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,2885159,2759258,2733400,2752526,2717391,2741950,2762478,2782604,2792236,2783166,2771016,2771016
2025-02-01 23:34:11,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,1972407,1905464,1907099,1976734,1964245,1998012,2034750,2041250,2056589,2028716,1988526,1988526
2025-02-01 23:34:11,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3191993,3126819,3132087,3120184,3144107,3154970,3158492,3161955,3193687,3176863,3156115,3156115
2025-02-01 23:34:11,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2343534,2307020,2320720,2335607,2334327,2350346,2340114,2360102,2347406,2362371,2340154,2340154
2025-02-01 23:34:11,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2273994,2066080,2067207,2077294,2091267,2087270,2080076,2070938,2083238,2094967,2099232,2099232
2025-02-01 23:34:11,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1498663,1348725,1361253,1357423,1370484,1370585,1374191,1398958,1381521,1393702,1385550,1385550
2025-02-01 23:34:11,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,2980756,2933836,2907628,2907425,2905793,2931170,2928806,2952393,2955699,2979630,2938312,2938312
2025-02-01 23:34:11,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2233327,2179981,2194537,2208025,2206021,2233527,2231269,2247312,2259146,2282991,2227612,2227612
2025-02-01 23:34:11,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2359912,2107512,2097253,2108431,2132373,2146882,2145816,2143329,2139487,2156537,2153752,2153752
2025-02-01 23:34:11,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1464219,1364049,1364332,1361011,1373868,1391648,1393823,1412245,1395886,1403118,1392419,1392419
2025-02-01 23:34:11,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3914336,3824834,3840850,3898198,3826810,3863142,3837654,4162501,3823670,3845891,3883788,3883788
2025-02-01 23:34:11,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3140551,2855728,2886451,2884131,2905526,2896600,2868118,2871319,2918712,2891324,2911845,2911845
2025-02-01 23:34:11,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2508167,2528981,2536361,2523297,2529419,2532096,2524665,2379040,2392399,2388889,2484331,2484331
2025-02-01 23:34:11,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1547160,1420735,1427779,1418689,1536925,1557561,1534320,1549625,1562095,1463763,1501864,1501864
2025-02-01 23:34:11,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3141115,3040879,3023313,3035197,3025261,3037005,3030170,3020320,3014371,3014672,3038229,3038229
2025-02-01 23:34:11,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2266185,2230478,2220323,2231382,2219189,2228244,2231030,2231427,2232909,2241316,2233247,2233247
2025-02-01 23:34:11,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2159911,1937434,1947195,1942168,1931145,1930638,1950134,1968517,1974905,1968196,1971023,1971023
2025-02-01 23:34:11,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1365546,1242425,1267105,1256933,1256068,1260801,1263073,1275761,1268721,1282571,1273899,1273899
2025-02-01 23:34:11,299,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,2909137,2794053,2788466,3099514,2794141,2786613,2788116,2791317,2794796,2785989,2833213,2833213
2025-02-01 23:34:11,309,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,2169241,2142569,2136194,2138323,2136923,2148352,2142470,2137564,2122632,2132310,2140657,2140657
2025-02-01 23:34:11,319,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2708970,1918518,1889516,1881895,1896654,1908655,1924975,1916741,1918923,1934499,1989933,1989933
2025-02-01 23:34:11,329,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1407143,1235558,1229108,1225980,1243003,1237926,1254064,1246233,1284355,1257606,1262097,1262097
