Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 23:25:08,9,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,6183239,972461,948952,967438,941669,938933,938126,940022,939346,937151,1470733,1470733
2025-02-01 23:25:08,19,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,4070597,1147665,1157335,1141024,1158219,1139925,1152532,1141069,1139073,1139803,1438723,1438723
2025-02-01 23:25:08,29,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,4263455,1151213,1141966,1138077,1143165,1137056,1134364,1139997,1136441,1137248,1452297,1452297
2025-02-01 23:25:08,39,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4353273,1168548,1164552,1152276,1155442,1153525,1160596,1154814,1153435,1154685,1477114,1477114
2025-02-01 23:25:08,49,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,4262751,1171406,1155715,1165481,1150710,1148799,1153953,1153037,1151876,1150852,1466457,1466457
2025-02-01 23:25:08,59,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,5446368,682067,675379,685667,665986,666023,665584,668771,674111,665076,1149502,1149502
2025-02-01 23:25:08,69,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,3473229,694320,688394,684910,685464,683978,695334,684698,685636,684982,966094,966094
2025-02-01 23:25:08,71,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,3975378,6442794,-1,-1,-1,-1,-1,-1,-1,-1,6196052,6196052
2025-02-01 23:25:08,73,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2058361,1475917,-1,-1,-1,-1,-1,-1,-1,-1,1534161,1534161
2025-02-01 23:25:08,75,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2019586,1414135,-1,-1,-1,-1,-1,-1,-1,-1,1474680,1474680
2025-02-01 23:25:08,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2491142,2385087,-1,-1,-1,-1,-1,-1,-1,-1,2395692,2395692
2025-02-01 23:25:08,79,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2009640,1398575,-1,-1,-1,-1,-1,-1,-1,-1,1459681,1459681
2025-02-01 23:25:08,81,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2473080,2384442,-1,-1,-1,-1,-1,-1,-1,-1,2393305,2393305
2025-02-01 23:25:08,83,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1744584,1612741,-1,-1,-1,-1,-1,-1,-1,-1,1625925,1625925
2025-02-01 23:25:08,85,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2783285,2696672,-1,-1,-1,-1,-1,-1,-1,-1,2705333,2705333
