Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 23:25:15,9,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,6378249,978293,962845,958416,954374,950754,950220,949309,946492,966209,1499515,1499515
2025-02-01 23:25:16,19,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,4157508,1178146,1161929,1179707,1161417,1182022,1156170,1162107,1154033,1158492,1465152,1465152
2025-02-01 23:25:16,29,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,4419172,1176369,1169188,1156974,1149805,1153469,1148571,1169348,1147222,1159130,1484924,1484924
2025-02-01 23:25:16,39,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4525582,1192783,1175620,1167948,1175696,1176030,1208816,1174843,1177223,1170014,1514454,1514454
2025-02-01 23:25:16,49,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,4348211,1195721,1170254,1171414,1169573,1177307,1167897,1180265,1166565,1182222,1492942,1492942
2025-02-01 23:25:16,59,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,5505331,689383,678761,687822,672881,672527,669672,669128,680880,670994,1159737,1159737
2025-02-01 23:25:16,69,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,3641243,704391,696285,687339,688089,684884,683908,684403,694117,683896,984855,984855
2025-02-01 23:25:16,71,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,4356486,6570454,-1,-1,-1,-1,-1,-1,-1,-1,6349057,6349057
2025-02-01 23:25:16,81,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2211930,1499380,1471293,1490870,1493549,1490365,1503655,1507144,1497973,1516349,1568250,1568250
2025-02-01 23:25:16,91,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2103372,1459313,1433024,1443374,1416539,1419347,1443453,1500518,1597268,1634330,1545053,1545053
2025-02-01 23:25:16,101,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2661213,2437836,2452286,2457509,2493634,2515505,2525130,2503374,2597514,2568887,2521288,2521288
2025-02-01 23:25:16,111,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2051360,1460602,1483692,1488687,1484257,1486295,1486241,1479363,1489747,1472354,1538259,1538259
2025-02-01 23:25:16,121,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2543821,2372211,2379232,2416723,2418011,2436455,2422785,2422812,2427458,2439783,2427928,2427928
2025-02-01 23:25:16,131,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1849208,1712671,1684917,1735525,1758981,1787435,1776439,1782971,1785830,1796592,1767056,1767056
2025-02-01 23:25:16,141,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2782407,2688602,2718398,2754812,2732626,2742474,2777751,2771086,2780937,2796508,2754560,2754560
