Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 23:20:38,9,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,6078674,953666,938456,956589,933826,937055,934383,933833,933338,934462,1453428,1453428
2025-02-01 23:20:38,19,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,3820823,1137884,1140896,1133074,1147016,1136754,1153881,1136689,1143627,1137500,1408814,1408814
2025-02-01 23:20:38,29,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,4181622,1148115,1135861,1141425,1132778,1153405,1134708,1139212,1137172,1139724,1444401,1444401
2025-02-01 23:20:38,39,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4164540,1172969,1146107,1145243,1147507,1157462,1152516,1158393,1153173,1155161,1455306,1455306
2025-02-01 23:20:38,49,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,4193267,1152556,1159822,1148368,1162759,1155419,1156398,1151551,1166412,1153022,1459957,1459957
2025-02-01 23:20:38,59,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,5195973,669359,673681,664173,667975,666375,666085,675469,666960,664619,1121066,1121066
2025-02-01 23:20:39,69,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,3239085,685270,683824,694493,685067,686074,687205,687345,690343,684900,942360,942360
2025-02-01 23:20:39,71,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,3794239,6422316,-1,-1,-1,-1,-1,-1,-1,-1,6159508,6159508
2025-02-01 23:20:39,73,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2011525,1454922,-1,-1,-1,-1,-1,-1,-1,-1,1510582,1510582
2025-02-01 23:20:39,75,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1936047,1409980,-1,-1,-1,-1,-1,-1,-1,-1,1462586,1462586
2025-02-01 23:20:39,77,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2498007,2401950,-1,-1,-1,-1,-1,-1,-1,-1,2411555,2411555
