Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-02-01 23:21:04,9,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,SoA,enabled,6367648,959920,942341,958863,936817,947967,936883,946741,936136,935817,1486912,1486912
2025-02-01 23:21:04,19,pairwise,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,4028446,1135965,1151385,1138257,1140776,1140568,1145061,1141122,1139320,1138302,1429920,1429920
2025-02-01 23:21:04,29,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,4218906,1151877,1140616,1139018,1135686,1138810,1136792,1135561,1136019,1143712,1447698,1447698
2025-02-01 23:21:04,39,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4237513,1163388,1164625,1152543,1151984,1154442,1161699,1157339,1157031,1155194,1465575,1465575
2025-02-01 23:21:04,49,pairwise,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,4223867,1170135,1154107,1169450,1155822,1171822,1149286,1172622,1163445,1164092,1469464,1469464
2025-02-01 23:21:04,59,pairwise,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,5515722,678029,674764,676215,669401,668473,670888,668920,677869,669468,1156974,1156974
2025-02-01 23:21:04,69,pairwise,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,3488386,701703,686308,684127,686402,683557,692674,684528,686043,684460,967818,967818
2025-02-01 23:21:04,79,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,3861253,6444842,6537014,6532441,6556581,6634316,6622251,6651263,6709732,6709668,6325935,6325935
2025-02-01 23:21:04,89,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2107664,1458389,1444825,1440208,1452671,1458275,1443678,1438738,1459772,1517959,1522217,1522217
2025-02-01 23:21:04,99,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2045274,1444672,1462653,1501320,1515774,1496726,1546442,1566914,1568864,1553940,1570257,1570257
2025-02-01 23:21:04,109,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,2670846,2446535,2427778,2466914,2477064,2472386,2487753,2496915,2494420,2505905,2494651,2494651
2025-02-01 23:21:04,119,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2039902,1388399,1387649,1395630,1384872,1411960,1416400,1436863,1444116,1455804,1476159,1476159
2025-02-01 23:21:04,129,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2621820,2406693,2398021,2455439,2456527,2483590,2506884,2517717,2525796,2526804,2489928,2489928
2025-02-01 23:21:04,139,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1725400,1580564,1606492,1615758,1625592,1621906,1662162,1641379,1656144,1673628,1640901,1640901
