Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:24:53,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7754816,7326847,7503196,7395365,7608163,7435744,7498411,7421304,7395209,7413795,7475285,7475285
2024-11-03 20:24:53,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3809181,3373711,3382126,3327565,3369242,3351420,3350068,3362355,3315898,3355654,3399721,3399721
2024-11-03 20:24:53,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3262072,2976025,2976284,2988013,2972230,2975689,2961776,2938815,2942351,3078600,3007184,3007184
2024-11-03 20:24:53,30,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6609213,-1,-1,-1,-1,-1,-1,-1,-1,-1,6609213,6609213
2024-11-03 20:24:53,31,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4607323,-1,-1,-1,-1,-1,-1,-1,-1,-1,4607323,4607323
2024-11-03 20:24:53,41,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3983209,3773823,3769613,3796794,3778956,3783904,3777833,3780157,3764135,3769292,3797771,3797771
2024-11-03 20:24:53,51,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2594487,2602191,2592743,2604187,2560399,2584483,2575286,2572428,2577469,2586073,2584974,2584974
2024-11-03 20:24:53,52,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6308384,-1,-1,-1,-1,-1,-1,-1,-1,-1,6308384,6308384
2024-11-03 20:24:53,53,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4652704,-1,-1,-1,-1,-1,-1,-1,-1,-1,4652704,4652704
2024-11-03 20:24:53,54,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3873972,-1,-1,-1,-1,-1,-1,-1,-1,-1,3873972,3873972
2024-11-03 20:24:53,64,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2674636,2673692,2670382,2674619,2663895,2654353,2650689,2621368,2627851,2617414,2652889,2652889
2024-11-03 20:24:53,65,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4453812,-1,-1,-1,-1,-1,-1,-1,-1,-1,4453812,4453812
2024-11-03 20:24:53,75,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2983839,3001180,3001780,2996284,3001253,2972360,2960429,3003839,3021925,3003577,2994646,2994646
2024-11-03 20:24:53,76,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6339321,-1,-1,-1,-1,-1,-1,-1,-1,-1,6339321,6339321
2024-11-03 20:24:53,77,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4437869,-1,-1,-1,-1,-1,-1,-1,-1,-1,4437869,4437869
2024-11-03 20:24:53,78,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3886736,-1,-1,-1,-1,-1,-1,-1,-1,-1,3886736,3886736
2024-11-03 20:24:53,88,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2704185,2702651,2694834,2694271,2689119,2691920,2693973,2692033,2700587,2687814,2695138,2695138
2024-11-03 20:24:53,89,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6349061,-1,-1,-1,-1,-1,-1,-1,-1,-1,6349061,6349061
2024-11-03 20:24:53,90,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4613088,-1,-1,-1,-1,-1,-1,-1,-1,-1,4613088,4613088
2024-11-03 20:24:53,91,LinkedCells,1.000000,lc_c18,none,SoA,disabled,4232504,-1,-1,-1,-1,-1,-1,-1,-1,-1,4232504,4232504
2024-11-03 20:24:53,101,LinkedCells,1.000000,lc_c18,none,SoA,enabled,3043508,3094997,3109008,3119701,3171572,3200189,3202714,3216801,3192082,3210268,3156083,3156083
2024-11-03 20:24:53,102,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,6005918,-1,-1,-1,-1,-1,-1,-1,-1,-1,6005918,6005918
2024-11-03 20:24:53,103,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4329004,-1,-1,-1,-1,-1,-1,-1,-1,-1,4329004,4329004
2024-11-03 20:24:53,113,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3681019,3590357,3629143,3633996,3656055,3651316,3640318,3644824,3610391,3634971,3637238,3637238
2024-11-03 20:24:53,123,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2511078,2240933,2226802,2275103,2269989,2269561,2259106,2258915,2297762,2379366,2298860,2298860
2024-11-03 20:24:53,124,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5678470,-1,-1,-1,-1,-1,-1,-1,-1,-1,5678470,5678470
2024-11-03 20:24:53,125,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4133546,-1,-1,-1,-1,-1,-1,-1,-1,-1,4133546,4133546
2024-11-03 20:24:53,126,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3749070,-1,-1,-1,-1,-1,-1,-1,-1,-1,3749070,3749070
2024-11-03 20:24:53,136,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2274343,2291448,2292481,2317905,2323112,2321152,2331815,2376724,2438665,2436168,2340380,2340380
2024-11-03 20:24:53,137,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,5738479,-1,-1,-1,-1,-1,-1,-1,-1,-1,5738479,5738479
2024-11-03 20:24:53,138,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4012215,-1,-1,-1,-1,-1,-1,-1,-1,-1,4012215,4012215
2024-11-03 20:24:53,139,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,4044784,-1,-1,-1,-1,-1,-1,-1,-1,-1,4044784,4044784
2024-11-03 20:24:53,149,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2285321,2300771,2306210,2309772,2306822,2356237,2358976,2364085,2368901,2360060,2331715,2331715
2024-11-03 20:24:53,150,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,5850639,-1,-1,-1,-1,-1,-1,-1,-1,-1,5850639,5850639
2024-11-03 20:24:53,151,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3928369,-1,-1,-1,-1,-1,-1,-1,-1,-1,3928369,3928369
2024-11-03 20:24:53,152,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3898014,-1,-1,-1,-1,-1,-1,-1,-1,-1,3898014,3898014
2024-11-03 20:24:53,162,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2151378,2154288,2144595,2192987,2186961,2175111,2170320,2169571,2166114,2127897,2163922,2163922
