Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:24:33,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7371250,7318016,7454630,7363744,7598078,7493564,7504282,7729349,7432225,7555166,7482030,7482030
2024-11-03 20:24:33,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3828797,3351278,3346853,3341477,3365991,3317224,3340924,3358430,3341489,3333843,3392630,3392630
2024-11-03 20:24:33,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3281202,2950144,2934503,2931429,2990905,2953938,2947305,2939873,2969353,3039170,2993781,2993781
2024-11-03 20:24:34,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6422974,6425559,6458612,6408938,6429326,6265335,6394478,6442659,6275349,6417502,6394073,6394073
2024-11-03 20:24:34,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4561786,4445045,4421079,4541212,4500719,4541214,4520221,4520510,4503440,4544834,4510005,4510005
2024-11-03 20:24:34,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4053493,3829127,3812540,3808868,3817144,3804363,3809515,3848316,3821771,3818982,3842411,3842411
2024-11-03 20:24:34,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2612692,2591603,2593649,2584652,2592924,2578397,2583844,2594688,2583966,2571373,2588778,2588778
2024-11-03 20:24:34,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6303417,6464751,6440472,6471376,6394067,6494922,6435892,6490405,6420123,6469228,6438464,6438464
2024-11-03 20:24:34,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4517741,4459510,4550148,4573725,4559037,4532450,4510437,4522041,4557459,4569923,4535246,4535246
2024-11-03 20:24:34,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3939487,3889109,3899983,3960533,3973108,3972934,4037384,4043081,4047911,4054974,3981850,3981850
2024-11-03 20:24:34,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2747601,2638623,2674584,2725830,2778624,2761839,2736592,2742344,2742535,2742262,2729082,2729082
2024-11-03 20:24:34,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4554494,4264197,4285492,4274736,4233215,4237787,4259023,4328040,4336783,4308599,4308236,4308236
2024-11-03 20:24:34,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3112114,2944462,2961441,3045218,3053326,3154655,3197062,3143687,3200382,3163313,3097565,3097565
2024-11-03 20:24:34,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5844870,5942890,5836380,5751876,5879646,5872004,5876565,5851851,5943104,5956104,5875528,5875528
2024-11-03 20:24:34,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4093934,4184783,4101701,4138986,4104540,4152322,4170041,4182814,4167110,4242160,4153838,4153838
2024-11-03 20:24:34,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3962910,3747343,3724878,3702551,3706162,3696261,3688789,3706036,3688721,3666638,3729028,3729028
2024-11-03 20:24:34,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2549430,2546020,2557744,2582835,2539352,2539988,2718023,2572354,2561725,2560156,2572762,2572762
2024-11-03 20:24:34,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5613175,5680323,5570174,5657490,5576677,5542127,5829156,5612887,5597683,5642609,5632229,5632229
2024-11-03 20:24:34,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3996697,4021439,4205719,4326588,4301212,4065603,4042563,4061802,4069084,4082352,4117305,4117305
2024-11-03 20:24:34,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3890042,3816988,3821663,3850928,3862031,3880174,3908283,3902825,3879444,3879654,3869202,3869202
2024-11-03 20:24:34,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2824858,2734677,2743016,2737975,2732241,2783055,2780222,2783072,2813937,2807884,2774093,2774093
2024-11-03 20:24:35,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5334281,5322724,5260099,5317765,5305687,5312444,5293976,5256276,5316785,5345046,5306507,5306507
2024-11-03 20:24:35,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3781099,3721269,3712865,3706577,3705546,3701667,3704321,3679616,3712567,3713850,3713937,3713937
2024-11-03 20:24:35,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3404973,3173775,3175945,3170825,3186919,3184811,3178609,3186377,3192480,3200731,3205543,3205543
2024-11-03 20:24:35,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2105406,2005919,2017502,2043606,2026547,2030929,2030049,2032955,2055547,2077371,2042582,2042582
2024-11-03 20:24:35,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5007783,5021775,5013373,5037677,5039410,5065774,5047180,5043362,5018780,5068576,5036368,5036368
2024-11-03 20:24:35,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3521338,3528426,3529437,3539088,3544215,3570452,3549163,3554623,3553844,3555081,3544566,3544566
2024-11-03 20:24:35,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3289421,3093120,3076558,3072543,3088934,3068403,3074900,3094648,3100654,3119442,3107862,3107862
2024-11-03 20:24:35,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2068554,2000249,2004660,1984637,2021912,2060334,2076945,2067537,2034208,2035450,2035448,2035448
2024-11-03 20:24:35,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4981875,4910647,4904399,4901010,4931638,4929875,4904848,4929064,4940467,4930770,4926459,4926459
2024-11-03 20:24:35,309,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3493765,3503604,3527625,3531512,3522604,3522542,3526219,3521172,3524247,3544267,3521755,3521755
2024-11-03 20:24:35,319,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3605212,3001854,2971402,2981411,3007808,3008296,3043226,3056344,3041969,3057472,3077498,3077498
2024-11-03 20:24:35,329,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2105470,2005773,1965493,1977492,1999220,1987639,1986041,2014881,2027995,2030429,2010043,2010043
