Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 19:59:23,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7903893,7717347,7662989,7726485,7802921,7466721,7620552,7618867,7573397,7647112,7674027,7674027
2024-11-03 19:59:23,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3980904,3540160,3466308,3472112,3428395,3505361,3486864,3416720,3437958,3460735,3519551,3519551
2024-11-03 19:59:23,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3404418,3081020,3072215,2997092,2982336,3016435,3047256,3046019,3039896,3137599,3082428,3082428
2024-11-03 19:59:23,30,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6520006,-1,-1,-1,-1,-1,-1,-1,-1,-1,6520006,6520006
2024-11-03 19:59:23,31,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4609418,-1,-1,-1,-1,-1,-1,-1,-1,-1,4609418,4609418
2024-11-03 19:59:23,41,LinkedCells,1.000000,lc_c04,none,SoA,disabled,4110985,3897780,3967530,3912823,3874039,3889350,3847767,3866296,3909108,3875159,3915082,3915082
2024-11-03 19:59:23,51,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2639443,2633232,2662100,2655443,2654845,2667524,2783490,2746268,2620678,2804937,2686795,2686795
2024-11-03 19:59:23,52,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6292850,-1,-1,-1,-1,-1,-1,-1,-1,-1,6292850,6292850
2024-11-03 19:59:23,53,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4638128,-1,-1,-1,-1,-1,-1,-1,-1,-1,4638128,4638128
2024-11-03 19:59:23,54,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,4059187,-1,-1,-1,-1,-1,-1,-1,-1,-1,4059187,4059187
2024-11-03 19:59:23,64,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2712020,2699193,2686173,2677259,2695027,2683214,2687039,2703749,2709292,2725508,2697846,2697846
2024-11-03 19:59:23,65,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4553711,-1,-1,-1,-1,-1,-1,-1,-1,-1,4553711,4553711
2024-11-03 19:59:23,75,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3076924,3019271,3014479,3164112,3095472,3078821,3063024,3094854,3075499,3035875,3071832,3071832
2024-11-03 19:59:23,76,LinkedCells,1.000000,lc_c08,none,AoS,disabled,6233226,-1,-1,-1,-1,-1,-1,-1,-1,-1,6233226,6233226
2024-11-03 19:59:23,77,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4481141,-1,-1,-1,-1,-1,-1,-1,-1,-1,4481141,4481141
2024-11-03 19:59:23,78,LinkedCells,1.000000,lc_c08,none,SoA,disabled,4061469,-1,-1,-1,-1,-1,-1,-1,-1,-1,4061469,4061469
2024-11-03 19:59:23,88,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2713362,2740112,2749234,2689555,2695778,2704845,2747479,2750136,2795512,2765021,2735103,2735103
2024-11-03 19:59:23,89,LinkedCells,1.000000,lc_c18,none,AoS,disabled,6249333,-1,-1,-1,-1,-1,-1,-1,-1,-1,6249333,6249333
2024-11-03 19:59:23,90,LinkedCells,1.000000,lc_c18,none,AoS,enabled,4712730,-1,-1,-1,-1,-1,-1,-1,-1,-1,4712730,4712730
2024-11-03 19:59:23,91,LinkedCells,1.000000,lc_c18,none,SoA,disabled,4448673,-1,-1,-1,-1,-1,-1,-1,-1,-1,4448673,4448673
2024-11-03 19:59:23,101,LinkedCells,1.000000,lc_c18,none,SoA,enabled,3113066,3227609,3184241,3166300,3220237,3330971,3264530,3272341,3366857,3349003,3249515,3249515
2024-11-03 19:59:23,102,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,6129541,-1,-1,-1,-1,-1,-1,-1,-1,-1,6129541,6129541
2024-11-03 19:59:23,103,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,4369706,-1,-1,-1,-1,-1,-1,-1,-1,-1,4369706,4369706
2024-11-03 19:59:23,113,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3794158,3717572,3722676,3719743,3723700,3714168,3738574,3686376,3695163,3683678,3719580,3719580
2024-11-03 19:59:23,123,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2588587,2310613,2484746,2389152,2341442,2396665,2364652,2393011,2381300,2442803,2409297,2409297
2024-11-03 19:59:23,124,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5680143,-1,-1,-1,-1,-1,-1,-1,-1,-1,5680143,5680143
2024-11-03 19:59:23,125,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,4254496,-1,-1,-1,-1,-1,-1,-1,-1,-1,4254496,4254496
2024-11-03 19:59:23,126,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3923430,-1,-1,-1,-1,-1,-1,-1,-1,-1,3923430,3923430
2024-11-03 19:59:23,136,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,2367281,2347798,2328862,2327885,2363732,2376152,2410821,2450310,2476675,2515257,2396477,2396477
2024-11-03 19:59:23,137,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,5782040,-1,-1,-1,-1,-1,-1,-1,-1,-1,5782040,5782040
2024-11-03 19:59:23,138,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,4125113,-1,-1,-1,-1,-1,-1,-1,-1,-1,4125113,4125113
2024-11-03 19:59:23,139,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,4164706,-1,-1,-1,-1,-1,-1,-1,-1,-1,4164706,4164706
2024-11-03 19:59:23,149,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2308388,2262903,2349105,2389425,2368931,2608609,2739252,2473485,2467308,2493554,2446095,2446095
2024-11-03 19:59:23,150,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,5553812,-1,-1,-1,-1,-1,-1,-1,-1,-1,5553812,5553812
2024-11-03 19:59:23,151,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3988618,-1,-1,-1,-1,-1,-1,-1,-1,-1,3988618,3988618
2024-11-03 19:59:23,152,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,4058590,-1,-1,-1,-1,-1,-1,-1,-1,-1,4058590,4058590
2024-11-03 19:59:23,162,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2292901,2298482,2258459,2278159,2284435,2299977,2249916,2211971,2210797,2208571,2259366,2259366
2024-11-03 19:59:23,163,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,11925361,-1,-1,-1,-1,-1,-1,-1,-1,-1,11925361,11925361
2024-11-03 19:59:23,164,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,18452644,-1,-1,-1,-1,-1,-1,-1,-1,-1,18452644,18452644
2024-11-03 19:59:23,165,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,21144103,-1,-1,-1,-1,-1,-1,-1,-1,-1,21144103,21144103
2024-11-03 19:59:23,166,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,16039920,-1,-1,-1,-1,-1,-1,-1,-1,-1,16039920,16039920
2024-11-03 19:59:23,167,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,16529219,-1,-1,-1,-1,-1,-1,-1,-1,-1,16529219,16529219
2024-11-03 19:59:23,168,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,13721516,-1,-1,-1,-1,-1,-1,-1,-1,-1,13721516,13721516
2024-11-03 19:59:23,169,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,22028275,-1,-1,-1,-1,-1,-1,-1,-1,-1,22028275,22028275
2024-11-03 19:59:23,170,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,15801848,-1,-1,-1,-1,-1,-1,-1,-1,-1,15801848,15801848
2024-11-03 19:59:23,171,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,16020233,-1,-1,-1,-1,-1,-1,-1,-1,-1,16020233,16020233
2024-11-03 19:59:23,172,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,13619870,-1,-1,-1,-1,-1,-1,-1,-1,-1,13619870,13619870
2024-11-03 19:59:23,173,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,20780239,-1,-1,-1,-1,-1,-1,-1,-1,-1,20780239,20780239
2024-11-03 19:59:23,174,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,15839411,-1,-1,-1,-1,-1,-1,-1,-1,-1,15839411,15839411
2024-11-03 19:59:24,175,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,15999054,-1,-1,-1,-1,-1,-1,-1,-1,-1,15999054,15999054
2024-11-03 19:59:24,176,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,13615633,-1,-1,-1,-1,-1,-1,-1,-1,-1,13615633,13615633
2024-11-03 19:59:24,177,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,21096412,-1,-1,-1,-1,-1,-1,-1,-1,-1,21096412,21096412
2024-11-03 19:59:24,178,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,15708255,-1,-1,-1,-1,-1,-1,-1,-1,-1,15708255,15708255
2024-11-03 19:59:24,179,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,16180957,-1,-1,-1,-1,-1,-1,-1,-1,-1,16180957,16180957
2024-11-03 19:59:24,180,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,13637795,-1,-1,-1,-1,-1,-1,-1,-1,-1,13637795,13637795
2024-11-03 19:59:24,181,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,21161100,-1,-1,-1,-1,-1,-1,-1,-1,-1,21161100,21161100
2024-11-03 19:59:24,182,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,15658336,-1,-1,-1,-1,-1,-1,-1,-1,-1,15658336,15658336
2024-11-03 19:59:24,183,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,16002337,-1,-1,-1,-1,-1,-1,-1,-1,-1,16002337,16002337
2024-11-03 19:59:24,184,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,13548118,-1,-1,-1,-1,-1,-1,-1,-1,-1,13548118,13548118
2024-11-03 19:59:24,185,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,12063449,-1,-1,-1,-1,-1,-1,-1,-1,-1,12063449,12063449
