Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 19:58:46,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7695352,19995,82,7715883,2295116
2024-11-03 19:58:46,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7460928,5357,0,7466656,6779
2024-11-03 19:58:46,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7527031,5209,0,7532602,5813
2024-11-03 19:58:46,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7615360,5188,0,7620869,5794
2024-11-03 19:58:46,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7511958,5112,0,7517416,5805
2024-11-03 19:58:46,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7654994,5111,0,7660427,5867
2024-11-03 19:58:46,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7394553,5414,0,7400369,6744
2024-11-03 19:58:46,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7364686,5397,0,7370402,6038
2024-11-03 19:58:46,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7712219,5108,0,7717651,6103
2024-11-03 19:58:46,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7356754,5083,0,7362174,5708
2024-11-03 19:58:46,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3738794,5689,66,3744901,7113
2024-11-03 19:58:46,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3290280,51386,0,3342004,5819
2024-11-03 19:58:46,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3281041,61348,0,3342725,5750
2024-11-03 19:58:46,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3276408,52442,0,3329142,5757
2024-11-03 19:58:46,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3277905,52420,0,3330632,5600
2024-11-03 19:58:46,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3256282,52032,0,3308617,5373
2024-11-03 19:58:46,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3278517,52118,0,3330967,5602
2024-11-03 19:58:46,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3263290,52053,0,3315695,5721
2024-11-03 19:58:46,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3243450,51874,0,3295672,5760
2024-11-03 19:58:46,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3272841,52240,0,3325383,5620
2024-11-03 19:58:46,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3197774,5622,65,3203822,7191
2024-11-03 19:58:46,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2968996,5300,0,2974605,5908
2024-11-03 19:58:46,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2936329,5149,0,2941812,5881
2024-11-03 19:58:46,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2960946,5269,0,2966515,5676
2024-11-03 19:58:46,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2939568,5229,0,2945084,15763
2024-11-03 19:58:46,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2947243,5347,0,2952890,5741
2024-11-03 19:58:46,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2964623,5227,0,2970139,5788
2024-11-03 19:58:46,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2934650,5233,0,2940170,16133
2024-11-03 19:58:46,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2928394,24416,0,2953104,6143
2024-11-03 19:58:46,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2923609,67609,0,2991521,6037
2024-11-03 19:58:46,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6494634,5435,66,6500502,11018
2024-11-03 19:58:46,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6444728,9344,0,6454375,5392
2024-11-03 19:58:46,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6414181,9006,0,6423518,5043
2024-11-03 19:58:46,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6414028,8968,0,6423315,4962
2024-11-03 19:58:46,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6410326,9187,0,6419817,4867
2024-11-03 19:58:46,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6449804,9149,0,6459228,4936
2024-11-03 19:58:46,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6389332,9020,0,6398635,5109
2024-11-03 19:58:46,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6397068,9140,0,6406509,4969
2024-11-03 19:58:46,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6402199,8949,0,6411452,4780
2024-11-03 19:58:46,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6408952,9088,0,6418340,4957
2024-11-03 19:58:46,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4451450,10182,54,4462056,6469
2024-11-03 19:58:46,41,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4371897,5024,0,4377262,5057
2024-11-03 19:58:46,42,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4409106,5006,0,4414403,4925
2024-11-03 19:58:46,43,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4366713,4921,0,4371943,5090
2024-11-03 19:58:46,44,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4362348,4966,0,4367611,4785
2024-11-03 19:58:46,45,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4457438,5006,0,4462800,4911
2024-11-03 19:58:46,46,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4358898,5081,0,4364309,4754
2024-11-03 19:58:46,47,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4484137,4957,0,4489412,4960
2024-11-03 19:58:46,48,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4428096,5034,0,4433438,4876
2024-11-03 19:58:46,49,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4443153,4948,0,4448383,4769
2024-11-03 19:58:46,50,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3914612,5374,62,3920419,5897
2024-11-03 19:58:46,51,true,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3766173,5126,0,3771656,4996
