Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:13:36,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7588975,51305,146,7640917,2732103
2024-11-03 20:13:36,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7347253,5965,0,7353565,7577
2024-11-03 20:13:36,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7536537,5831,0,7542697,6907
2024-11-03 20:13:36,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7671788,5890,0,7677974,6737
2024-11-03 20:13:36,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7430005,5714,0,7436019,6479
2024-11-03 20:13:36,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7444567,5825,0,7450695,6357
2024-11-03 20:13:36,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7454800,5741,0,7460930,7276
2024-11-03 20:13:36,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7384152,5209,0,7389654,6554
2024-11-03 20:13:36,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7494928,5314,0,7500522,6358
2024-11-03 20:13:36,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7489169,5231,0,7494662,6263
2024-11-03 20:13:36,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3811084,5883,79,3817403,7428
2024-11-03 20:13:36,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3322824,61300,0,3384497,5693
2024-11-03 20:13:36,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3289969,61354,0,3351648,6400
2024-11-03 20:13:36,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3301256,52803,0,3354344,5777
2024-11-03 20:13:36,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3267935,52668,0,3320898,5925
2024-11-03 20:13:36,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3278728,52766,0,3331809,6021
2024-11-03 20:13:36,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3291296,52555,0,3344147,5540
2024-11-03 20:13:36,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3281194,52984,0,3334479,5916
2024-11-03 20:13:36,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3281867,53015,0,3335176,5976
2024-11-03 20:13:36,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3290149,52740,0,3343161,5853
2024-11-03 20:13:36,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3367168,5643,62,3373280,7118
2024-11-03 20:13:36,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2938032,5241,0,2943605,6163
2024-11-03 20:13:36,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3199729,5817,0,3205927,8012
2024-11-03 20:13:36,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3056953,5726,0,3063030,8353
2024-11-03 20:13:36,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2945976,5366,0,2951701,6114
2024-11-03 20:13:36,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2935907,5306,0,2941573,6034
2024-11-03 20:13:36,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2924662,5305,0,2930257,6312
2024-11-03 20:13:36,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2940804,5248,0,2946322,5951
2024-11-03 20:13:36,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2942534,25443,0,2968272,16767
2024-11-03 20:13:36,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2937091,68803,0,3006226,5999
2024-11-03 20:13:36,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6517136,5426,108,6523014,26808
2024-11-03 20:13:36,31,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4373587,23082,63,4397093,6692
