Date,Iteration,inTuningPhase,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,iteratePairwise[ns],remainderTraversal[ns],rebuildNeighborLists[ns],iteratePairwiseTotal[ns],tuning[ns]
2024-11-03 20:15:38,0,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7472951,20822,94,7494266,2443144
2024-11-03 20:15:38,1,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7660240,5528,0,7666080,7703
2024-11-03 20:15:38,2,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7691401,5402,0,7697061,6063
2024-11-03 20:15:38,3,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7748242,5254,0,7753765,5926
2024-11-03 20:15:38,4,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7677299,5249,0,7682831,5876
2024-11-03 20:15:38,5,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7655463,5251,0,7661000,5841
2024-11-03 20:15:38,6,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7760836,5712,0,7766959,7640
2024-11-03 20:15:38,7,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7646817,5362,0,7652463,6118
2024-11-03 20:15:38,8,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7702486,5258,0,7707991,6047
2024-11-03 20:15:38,9,true,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7652268,5301,0,7657856,5895
2024-11-03 20:15:38,10,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3842870,5753,63,3849053,8115
2024-11-03 20:15:38,11,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3313522,54223,0,3368054,5972
2024-11-03 20:15:38,12,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3297328,64790,0,3362392,6205
2024-11-03 20:15:38,13,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3298226,56190,0,3354694,5928
2024-11-03 20:15:38,14,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3297333,52912,0,3350492,5729
2024-11-03 20:15:38,15,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3295442,52764,0,3348482,5944
2024-11-03 20:15:38,16,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3294348,52597,0,3347196,5743
2024-11-03 20:15:38,17,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3416293,54757,0,3471502,6177
2024-11-03 20:15:38,18,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3317151,55107,0,3372638,6974
2024-11-03 20:15:38,19,true,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3281157,53479,0,3334903,6593
2024-11-03 20:15:38,20,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3298331,5670,64,3304397,7984
2024-11-03 20:15:38,21,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2934330,5406,0,2940026,6095
2024-11-03 20:15:38,22,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2931549,5269,0,2937083,5837
2024-11-03 20:15:38,23,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2928420,5357,0,2934047,5652
2024-11-03 20:15:38,24,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2914272,5498,0,2920039,5912
2024-11-03 20:15:38,25,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2923919,5111,0,2929305,5728
2024-11-03 20:15:38,26,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2916549,5280,0,2922160,5641
2024-11-03 20:15:38,27,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2911947,5283,0,2917539,5871
2024-11-03 20:15:38,28,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2902568,24813,0,2927645,6219
2024-11-03 20:15:38,29,true,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2939873,68795,0,3008965,5941
2024-11-03 20:15:38,30,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6511994,5429,82,6517842,18943
2024-11-03 20:15:38,31,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6533500,9897,0,6543661,5461
2024-11-03 20:15:38,32,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6426296,9229,0,6435769,15939
2024-11-03 20:15:38,33,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6512022,9340,0,6521649,5164
2024-11-03 20:15:38,34,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6676031,9237,0,6685542,5337
2024-11-03 20:15:38,35,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6501150,8915,0,6510331,5124
2024-11-03 20:15:38,36,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6453401,9064,0,6462725,5087
2024-11-03 20:15:38,37,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6495967,9067,0,6505291,5209
2024-11-03 20:15:38,38,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6472698,9125,0,6482098,4967
2024-11-03 20:15:38,39,true,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6491625,9099,0,6500978,5315
2024-11-03 20:15:38,40,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4395246,13302,59,4408914,6485
2024-11-03 20:15:38,41,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4481877,5422,0,4487580,5397
2024-11-03 20:15:38,42,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4402153,5007,0,4407418,5348
2024-11-03 20:15:38,43,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4382072,4980,0,4387307,5093
2024-11-03 20:15:38,44,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4397399,5067,0,4402719,4946
2024-11-03 20:15:38,45,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4392901,5145,0,4398291,5274
2024-11-03 20:15:38,46,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4383303,5048,0,4388626,5042
2024-11-03 20:15:38,47,true,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4470468,4987,0,4475705,5285
