Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2024-11-03 20:15:31,9,LinkedCells,1.000000,lc_c01,none,AoS,disabled,7326672,7446817,7667651,7340965,7610226,7518731,7448470,7389037,7380663,7380131,7450935,7450935
2024-11-03 20:15:31,19,LinkedCells,1.000000,lc_c01,none,SoA,disabled,3799789,3350542,3373125,3354644,3324507,3347649,3343373,3324599,3340879,3336898,3389600,3389600
2024-11-03 20:15:31,29,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,3213756,2941719,2939952,2944257,2943012,2931818,2929131,2902575,2943922,3051798,2974194,2974194
2024-11-03 20:15:31,39,LinkedCells,1.000000,lc_c04,none,AoS,disabled,6378377,6383948,6397156,6345000,6377653,6419854,6377912,6379259,6384149,6455201,6389850,6389850
2024-11-03 20:15:31,49,LinkedCells,1.000000,lc_c04,none,AoS,enabled,4380322,4372454,4378055,4364319,4446703,4372229,4444904,4456357,4386227,4505420,4410698,4410698
2024-11-03 20:15:31,59,LinkedCells,1.000000,lc_c04,none,SoA,disabled,3996644,3804254,3816632,3792301,3812653,3814209,3813710,3820067,3837563,3806581,3831460,3831460
2024-11-03 20:15:31,69,LinkedCells,1.000000,lc_c04,none,SoA,enabled,2609842,2588204,2579333,2582735,2579623,2589486,2587681,2587322,2592575,2594106,2589090,2589090
2024-11-03 20:15:32,79,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,6469648,6390294,6479148,6441206,6483152,6457405,6456021,6441218,6443766,6401545,6446339,6446339
2024-11-03 20:15:32,89,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,4451299,4546527,4412343,4414649,4538845,4491019,4393543,4408374,4393808,4465459,4451586,4451586
2024-11-03 20:15:32,99,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,3840429,3869420,3904556,3942551,3962807,3944258,4017978,4033583,4045870,4043179,3960462,3960462
2024-11-03 20:15:32,109,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,2665005,2627830,2657576,2696453,2713554,2720923,2733157,2730270,2738499,2732867,2701613,2701613
2024-11-03 20:15:32,119,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,4493836,4231866,4280904,4238992,4213238,4238277,4220738,4306172,4294562,4251967,4277054,4277054
2024-11-03 20:15:32,129,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,3075295,2970761,2958685,3059389,3056281,3140696,3153695,3134144,3171400,3168211,3088855,3088855
2024-11-03 20:15:32,139,LinkedCells,1.000000,lc_c08,none,AoS,disabled,5827447,5834684,5804292,5817627,5824364,5889480,5858915,5840847,5923121,5911890,5853266,5853266
2024-11-03 20:15:32,149,LinkedCells,1.000000,lc_c08,none,AoS,enabled,4077789,4078562,4086984,4102877,4094022,4146274,4143599,4160228,4165834,4150787,4120695,4120695
2024-11-03 20:15:32,159,LinkedCells,1.000000,lc_c08,none,SoA,disabled,3798159,3722622,3703132,3695883,3699085,3688213,3673237,3676608,3673537,3670783,3700125,3700125
2024-11-03 20:15:32,169,LinkedCells,1.000000,lc_c08,none,SoA,enabled,2532454,2523804,2535264,2532222,2531057,2548932,2519770,2558615,2527930,2542328,2535236,2535236
2024-11-03 20:15:32,179,LinkedCells,1.000000,lc_c18,none,AoS,disabled,5594119,5652872,5657415,5639752,5656827,5671490,5651018,5587547,5675651,5638765,5642545,5642545
2024-11-03 20:15:32,189,LinkedCells,1.000000,lc_c18,none,AoS,enabled,3976286,3982024,3995550,4001790,3996370,4006092,4146747,4044811,4052831,4064527,4026702,4026702
2024-11-03 20:15:32,199,LinkedCells,1.000000,lc_c18,none,SoA,disabled,3778279,3798261,3805372,3830522,3849771,3870893,3890831,3876831,3883331,3858157,3844224,3844224
2024-11-03 20:15:32,209,LinkedCells,1.000000,lc_c18,none,SoA,enabled,2690315,2701931,2697673,2698444,2695176,2743292,2753276,2790613,2749421,2769394,2728952,2728952
2024-11-03 20:15:32,219,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,5382439,5337340,5332175,5347023,5325271,5332589,5357574,5330812,5338373,5268850,5335243,5335243
2024-11-03 20:15:32,229,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,3727481,3726567,3730331,3713160,3715880,3724635,3695051,3691380,3702908,3688678,3711606,3711606
2024-11-03 20:15:32,239,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,3268618,3197218,3205756,3192710,3201564,3210678,3220266,3190153,3200327,3221013,3210829,3210829
2024-11-03 20:15:32,249,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,2081059,1998080,2011343,2016622,2021138,2023085,2029049,2031160,2048811,2063684,2032402,2032402
2024-11-03 20:15:32,259,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,5046642,5065810,5056833,5072363,5051364,5106834,5084740,5105091,5112628,5067664,5076996,5076996
2024-11-03 20:15:33,269,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,3533718,3568495,3546668,3556138,3538308,3566787,3569921,3552085,3562349,3563145,3555760,3555760
2024-11-03 20:15:33,279,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,3193505,3095121,3086409,3103078,3092101,3097637,3095105,3112156,3122147,3147047,3114430,3114430
2024-11-03 20:15:33,289,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1995355,1970817,1982061,1985721,2000849,2019780,2013386,2022303,2030506,2017523,2003829,2003829
2024-11-03 20:15:33,299,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,4962124,4944177,4940315,4952654,4970217,4914795,4936742,4938033,4947852,4955298,4946220,4946220
2024-11-03 20:15:33,309,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,3487642,3504187,3529496,3539262,3524864,3524539,3514112,3538020,3536353,3534755,3523322,3523322
2024-11-03 20:15:33,319,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3555531,3027300,3042238,3037054,3038982,3039196,3080109,3078945,3075346,3084742,3105944,3105944
2024-11-03 20:15:33,329,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,2041502,1958711,1960605,1967758,1982172,1978312,1974921,1995018,2032143,2020857,1991199,1991199
2024-11-03 20:15:33,339,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,4875767,4833451,4838457,4841733,4842157,4841433,4842741,4852944,4868187,4861788,4849865,4849865
2024-11-03 20:15:33,349,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,3471870,3460327,3481908,3478112,3500390,3497733,3519567,3515610,3536099,3548839,3501045,3501045
2024-11-03 20:15:33,359,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3450636,2964259,2950252,2952792,3244870,2973824,2996677,2989116,3056746,3024495,3060366,3060366
2024-11-03 20:15:33,369,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,2159797,1958749,1973637,2018389,1999768,1987844,1991674,1990433,2001574,2008617,2009047,2009047
2024-11-03 20:15:33,371,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,10491309,17822665,-1,-1,-1,-1,-1,-1,-1,-1,17089529,17089529
2024-11-03 20:15:33,381,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,16720750,14445180,14498478,14462254,14481601,14478081,14463513,14500014,14465039,14467069,14698197,14698197
2024-11-03 20:15:34,391,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,9713929,17575601,17560054,17601132,17561883,17577699,17585666,17599673,17577667,17567565,16792086,16792086
2024-11-03 20:15:34,401,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,6376175,14983841,14965038,15054544,15259486,15025072,15049392,15043387,15182756,15040989,14198067,14198067
2024-11-03 20:15:34,411,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,5814713,14575585,14560445,14568357,14557001,14579706,14551867,14557343,14588726,14546184,13689992,13689992
2024-11-03 20:15:34,421,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,4177013,13717225,13675926,13745120,13754831,13739630,13740157,13751738,13791317,13744912,12783786,12783786
2024-11-03 20:15:34,431,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,9624026,17444177,17432418,17405770,17451121,17415117,17406524,17432521,17414055,17413182,16643891,16643891
2024-11-03 20:15:35,441,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,6219805,14960489,14965907,14946114,14954284,14970202,15710577,14967510,14965040,14983559,14164348,14164348
2024-11-03 20:15:35,451,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,5341989,14207251,14208557,14213538,14232177,14249512,14275439,14271066,14264055,14260074,13352365,13352365
2024-11-03 20:15:35,461,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,3938018,13545285,13533169,13526180,13537682,13571064,13568697,13546280,13557000,13579599,12590296,12590296
2024-11-03 20:15:35,465,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,9682542,17497884,17512721,17677372,-1,-1,-1,-1,-1,-1,16774647,16774647
2024-11-03 20:15:35,475,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,14670990,12937643,12920661,12935769,12914294,12922875,12922347,12939516,12912750,12918592,13099543,13099543
2024-11-03 20:15:35,485,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,5662855,14312693,14286535,14346415,14298090,14281808,14305247,14287938,14292472,14281117,13435516,13435516
2024-11-03 20:15:36,495,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,3942690,13561232,13575995,13578766,13566533,13594620,13566218,13572365,13625858,13576889,12616116,12616116
2024-11-03 20:15:36,500,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,10079500,17581230,17580721,17588345,17723158,-1,-1,-1,-1,-1,16864476,16864476
2024-11-03 20:15:36,510,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,14491732,12880839,12886058,12871496,12884539,12872598,12861259,12881152,12854680,12844235,13032858,13032858
2024-11-03 20:15:36,520,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,5638904,14380845,14362908,14387925,14375994,14362586,14377460,14387169,14380467,14370663,13502492,13502492
2024-11-03 20:15:36,530,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,3889620,13577417,13564136,13620700,13580846,13573054,13566744,13584141,13580815,13563325,12610079,12610079
2024-11-03 20:15:36,540,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,9683691,17176131,17147474,17333791,17144023,17153318,17146681,17120390,17129659,17132753,16416790,16416790
2024-11-03 20:15:37,550,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,enabled,6207470,14824795,14737980,14746096,14729190,14742962,14806047,14809505,14766335,14779028,13914940,13914940
2024-11-03 20:15:37,560,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,disabled,5713841,14099665,14109136,14088778,14117603,14107361,14132898,14135992,14141231,14147022,13279352,13279352
2024-11-03 20:15:37,570,VerletClusterLists,1.000000,vcl_sliced_c02,none,SoA,enabled,3781905,13371831,13331843,13318222,13324533,13351805,13352539,13386967,13349142,13381568,12395035,12395035
2024-11-03 20:15:37,580,VerletLists,1.000000,vl_list_iteration,none,AoS,disabled,10762769,2791969,2789276,2774602,2780308,2781603,2780794,2778996,2788886,2790539,3581974,3581974
2024-11-03 20:15:37,590,VerletLists,1.000000,vl_list_iteration,none,SoA,disabled,12696705,1642469,1614605,1606549,1626404,1633826,1643833,1611611,1636932,1625896,2733882,2733882
2024-11-03 20:15:37,600,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,8722748,2000132,2000773,2016087,2000535,1994652,1999103,1996438,1991378,1998091,2671993,2671993
2024-11-03 20:15:37,610,VerletListsCells,1.000000,vlc_c01,none,SoA,disabled,10992128,1429604,1433011,1458252,1447183,1454996,1453620,1515328,1455891,1461875,2410188,2410188
2024-11-03 20:15:37,620,VerletListsCells,1.000000,vlc_c18,none,AoS,disabled,8684552,2408997,2403517,2415854,2421482,2418806,2417750,2555230,2418096,2419388,3056366,3056366
2024-11-03 20:15:37,630,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,5511038,1381457,1376136,1383969,1376406,1380863,1381173,1394758,1382923,1394893,1796360,1796360
2024-11-03 20:15:37,640,VerletListsCells,1.000000,vlc_c18,none,SoA,disabled,11792484,1744144,1750509,1761458,1752865,1766316,1753822,1761434,1761895,1772238,2761715,2761715
2024-11-03 20:15:37,650,VerletListsCells,1.000000,vlc_c18,none,SoA,enabled,8388533,1215865,1214929,1211538,1216636,1218905,1250419,1249275,1265099,1257511,1948871,1948871
2024-11-03 20:15:37,660,VerletListsCells,1.000000,vlc_c08,none,AoS,disabled,9935191,2470580,2471028,2477459,3203408,2474883,2471647,2473936,2476527,2478039,3293269,3293269
2024-11-03 20:15:37,670,VerletListsCells,1.000000,vlc_c08,none,AoS,enabled,7331511,1381584,1375076,1431421,1431579,1533282,1575311,1445905,1403420,1382473,2029155,2029155
2024-11-03 20:15:37,671,VerletListsCells,1.000000,vlc_c08,none,SoA,disabled,17094066,-1,-1,-1,-1,-1,-1,-1,-1,-1,17094066,17094066
2024-11-03 20:15:37,672,VerletListsCells,1.000000,vlc_c08,none,SoA,enabled,11931893,-1,-1,-1,-1,-1,-1,-1,-1,-1,11931893,11931893
2024-11-03 20:15:38,682,VerletListsCells,1.000000,vlc_sliced,none,AoS,disabled,8734254,2228018,2222473,2207069,2221382,2220943,2224646,2231595,2236419,2235611,2876240,2876240
2024-11-03 20:15:38,692,VerletListsCells,1.000000,vlc_sliced,none,AoS,enabled,5538854,1232909,1236647,1232819,1244572,1936386,1242450,1244941,1268996,1317790,1749636,1749636
2024-11-03 20:15:38,693,VerletListsCells,1.000000,vlc_sliced,none,SoA,disabled,14520078,-1,-1,-1,-1,-1,-1,-1,-1,-1,14520078,14520078
2024-11-03 20:15:38,703,VerletListsCells,1.000000,vlc_sliced,none,SoA,enabled,9099354,1082182,1087306,1100165,1104405,1096163,1135696,1117200,1107405,1107820,1903769,1903769
2024-11-03 20:15:38,713,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,disabled,8380725,2205359,2214631,2214425,2219133,2210556,2222971,2226974,2228048,2225391,2834820,2834820
2024-11-03 20:15:38,723,VerletListsCells,1.000000,vlc_sliced_balanced,none,AoS,enabled,5401288,1240152,1243340,1241450,1248977,1253769,1245052,1253980,1263578,1257497,1664908,1664908
2024-11-03 20:15:38,724,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,disabled,11907744,-1,-1,-1,-1,-1,-1,-1,-1,-1,11907744,11907744
2024-11-03 20:15:38,734,VerletListsCells,1.000000,vlc_sliced_balanced,none,SoA,enabled,8249014,1098311,1079809,1082909,1098717,1109038,1115057,1110381,1113600,1120691,1817752,1817752
2024-11-03 20:15:38,744,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,disabled,8798220,2153330,2157502,2149269,2151156,2147634,2153741,2147328,2166545,2156385,2818110,2818110
2024-11-03 20:15:38,754,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,AoS,enabled,5304036,1209556,1215643,1240324,1220945,1221498,1222690,1221835,1229907,1237213,1632364,1632364
2024-11-03 20:15:38,755,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,disabled,11083626,-1,-1,-1,-1,-1,-1,-1,-1,-1,11083626,11083626
2024-11-03 20:15:38,765,VerletListsCells,1.000000,vlc_sliced_balanced,squared-particles-per-cell,SoA,enabled,8054943,1096300,1098424,1091054,1107515,1109247,1092341,1119870,1112271,1120215,1800217,1800217
2024-11-03 20:15:38,775,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,disabled,8852541,2126511,2126321,2134190,2123683,2119313,2123366,2129696,2130727,2130062,2799640,2799640
2024-11-03 20:15:38,785,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,AoS,enabled,5268925,1200926,1194357,1199256,1199845,1195873,1212240,1201859,1200576,1213530,1608738,1608738
2024-11-03 20:15:38,786,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,disabled,11125337,-1,-1,-1,-1,-1,-1,-1,-1,-1,11125337,11125337
2024-11-03 20:15:38,796,VerletListsCells,1.000000,vlc_sliced_balanced,neighbor-list-length,SoA,enabled,7935880,1085108,1067111,1080129,1092456,1080337,1085116,1085243,1096296,1104640,1771231,1771231
2024-11-03 20:15:38,806,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,disabled,9070851,3285232,3277829,2125707,2077735,2069894,2094362,2099428,2102527,2104641,3030820,3030820
2024-11-03 20:15:38,816,VerletListsCells,1.000000,vlc_sliced_c02,none,AoS,enabled,5285810,1166429,1169896,1165187,1176197,1168368,1172278,1184142,1169672,1169240,1582721,1582721
