Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:09:33,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4596507,4483872,4666460,4661242,4669667,4669097,4684749,4693436,4661166,4735343,4652153,4652153
2025-01-30 18:09:33,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2663772,2181484,2107921,2134790,2130288,2132530,2090106,2119354,2097524,2103395,2176116,2176116
2025-01-30 18:09:33,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2294784,2109901,2083668,2126651,2082404,2085305,2103069,2090481,2103472,2065748,2114548,2114548
2025-01-30 18:09:33,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3924789,3802448,3822705,3837279,3806578,3850380,3834672,3816484,3846284,3841291,3838290,3838290
2025-01-30 18:09:33,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2899720,2832481,2828666,2819899,2835128,2829103,2817314,2827216,2823859,2840016,2835339,2835339
2025-01-30 18:09:33,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2699876,2397950,2393137,2367082,2372008,2371659,2343557,2375082,2368128,2357146,2404561,2404561
2025-01-30 18:09:33,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1672738,1590408,1547237,1538902,1549278,1525473,1550458,1576085,1552511,1549725,1565280,1565280
2025-01-30 18:09:33,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4056628,3983928,4018818,4047764,4030558,4062176,4066416,4035039,4033704,4081522,4041654,4041654
2025-01-30 18:09:33,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3072625,3029201,3040624,3022426,3010929,3023887,3014518,2993754,3021760,3060625,3029034,3029034
2025-01-30 18:09:33,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2962609,2604464,2591075,2619350,2604439,2591213,2666455,2692629,2698112,2694630,2672497,2672497
