Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:10:27,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4580225,4519158,4667777,4675357,4697138,4724199,4681072,4668118,4718436,4666026,4659749,4659749
2025-01-30 18:10:27,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2647948,2182931,2127541,2142361,2092432,2141393,2070826,2118021,2126920,2138348,2178871,2178871
2025-01-30 18:10:27,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2322661,2101770,2104230,2096614,2107986,2069791,2105164,2100572,2095316,2088065,2119216,2119216
2025-01-30 18:10:27,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3898014,3803132,3812510,3808231,3807289,4340063,5475586,3838198,3839881,3857134,4048003,4048003
2025-01-30 18:10:27,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2917464,2837232,2845729,2852340,2836487,2803797,2846643,2832457,2831567,2827599,2843131,2843131
2025-01-30 18:10:27,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2684458,2367629,2399038,2380120,2399642,2378692,2350012,2388106,2340942,2351222,2403985,2403985
2025-01-30 18:10:27,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1677814,1544210,1550976,1560950,1546341,1588512,1548886,1549747,1548385,1533290,1564910,1564910
2025-01-30 18:10:27,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4252366,3997371,4004420,4021060,4020886,4048913,4055829,4037703,4038715,4033864,4051112,4051112
2025-01-30 18:10:27,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3084255,3019393,3003395,3018571,3030851,2998434,3000094,2998225,3008768,3052818,3021480,3021480
2025-01-30 18:10:27,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2993959,2594203,2579090,2624168,2627175,2613161,2659762,2677582,2705288,2695604,2676998,2676998
2025-01-30 18:10:27,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1979990,1764958,1679843,1766087,1755312,1735149,1747136,1752663,1756364,1785268,1772276,1772276
2025-01-30 18:10:27,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3446708,3304649,3280628,3290934,3294768,3343701,3296410,3360616,3411596,3382001,3341201,3341201
2025-01-30 18:10:27,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2442811,2244768,2243961,2352316,2356819,2425144,2454270,2415976,2464568,2472462,2387308,2387308
2025-01-30 18:10:27,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3950223,3872112,3868449,3868672,3937411,3907892,3920515,3950221,3952501,3970913,3919890,3919890
2025-01-30 18:10:27,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2972211,2914502,2922514,2923572,2948049,2990883,2968720,2991947,2999101,2970410,2960190,2960190
2025-01-30 18:10:27,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2898925,2586978,2582796,2560163,2553895,2558658,2541319,2554488,2551497,2596183,2598489,2598489
2025-01-30 18:10:27,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1941829,1729459,1704662,1663052,1668882,1685919,1713156,1684093,1695294,1704511,1719085,1719085
2025-01-30 18:10:27,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3696966,3587727,3624347,3617355,3606461,3617385,3609140,3642197,3667033,3658400,3632700,3632700
2025-01-30 18:10:27,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2750907,2704628,2722101,2735187,2761493,2756222,2767241,2802768,2814439,2833409,2764839,2764839
2025-01-30 18:10:27,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2986550,2628649,2610580,2593679,2589433,2607334,2619398,2620590,2629741,2604350,2649030,2649030
2025-01-30 18:10:28,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,5197819,3353180,1756788,1735784,1730901,1765688,1735573,1765933,1745032,1744489,2253118,2253118
2025-01-30 18:10:28,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3771789,3687991,3770080,3678345,3702789,3674160,3673185,3679071,4275167,3684240,3759681,3759681
2025-01-30 18:10:28,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2873565,2775259,2807702,2795575,2776322,2814531,2797045,2728545,2813222,2798076,2797983,2797983
2025-01-30 18:10:28,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2862712,2494785,2442349,2468070,2476261,2437881,2426568,2418022,2403816,2433533,2486399,2486399
2025-01-30 18:10:28,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1739101,1538449,1547022,1533406,1545587,1553929,1554534,1567533,1563757,1570040,1571335,1571335
2025-01-30 18:10:28,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,4234333,3569024,3554827,3562670,3555364,3581002,3561465,3556712,3566730,3550584,3629271,3629271
2025-01-30 18:10:28,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2705804,2669682,2636045,2648210,2659128,2661859,2651919,2650347,2659341,2648193,2659052,2659052
2025-01-30 18:10:28,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2889209,2412655,2353886,2360582,2349483,2316367,2339204,2339371,2367683,2381165,2410959,2410959
2025-01-30 18:10:28,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1689575,1517697,1560938,1529424,1522757,1533280,1537811,1556866,1566687,1542803,1555783,1555783
2025-01-30 18:10:28,299,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,3556751,3376090,3378354,3395553,3385365,3410215,3365808,3381067,3380998,3383741,3401393,3401393
2025-01-30 18:10:28,309,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,2630935,2565032,2573174,2586316,2587427,2596303,2584155,2586713,2592974,2584470,2588749,2588749
2025-01-30 18:10:28,319,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3048563,2348474,2293436,2291811,2297274,2283757,2303838,2336475,2303478,2311204,2381830,2381830
2025-01-30 18:10:28,329,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1710652,1505106,1481008,1501900,1500625,1513261,1526049,1527033,1522461,1516864,1530495,1530495
2025-01-30 18:10:28,339,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,3479055,3328529,3280832,3337862,3345989,3274477,3275495,3274972,3298416,3300700,3319632,3319632
2025-01-30 18:10:28,349,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,2574223,2513764,2549858,2536474,2529211,2542141,2538036,2543756,2577177,2566253,2547088,2547088
2025-01-30 18:10:28,359,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,3022772,2271356,2247473,2248289,2238309,2237681,2282092,2273246,2257266,2275557,2335403,2335403
2025-01-30 18:10:28,369,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1612435,1472451,1447341,1471588,1516790,1497559,1495725,1479424,1498912,1522003,1501422,1501422
2025-01-30 18:10:28,379,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,8988786,11191744,11208622,11206908,11215007,11208231,11237307,11275118,11235963,11225958,10999364,10999364
2025-01-30 18:10:28,389,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,4983675,8119507,8121734,8102324,8114097,8344701,8253007,8255255,8305537,8327094,7892692,7892692
2025-01-30 18:10:29,399,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,7703732,10434199,10346344,10379519,10382164,10435768,10354961,10276999,10311770,10338021,10096346,10096346
2025-01-30 18:10:29,409,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,4960686,8511577,8497696,8458508,8456447,8454371,8497812,8448062,8483109,8463716,8123197,8123197
2025-01-30 18:10:29,419,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,4935082,8118085,8086970,8056750,8078479,8085397,8077360,8067719,8083756,8090948,7768054,7768054
2025-01-30 18:10:29,429,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,3363207,7393356,7359315,7362349,7371481,7388466,7356838,7376886,7366202,7370359,6970845,6970845
2025-01-30 18:10:29,439,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,7491132,10143491,10150536,10105182,10153663,10140855,10134803,10165455,10133067,10161753,9877993,9877993
2025-01-30 18:10:29,449,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,4827962,8329681,8301248,8305994,8283962,8342269,8318011,8298661,8321284,8328328,7965740,7965740
2025-01-30 18:10:29,459,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,4681389,7793041,7790518,7779478,7830861,7777813,7816436,8444888,7784353,7792181,7549095,7549095
2025-01-30 18:10:29,469,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,3293031,7241237,7305104,7204753,7223866,7196112,7204264,7227257,7205327,7227698,6832864,6832864
2025-01-30 18:10:29,479,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,7466121,10061578,10054420,10084973,10070856,10071894,10101060,10072987,10090539,10073586,9814800,9814800
2025-01-30 18:10:30,489,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,4854178,8351681,8332609,8336851,8329489,8335353,8374891,8370728,8353381,8390783,8002993,8002993
2025-01-30 18:10:30,499,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,4714898,7880729,7873535,7861784,7845722,7838753,7863469,7866746,7870961,7899137,7551572,7551572
2025-01-30 18:10:30,509,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,3278621,7276509,7245573,7943384,7318720,7242320,7239715,7268675,7245730,7231886,6929112,6929112
2025-01-30 18:10:30,519,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,7778704,10098475,10140400,10035485,10071358,10090397,10071495,10047312,10055577,10058712,9844790,9844790
2025-01-30 18:10:30,529,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,4794304,9003743,8216469,8208728,8249909,8244225,8205712,8217184,8227416,8232994,7960068,7960068
