Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:55:54,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4505710,20116,86763,4613198,1924524
2025-01-30 18:55:54,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,5475584,6052,0,5482373,16161
2025-01-30 18:55:54,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4853589,6728,0,4861216,13669
2025-01-30 18:55:54,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4744198,5512,0,4750559,12549
2025-01-30 18:55:54,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4670832,4684,0,4675839,10349
2025-01-30 18:55:54,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4659533,5395,0,4665537,11854
2025-01-30 18:55:54,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4661431,3835,0,4665717,9203
2025-01-30 18:55:54,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4717984,5151,0,4723635,11912
2025-01-30 18:55:54,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4636224,5405,0,4641885,10590
2025-01-30 18:55:54,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4696483,4646,0,4701477,7622
2025-01-30 18:55:54,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2622386,5611,59942,2688705,11112
2025-01-30 18:55:54,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2130680,5203,0,2136240,8607
2025-01-30 18:55:54,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2087844,5466,0,2093672,10580
2025-01-30 18:55:54,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2138304,4611,0,2143567,11184
2025-01-30 18:55:54,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2083363,4013,0,2087884,11054
2025-01-30 18:55:54,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2146479,3939,0,2151029,9566
2025-01-30 18:55:54,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2083449,4442,0,2088445,7757
2025-01-30 18:55:54,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2089586,2903,0,2092970,9761
2025-01-30 18:55:54,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2108353,2909,0,2111733,8907
2025-01-30 18:55:54,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2083939,5279,0,2090532,8213
2025-01-30 18:55:54,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2238440,3845,58732,2301532,24000
2025-01-30 18:55:54,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2108077,3854,0,2112486,10079
2025-01-30 18:55:54,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2102893,5401,0,2109056,10388
2025-01-30 18:55:54,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2093887,6432,0,2100923,11839
2025-01-30 18:55:54,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2089843,4703,0,2095082,10863
2025-01-30 18:55:54,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2080401,3670,0,2084454,12564
2025-01-30 18:55:54,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2104005,3292,0,2107850,11981
2025-01-30 18:55:54,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2128370,5126,0,2133921,10734
2025-01-30 18:55:54,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2078482,5616,0,2084651,8012
2025-01-30 18:55:54,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2081520,4262,0,2086492,11063
2025-01-30 18:55:54,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3860248,4308,58376,3923370,29701
2025-01-30 18:55:54,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3795119,5176,0,3801381,10005
2025-01-30 18:55:54,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3791990,5305,0,3797658,7978
2025-01-30 18:55:54,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3830210,4941,0,3835541,7216
2025-01-30 18:55:54,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3815202,4405,0,3820057,9489
2025-01-30 18:55:54,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3838180,5828,0,3844306,8498
2025-01-30 18:55:54,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3812226,6254,0,3818943,8919
2025-01-30 18:55:54,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3817443,5434,0,3823282,7478
2025-01-30 18:55:54,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3821943,4228,0,3826603,7735
2025-01-30 18:55:54,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3844022,8313,0,3853316,7135
2025-01-30 18:55:54,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2817292,20630,58052,2896589,12714
2025-01-30 18:55:54,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2840379,5328,0,2846397,9224
2025-01-30 18:55:54,42,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2806877,5251,0,2813549,7798
2025-01-30 18:55:54,43,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2811704,5845,0,2818645,8592
2025-01-30 18:55:54,44,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2809645,4015,0,2814641,7778
2025-01-30 18:55:54,45,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2799055,5262,0,2804791,8439
2025-01-30 18:55:54,46,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2802837,4295,0,2807611,8027
2025-01-30 18:55:54,47,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2822505,5260,0,2828684,6514
2025-01-30 18:55:54,48,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2817949,3771,0,2822676,6473
2025-01-30 18:55:54,49,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2817229,4875,0,2822766,5897
2025-01-30 18:55:54,50,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2633409,4420,57402,2696274,11495
2025-01-30 18:55:54,51,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2366461,4303,0,2371129,9572
2025-01-30 18:55:54,52,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2414034,3416,0,2418011,9307
2025-01-30 18:55:54,53,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2381774,3376,0,2386149,8660
2025-01-30 18:55:54,54,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2351470,4820,0,2357163,7447
