Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:55:54,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4613198,5482373,4861216,4750559,4675839,4665537,4665717,4723635,4641885,4701477,4778142,4778142
2025-01-30 18:55:54,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2688705,2136240,2093672,2143567,2087884,2151029,2088445,2092970,2111733,2090532,2168477,2168477
2025-01-30 18:55:54,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2301532,2112486,2109056,2100923,2095082,2084454,2107850,2133921,2084651,2086492,2121644,2121644
2025-01-30 18:55:54,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3923370,3801381,3797658,3835541,3820057,3844306,3818943,3823282,3826603,3853316,3834445,3834445
2025-01-30 18:55:54,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2896589,2846397,2813549,2818645,2814641,2804791,2807611,2828684,2822676,2822766,2827634,2827634
2025-01-30 18:55:54,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2696274,2371129,2418011,2386149,2357163,2353625,2335246,2398537,2378548,2404099,2409877,2409877
2025-01-30 18:55:54,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1677016,1561875,1547213,1569935,1537557,1546109,1538422,1528672,1538809,1542009,1558761,1558761
2025-01-30 18:55:55,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4020464,4001024,4034386,4020708,4004298,4017577,4016667,4019383,4003587,4054972,4019306,4019306
2025-01-30 18:55:55,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3068563,3002578,3009593,2978638,2986437,3012958,2992357,3000304,3008627,3076551,3013660,3013660
2025-01-30 18:55:55,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2905931,2583902,2566210,2582756,2656217,2583938,2676072,2685339,2720764,2698196,2665932,2665932
2025-01-30 18:55:55,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1822830,1649969,1691385,1704442,1707067,1738684,1743226,1752073,1752223,1774745,1733664,1733664
