Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:28:31,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4640703,4501312,4634205,4685448,4709770,4666203,4679070,4690929,4726269,4660865,4659477,4659477
2025-01-30 18:28:31,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2633191,2164669,2127663,2104417,2113875,2115611,2090373,2075326,2169505,2123304,2171793,2171793
2025-01-30 18:28:31,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2282833,2129970,2117004,2105974,2077441,2079294,2116337,2089574,2103921,2068763,2117110,2117110
2025-01-30 18:28:31,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3917614,3795227,3822157,3799018,3820221,3850004,3819106,3825051,3815522,3825905,3828982,3828982
2025-01-30 18:28:31,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2918907,2798545,2804643,2828583,2836970,2834916,2806868,2827448,2849876,2848053,2835480,2835480
2025-01-30 18:28:31,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2638669,2382481,2400825,2388834,2386183,2359253,2357547,2340148,2336079,2330612,2392062,2392062
2025-01-30 18:28:31,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1667117,1526267,1532991,1526261,1550923,1606088,1522069,1557655,1536164,1552000,1557753,1557753
2025-01-30 18:28:31,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4018761,3946342,3993504,4032323,4032405,4043654,4001976,4000362,4010781,4042138,4012224,4012224
2025-01-30 18:28:31,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3057341,3010052,2998317,2992610,3004116,3014515,2984732,3014798,3007195,3082461,3016613,3016613
2025-01-30 18:28:31,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2885019,2548592,2540175,2575603,2583569,2624865,2636627,2672928,2710316,2666579,2644426,2644426
2025-01-30 18:28:31,109,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,enabled,1789708,1649681,1674101,1684269,1746133,1730687,1743470,1717816,1732145,1758138,1722614,1722614
2025-01-30 18:28:31,119,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,disabled,3420195,3290192,3242388,3247434,3209788,3263116,3281802,3322564,3289119,3288147,3285474,3285474
2025-01-30 18:28:31,129,pairwise,LinkedCells,1.000000,lc_c04_combined_SoA,none,SoA,enabled,2378313,2240687,2208833,2318870,2332529,2396639,2421904,2424103,2430545,2410777,2356319,2356319
2025-01-30 18:28:31,139,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,disabled,3960931,3873085,3871627,3848784,3910792,3919901,3932177,3918809,3949438,3965732,3915127,3915127
2025-01-30 18:28:31,149,pairwise,LinkedCells,1.000000,lc_c08,none,AoS,enabled,2982070,2914555,2929197,2914531,2936718,2979381,2985221,2986566,2989432,2987674,2960533,2960533
2025-01-30 18:28:31,159,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,disabled,2887091,2542850,2526324,2526233,2537667,2525129,2528883,2518362,2525382,2520976,2563889,2563889
2025-01-30 18:28:31,169,pairwise,LinkedCells,1.000000,lc_c08,none,SoA,enabled,1849768,1648757,1668852,1644471,1641685,1666023,1668640,1682360,1681767,1672385,1682470,1682470
2025-01-30 18:28:31,179,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,disabled,3649760,3589378,3602505,3600639,3577842,3593440,3621232,3620562,3677656,3633829,3616684,3616684
2025-01-30 18:28:31,189,pairwise,LinkedCells,1.000000,lc_c18,none,AoS,enabled,2773675,2698194,2712595,2731148,2732896,2738435,2743222,2786299,2818859,2791510,2752682,2752682
2025-01-30 18:28:31,199,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,disabled,2903372,2512152,2528296,2510482,2545423,2535500,2544013,2571005,2555942,2576427,2578260,2578260
2025-01-30 18:28:31,209,pairwise,LinkedCells,1.000000,lc_c18,none,SoA,enabled,1746531,1635473,1619157,1626947,1629483,1662781,1661377,1720374,1668626,1684356,1665510,1665510
2025-01-30 18:28:31,219,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,disabled,3781808,3709214,3705150,3687908,3686780,3705451,3698191,3695490,3660213,3698054,3702825,3702825
2025-01-30 18:28:31,229,pairwise,LinkedCells,1.000000,lc_sliced,none,AoS,enabled,2798665,2813704,2808791,2816403,2809252,2809396,2821364,2737544,2789719,2808391,2801322,2801322
2025-01-30 18:28:31,239,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,disabled,2585950,2373024,2356786,2343800,2349246,2362624,2368237,2354558,2343069,2348700,2378599,2378599
2025-01-30 18:28:32,249,pairwise,LinkedCells,1.000000,lc_sliced,none,SoA,enabled,1717456,1508935,1497964,1505262,1510627,1524914,1529479,1527221,1539160,1593109,1545412,1545412
2025-01-30 18:28:32,259,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,disabled,3661707,3564710,3572788,3553295,3584568,3569285,3573602,3575307,3567152,3562506,3578491,3578491
2025-01-30 18:28:32,269,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,AoS,enabled,2733651,2642846,2634603,2666325,2640306,2655468,2673761,2655840,2645050,2670198,2661804,2661804
2025-01-30 18:28:32,279,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,disabled,2697457,2339646,2307636,2312675,2294952,2286132,2305230,2339475,2349808,2358881,2359188,2359188
2025-01-30 18:28:32,289,pairwise,LinkedCells,1.000000,lc_sliced_balanced,none,SoA,enabled,1656848,1504075,1519412,1513340,1534555,1549942,1529260,1551504,1555875,1539816,1545462,1545462
2025-01-30 18:28:32,299,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,disabled,3549064,3401453,3378434,3377641,3359206,3367486,3366075,3368851,3373671,3365849,3390772,3390772
2025-01-30 18:28:32,309,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,AoS,enabled,2613502,2576049,2585039,2586824,2571372,2591710,2605326,2591938,2585194,2592254,2589920,2589920
2025-01-30 18:28:32,319,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,disabled,3006440,2249134,2233176,2263066,2260070,2237496,2299711,2258053,2260860,2268694,2333669,2333669
2025-01-30 18:28:32,329,pairwise,LinkedCells,1.000000,lc_sliced_balanced,squared-particles-per-cell,SoA,enabled,1681931,1481572,1480356,1489274,1484809,1498108,1488829,1502537,1509777,1511418,1512860,1512860
2025-01-30 18:28:32,339,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,disabled,3433801,3287291,3290274,3294375,3293335,3280378,3298511,3277182,3266429,3296678,3301825,3301825
2025-01-30 18:28:32,349,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,AoS,enabled,2567737,2509349,2541724,2531166,2531887,2575108,2559983,2535429,2536256,2546045,2543467,2543467
2025-01-30 18:28:32,359,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,disabled,2994433,2230919,2217418,2231946,2198694,2239729,2229386,2235257,2231185,2239039,2304799,2304799
2025-01-30 18:28:32,369,pairwise,LinkedCells,1.000000,lc_sliced_c02,none,SoA,enabled,1580816,1439137,1443041,1447950,1429848,1483399,1491948,1478238,1499408,1481519,1477530,1477530
2025-01-30 18:28:32,371,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,AoS,disabled,8967709,11172672,-1,-1,-1,-1,-1,-1,-1,-1,10952175,10952175
2025-01-30 18:28:32,373,pairwise,VerletClusterLists,1.000000,vcl_c01_balanced,none,SoA,disabled,4881299,8082535,-1,-1,-1,-1,-1,-1,-1,-1,7762411,7762411
2025-01-30 18:28:32,375,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,disabled,7553028,10340513,-1,-1,-1,-1,-1,-1,-1,-1,10061764,10061764
2025-01-30 18:28:32,377,pairwise,VerletClusterLists,1.000000,vcl_c06,none,AoS,enabled,4984359,8566748,-1,-1,-1,-1,-1,-1,-1,-1,8208509,8208509
2025-01-30 18:28:32,379,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,disabled,4829804,8135546,-1,-1,-1,-1,-1,-1,-1,-1,7804971,7804971
2025-01-30 18:28:32,381,pairwise,VerletClusterLists,1.000000,vcl_c06,none,SoA,enabled,3317445,7476895,-1,-1,-1,-1,-1,-1,-1,-1,7060950,7060950
2025-01-30 18:28:32,383,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,disabled,7637722,10411364,-1,-1,-1,-1,-1,-1,-1,-1,10133999,10133999
2025-01-30 18:28:32,385,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,AoS,enabled,4955939,8560682,-1,-1,-1,-1,-1,-1,-1,-1,8200207,8200207
2025-01-30 18:28:32,387,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,disabled,4617375,7967104,-1,-1,-1,-1,-1,-1,-1,-1,7632131,7632131
2025-01-30 18:28:32,389,pairwise,VerletClusterLists,1.000000,vcl_sliced,none,SoA,enabled,3184626,7333530,-1,-1,-1,-1,-1,-1,-1,-1,6918639,6918639
2025-01-30 18:28:32,391,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,disabled,7513563,10265079,-1,-1,-1,-1,-1,-1,-1,-1,9989927,9989927
2025-01-30 18:28:32,393,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,AoS,enabled,4834091,8444950,-1,-1,-1,-1,-1,-1,-1,-1,8083864,8083864
2025-01-30 18:28:32,395,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,disabled,4616035,7933063,-1,-1,-1,-1,-1,-1,-1,-1,7601360,7601360
2025-01-30 18:28:32,397,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,none,SoA,enabled,3193219,7312546,-1,-1,-1,-1,-1,-1,-1,-1,6900613,6900613
2025-01-30 18:28:32,399,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,disabled,7828691,10260276,-1,-1,-1,-1,-1,-1,-1,-1,10017117,10017117
2025-01-30 18:28:32,401,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,AoS,enabled,4868062,8438777,-1,-1,-1,-1,-1,-1,-1,-1,8081705,8081705
2025-01-30 18:28:32,403,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,disabled,4681938,7950322,-1,-1,-1,-1,-1,-1,-1,-1,7623483,7623483
2025-01-30 18:28:32,405,pairwise,VerletClusterLists,1.000000,vcl_sliced_balanced,neighbor-list-length,SoA,enabled,3168345,7312909,-1,-1,-1,-1,-1,-1,-1,-1,6898452,6898452
2025-01-30 18:28:32,407,pairwise,VerletClusterLists,1.000000,vcl_sliced_c02,none,AoS,disabled,8177575,10435763,-1,-1,-1,-1,-1,-1,-1,-1,10209944,10209944
