Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:27:14,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4517103,18203,82871,4619137,1763037
2025-01-30 18:27:14,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4548874,4020,0,4553279,12490
2025-01-30 18:27:14,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4629615,3343,0,4633336,10259
2025-01-30 18:27:14,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4641966,3396,0,4645695,8083
2025-01-30 18:27:14,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4670702,3995,0,4675498,10600
2025-01-30 18:27:14,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4665915,3344,0,4669706,11246
2025-01-30 18:27:14,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4678753,5713,0,4684908,9570
2025-01-30 18:27:14,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4665363,4602,0,4670645,9270
2025-01-30 18:27:14,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4660663,3269,0,4664309,9347
2025-01-30 18:27:14,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4669387,4517,0,4674752,9631
2025-01-30 18:27:14,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2541088,3753,58854,2603967,12663
2025-01-30 18:27:14,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2148986,2634,0,2151811,8800
2025-01-30 18:27:14,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2105273,2861,0,2108342,8215
2025-01-30 18:27:14,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2058162,2962,0,2061550,10093
2025-01-30 18:27:14,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2109860,2297,0,2112417,9979
2025-01-30 18:27:14,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2054529,2358,0,2057162,8613
