Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:28:48,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4535432,16511,119759,4672074,2152068
2025-01-30 18:28:48,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4520457,2939,0,4523776,10487
2025-01-30 18:28:48,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4685240,3781,0,4689901,7731
2025-01-30 18:28:48,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4717605,3283,0,4721179,8310
2025-01-30 18:28:48,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4676440,2686,0,4679441,8400
2025-01-30 18:28:48,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4690111,2345,0,4692934,8837
2025-01-30 18:28:48,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4661466,2627,0,4664429,8593
2025-01-30 18:28:48,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4695860,2311,0,4698515,6593
2025-01-30 18:28:48,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4677871,1811,0,4680064,7052
2025-01-30 18:28:48,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4705030,2454,0,4707814,7782
2025-01-30 18:28:48,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2638473,2778,59575,2701197,8889
2025-01-30 18:28:48,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2159868,1696,0,2161898,7729
2025-01-30 18:28:48,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2166491,2119,0,2168776,6564
2025-01-30 18:28:48,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2084981,1766,0,2086934,6899
2025-01-30 18:28:48,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2127223,1605,0,2129067,5912
2025-01-30 18:28:48,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2089055,1987,0,2091479,6397
2025-01-30 18:28:48,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2147451,1875,0,2149572,6813
2025-01-30 18:28:48,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2170318,2113,0,2172676,6943
2025-01-30 18:28:48,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2125696,2497,0,2128524,7839
2025-01-30 18:28:48,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2086228,1663,0,2088167,6842
2025-01-30 18:28:48,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2266369,2123,58738,2327562,19675
2025-01-30 18:28:48,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2168422,2459,0,2171296,7010
2025-01-30 18:28:48,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2118992,1999,0,2121659,7664
2025-01-30 18:28:48,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2109938,1557,0,2111860,6717
