Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:56:19,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4484751,14697,110603,4610426,1889956
2025-01-30 18:56:19,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4570148,3165,0,4573611,9339
2025-01-30 18:56:19,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4686531,2118,0,4688876,8010
2025-01-30 18:56:19,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4726592,2376,0,4729240,7962
2025-01-30 18:56:19,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4727684,1475,0,4729408,6673
2025-01-30 18:56:19,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4743135,2504,0,4745898,6573
2025-01-30 18:56:19,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4761587,1830,0,4763844,7432
2025-01-30 18:56:19,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4674965,1873,0,4677075,6337
2025-01-30 18:56:19,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4702502,2171,0,4704989,6035
2025-01-30 18:56:19,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4706916,2090,0,4709313,5907
2025-01-30 18:56:19,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2660074,2166,64226,2727183,8354
2025-01-30 18:56:19,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2171443,1939,0,2173719,6739
2025-01-30 18:56:19,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2092955,1727,0,2094914,5904
2025-01-30 18:56:19,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2148040,1719,0,2150415,7312
2025-01-30 18:56:19,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2119561,1845,0,2121745,5849
2025-01-30 18:56:19,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2114606,1795,0,2116692,6741
2025-01-30 18:56:19,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2142681,1690,0,2144670,6237
2025-01-30 18:56:19,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2074642,1252,0,2076145,6633
2025-01-30 18:56:19,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2135236,1514,0,2136991,7696
2025-01-30 18:56:19,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2137134,1797,0,2139159,7434
2025-01-30 18:56:19,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2265343,2286,60704,2328664,17155
2025-01-30 18:56:19,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2115626,2380,0,2118244,7505
2025-01-30 18:56:19,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2093403,2061,0,2095730,8401
2025-01-30 18:56:20,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2130019,2689,0,2132976,6705
2025-01-30 18:56:20,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2182550,2750,0,2185574,6783
2025-01-30 18:56:20,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2112472,2041,0,2114798,7026
2025-01-30 18:56:20,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2110716,2374,0,2113318,6220
2025-01-30 18:56:20,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2112909,2159,0,2115313,7169
2025-01-30 18:56:20,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2119287,2075,0,2121586,6721
2025-01-30 18:56:20,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2113243,1983,0,2115435,6853
2025-01-30 18:56:20,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3873845,2933,60977,3938405,15959
2025-01-30 18:56:20,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3809974,2530,0,3813042,6414
2025-01-30 18:56:20,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3817727,2055,0,3820014,5433
2025-01-30 18:56:20,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3820390,2001,0,3822620,5688
2025-01-30 18:56:20,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3843950,1873,0,3846056,5923
2025-01-30 18:56:20,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3853796,1432,0,3855456,4805
2025-01-30 18:56:20,36,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3871212,2655,0,3874106,5576
2025-01-30 18:56:20,37,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3863947,2220,0,3866422,5756
2025-01-30 18:56:20,38,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3841502,2388,0,3844138,5355
2025-01-30 18:56:20,39,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3885504,2145,0,3887886,5264
2025-01-30 18:56:20,40,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2817058,12537,59339,2889245,7012
2025-01-30 18:56:20,41,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2818386,1642,0,2820254,4812
