Date,Iteration,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,sample0,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,Reduced,Smoothed
2025-01-30 18:56:19,9,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4610426,4573611,4688876,4729240,4729408,4745898,4763844,4677075,4704989,4709313,4693267,4693267
2025-01-30 18:56:19,19,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2727183,2173719,2094914,2150415,2121745,2116692,2144670,2076145,2136991,2139159,2188163,2188163
2025-01-30 18:56:20,29,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2328664,2118244,2095730,2132976,2185574,2114798,2113318,2115313,2121586,2115435,2144163,2144163
2025-01-30 18:56:20,39,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3938405,3813042,3820014,3822620,3846056,3855456,3874106,3866422,3844138,3887886,3856813,3856813
2025-01-30 18:56:20,49,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2889245,2820254,2825904,2845663,2834343,2824955,2818130,2829225,2872844,2821657,2838221,2838221
2025-01-30 18:56:20,59,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2707581,2462602,2426538,2390844,2340556,2403055,2411658,2385946,2397569,2387591,2431393,2431393
2025-01-30 18:56:20,69,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,enabled,1671660,1588344,1553004,1555691,1555605,1573849,1577982,1556825,1534323,1551127,1571841,1571841
2025-01-30 18:56:20,79,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,disabled,4031840,4001515,4018171,4070298,4014109,4015567,4026036,4031350,4057344,4037574,4030380,4030380
2025-01-30 18:56:20,89,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,AoS,enabled,3061955,2995758,3024480,3007311,2997322,3003262,3005212,3024119,3006834,3097170,3022341,3022341
2025-01-30 18:56:20,99,pairwise,LinkedCells,1.000000,lc_c04_HCP,none,SoA,disabled,2923724,2620127,2655066,2669497,2608311,2635960,2715821,2722675,2710370,2733304,2699485,2699485
