Date,Iteration,Functor,inTuningPhase,Interaction Type,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,computeInteractions[ns],remainderTraversal[ns],rebuildNeighborLists[ns],computeInteractionsTotal[ns],tuning[ns]
2025-01-30 18:32:33,0,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4497566,16397,79359,4593752,1851354
2025-01-30 18:32:33,1,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4471360,2631,0,4474267,10912
2025-01-30 18:32:33,2,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4636241,2589,0,4639027,7902
2025-01-30 18:32:33,3,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4652877,2532,0,4655620,7512
2025-01-30 18:32:33,4,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4627957,2278,0,4630395,7724
2025-01-30 18:32:33,5,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4662695,2779,0,4665622,7353
2025-01-30 18:32:33,6,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4665665,3340,0,4669190,7137
2025-01-30 18:32:33,7,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4695569,2984,0,4698785,7650
2025-01-30 18:32:33,8,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4673783,3374,0,4677325,7257
2025-01-30 18:32:33,9,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,AoS,disabled,4669094,2472,0,4671755,7988
2025-01-30 18:32:33,10,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2566513,3573,58526,2628916,10364
2025-01-30 18:32:33,11,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2162524,3060,0,2165939,8784
2025-01-30 18:32:33,12,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2122941,2500,0,2125674,9917
2025-01-30 18:32:33,13,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2079538,2070,0,2081817,9161
2025-01-30 18:32:33,14,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2127343,3353,0,2130869,6210
2025-01-30 18:32:33,15,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2097111,2919,0,2100212,7620
2025-01-30 18:32:33,16,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2075077,3175,0,2078435,9284
2025-01-30 18:32:33,17,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2067565,3146,0,2071105,7235
2025-01-30 18:32:33,18,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2083443,2370,0,2085988,11570
2025-01-30 18:32:33,19,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01,none,SoA,disabled,2090494,2456,0,2093100,8014
2025-01-30 18:32:33,20,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2219556,1930,58798,2280559,35747
2025-01-30 18:32:33,21,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2114538,2896,0,2117709,8155
2025-01-30 18:32:33,22,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2078916,1480,0,2080569,8907
2025-01-30 18:32:33,23,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2074663,2040,0,2076881,7917
2025-01-30 18:32:33,24,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2090470,2018,0,2092699,9342
2025-01-30 18:32:33,25,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2081703,1954,0,2083856,8224
2025-01-30 18:32:33,26,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2070545,2206,0,2073036,6743
2025-01-30 18:32:33,27,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2088548,1934,0,2090663,8925
2025-01-30 18:32:33,28,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2088126,2248,0,2090590,9496
2025-01-30 18:32:33,29,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c01_combined_SoA,none,SoA,disabled,2062598,1847,0,2064643,6535
2025-01-30 18:32:33,30,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3856140,2671,58991,3918064,19438
2025-01-30 18:32:33,31,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,disabled,3815876,2479,0,3818647,6405
2025-01-30 18:32:33,32,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2802362,12551,58487,2873696,8617
2025-01-30 18:32:33,33,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,AoS,enabled,2794564,3166,0,2797984,5257
2025-01-30 18:32:33,34,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2558958,2617,58265,2620167,7490
2025-01-30 18:32:33,35,LJFunctorAVX,true,pairwise,LinkedCells,1.000000,lc_c04,none,SoA,disabled,2375867,3849,0,2380145,6748
